state_name,district,stcode,dtcode,historical_flood_events,historical_flood_years,historical_fatalities,historical_displaced,historical_max_severity,historical_max_impact
Andhra Pradesh,Anantapur,28,502,21,17,3653,2350487,2.0,7.6772792647922
Andhra Pradesh,Chittoor,28,503,30,20,4686,3145827,2.0,7.6772792647922
Andhra Pradesh,East Godavari,28,505,29,21,8666,8076500,2.0,7.6772792647922
Andhra Pradesh,Guntur,28,506,29,21,4513,10954600,2.0,7.6772792647922
Andhra Pradesh,Krishna,28,510,31,22,7034,11122600,2.0,7.6772792647922
Andhra Pradesh,Kurnool,28,511,24,19,3939,5301100,2.0,7.6772792647922
Andhra Pradesh,Prakasam,28,517,29,22,4351,8966600,2.0,7.6772792647922
Andhra Pradesh,Spsr Nellore,28,515,26,19,4409,3136827,2.0,7.6772792647922
Andhra Pradesh,Srikakulam,28,519,28,20,15375,20354627,2.0,7.6772792647922
Andhra Pradesh,Visakhapatanam,28,520,29,20,8551,6832627,2.0,7.6772792647922
Andhra Pradesh,Vizianagaram,28,521,29,20,15449,20354627,2.0,7.6772792647922
Andhra Pradesh,West Godavari,28,523,29,21,6880,11361500,2.0,7.6772792647922
Andhra Pradesh,Y.S.R.,28,504,24,20,4077,2556927,2.0,7.6772792647922
Arunanchal Pradesh,Anjaw,12,628,10,8,1140,4356113,2.0,7.0550817943772
Arunanchal Pradesh,Changlang,12,229,26,18,1601,21252324,2.0,7.0499170611118
Arunanchal Pradesh,Dibang Valley,12,230,15,11,1270,15532913,2.0,7.0796584663999
Arunanchal Pradesh,East Kameng,12,231,22,13,1889,17965913,2.0,7.0796584663999
Arunanchal Pradesh,East Siang,12,232,34,22,3007,24619124,2.0,7.1773904313439
Arunanchal Pradesh,Kamle,12,718,33,18,2967,23985124,2.0,7.1773904313439
Arunanchal Pradesh,Kra Daadi,12,677,19,11,1778,6857913,2.0,7.0796584663999
Arunanchal Pradesh,Kurung Kumey,12,233,19,11,1778,6857913,2.0,7.0796584663999
Arunanchal Pradesh,Leparada,12,724,29,16,2918,22571913,2.0,7.1773904313439
Arunanchal Pradesh,Lohit,12,234,25,16,2346,19921913,2.0,7.1773904313439
Arunanchal Pradesh,Longding,12,666,23,15,1751,18261324,2.0,7.0499170611118
Arunanchal Pradesh,Lower Dibang Valley,12,235,30,20,2602,20549124,2.0,7.1773904313439
Arunanchal Pradesh,Lower Siang,12,719,43,26,3321,26608124,2.0,7.1773904313439
Arunanchal Pradesh,Lower Subansiri,12,236,30,16,2891,20592913,2.0,7.1773904313439
Arunanchal Pradesh,Namsai,12,678,29,20,2377,19956124,2.0,7.1773904313439
Arunanchal Pradesh,Pakke Kessang,12,723,38,23,3368,23164124,2.0,7.1773904313439
Arunanchal Pradesh,Papum Pare,12,237,44,25,3506,27006124,2.0,7.1773904313439
Arunanchal Pradesh,Shi Yomi,12,725,14,9,1339,6756113,2.0,7.0550817943772
Arunanchal Pradesh,Siang,12,679,28,16,2905,22571913,2.0,7.1773904313439
Arunanchal Pradesh,Tawang,12,238,3,2,498,295000,2.0,7.0550817943772
Arunanchal Pradesh,Tirap,12,239,27,17,1679,21758324,2.0,7.0499170611118
Arunanchal Pradesh,Upper Siang,12,240,23,14,2711,9232913,2.0,7.1773904313439
Arunanchal Pradesh,Upper Subansiri,12,241,26,14,2005,20560913,2.0,7.0796584663999
Arunanchal Pradesh,West Kameng,12,242,28,18,3275,22246011,2.0,7.1773904313439
Arunanchal Pradesh,West Siang,12,243,24,14,2770,9262913,2.0,7.1773904313439
Assam,Baksa,18,616,32,21,2517,23876311,2.0,7.1773904313439
Assam,Barpeta,18,280,25,17,2444,23479511,2.0,7.1773904313439
Assam,Biswanath,18,705,45,26,3551,27206124,2.0,7.1773904313439
Assam,Bongaigaon,18,281,22,15,2438,23431211,2.0,7.1773904313439
Assam,Cachar,18,282,12,9,848,14078411,2.0,7.0499170611118
Assam,Charaideo,18,708,38,25,3086,24328124,2.0,7.1773904313439
Assam,Chirang,18,612,20,13,2354,23001211,2.0,7.1773904313439
Assam,Darrang,18,283,37,22,2534,24131311,2.0,7.1773904313439
Assam,Dhemaji,18,284,44,27,3366,26808124,2.0,7.1773904313439
Assam,Dhubri,18,285,21,15,2350,22530611,2.0,7.1773904313439
Assam,Dibrugarh,18,286,42,26,3262,26578124,2.0,7.1773904313439
Assam,Dima Hasao,18,299,23,17,2076,20958011,2.0,7.1773904313439
Assam,Goalpara,18,287,23,15,2419,22661511,2.0,7.1773904313439
Assam,Golaghat,18,288,44,26,3551,27196124,2.0,7.1773904313439
Assam,Hailakandi,18,289,11,9,752,2978411,2.0,7.0499170611118
Assam,Hojai,18,709,33,21,3200,22847011,2.0,7.1773904313439
Assam,Jorhat,18,290,41,26,3224,26538124,2.0,7.1773904313439
Assam,Kamrup,18,291,31,19,2486,23903511,2.0,7.1773904313439
Assam,Kamrup Metro,18,618,32,19,2382,23879311,2.0,7.1773904313439
Assam,Karbi Anglong,18,292,42,24,3457,25281124,2.0,7.1773904313439
Assam,Karimganj,18,293,11,10,761,3675211,2.0,7.0499170611118
Assam,Kokrajhar,18,294,19,13,2300,21800611,2.0,7.1773904313439
Assam,Lakhimpur,18,295,45,26,3475,27193124,2.0,7.1773904313439
Assam,Majuli,18,706,44,26,3475,27163124,2.0,7.1773904313439
Assam,Marigaon,18,296,37,22,2534,24131311,2.0,7.1773904313439
Assam,Nagaon,18,297,42,23,3438,25256311,2.0,7.1773904313439
