state_name,district,stcode,dtcode,year,flood_events,affected_area,fatalities,displaced,max_severity,max_flood_impact_index,flood_occurred
Andhra Pradesh,Anantapur,28,502,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,Anantapur,28,502,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,Anantapur,28,502,1991,2,1090926.38334009,162,385000,2.0,6.5559874421319,1
Andhra Pradesh,Anantapur,28,502,1992,1,752428.65689717,90,8000,1.0,7.4675299347014,1
Andhra Pradesh,Anantapur,28,502,1994,1,1981837.4145729,617,800000,1.0,7.6772792647922,1
Andhra Pradesh,Anantapur,28,502,1995,1,262803.20430156,94,12000,1.0,6.0216906475049,1
Andhra Pradesh,Anantapur,28,502,1996,1,177527.01853538,326,100000,1.0,5.9482344637432,1
Andhra Pradesh,Anantapur,28,502,1997,2,617912.7700778099,106,0,1.0,6.622673838813,1
Andhra Pradesh,Anantapur,28,502,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,Anantapur,28,502,2001,1,87384.49860174801,143,50000,1.0,5.71958564905,1
Andhra Pradesh,Anantapur,28,502,2005,1,619197.82147132,126,100000,1.0,7.1897694283678,1
Andhra Pradesh,Anantapur,28,502,2006,1,190869.85004179,20,0,1.0,5.8827973236263,1
Andhra Pradesh,Anantapur,28,502,2007,1,450564.3552535,127,200000,1.0,6.7677001834385,1
Andhra Pradesh,Anantapur,28,502,2009,1,309688.87629397993,303,0,2.0,7.047228106993,1
Andhra Pradesh,Anantapur,28,502,2012,1,126082.83119507,40,70000,2.0,6.1006559523551,1
Andhra Pradesh,Anantapur,28,502,2018,1,116730.40864663002,3,300,1.5,5.544305260612,1
Andhra Pradesh,Anantapur,28,502,2021,3,411796.70046552,56,75187,2.0,6.197103495333,1
Andhra Pradesh,Chittoor,28,503,1989,1,905209.24002345,780,0,1.0,6.9567489784143,1
Andhra Pradesh,Chittoor,28,503,1990,1,267344.39912722,430,470000,1.0,6.0291310813779,1
Andhra Pradesh,Chittoor,28,503,1991,1,599564.88825453,90,85000,1.0,6.5559874421319,1
Andhra Pradesh,Chittoor,28,503,1992,1,752428.65689717,90,8000,1.0,7.4675299347014,1
Andhra Pradesh,Chittoor,28,503,1993,1,7968.640175747,70,45000,1.0,4.9805654627316,1
Andhra Pradesh,Chittoor,28,503,1994,3,2181724.894029497,887,816000,1.0,7.6772792647922,1
Andhra Pradesh,Chittoor,28,503,1995,1,262803.20430156,94,12000,1.0,6.0216906475049,1
Andhra Pradesh,Chittoor,28,503,1996,1,177527.01853538,326,100000,1.0,5.9482344637432,1
Andhra Pradesh,Chittoor,28,503,1997,2,617912.7700778099,106,0,1.0,6.622673838813,1
Andhra Pradesh,Chittoor,28,503,1998,1,194230.07599669,230,80000,1.0,6.5893464757574,1
Andhra Pradesh,Chittoor,28,503,2001,1,87384.49860174801,143,50000,1.0,5.71958564905,1
