ReportNumber,state_name,district,BeginDate,EndDate,Duration,Area,Source,NumberOfFatalities,NumberOfDisplaced,MainCause,Severity,FloodImpactIndex,event_year
27,Dadra & Nagar Havelli and Daman & Diu,Dadra And Nagar Haveli,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Goa,North Goa,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Goa,South Goa,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Gujarat,Dang,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Gujarat,Navsari,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Gujarat,Valsad,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Bagalkote,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Ballari,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Belagavi,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Chamarajanagara,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Chikkamagaluru,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Chitradurga,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Dakshina Kannada,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Davangere,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Dharwad,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Gadag,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Hassan,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Haveri,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Kodagu,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Koppal,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Mandya,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Mysuru,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Shivamogga,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Tumakuru,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Udupi,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Uttara Kannada,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Karnataka,Vijayapura,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Kerala,Alappuzha,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Kerala,Ernakulam,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Kerala,Idukki,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Kerala,Kannur,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Kerala,Kasaragod,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Kerala,Kollam,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Kerala,Kottayam,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Kerala,Kozhikode,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
27,Kerala,Malappuram,1985-06-23,1985-06-27,5,254234.59502901,News,95,25000,Heavy rain,1,6.1042046512933,1985
