state_name,district,latitude,longitude,elevation_m,status,terrain_class,terrain_data_source
Manipur,Kamjong,24.796875,94.392713,1403.0,success,hilly,SRTM30m
Madhya Pradesh,Anuppur,23.035743,81.390492,781.0,success,hilly,SRTM30m
Madhya Pradesh,Ashoknagar,24.618374,77.878765,460.0,success,non_hilly,SRTM30m
Madhya Pradesh,Balaghat,21.861079,80.323596,462.0,success,non_hilly,SRTM30m
Madhya Pradesh,Harda,22.242797,77.117917,305.0,success,non_hilly,SRTM30m
Madhya Pradesh,Narmadapuram,22.600282,77.926984,340.0,success,non_hilly,SRTM30m
Madhya Pradesh,Indore,22.710812,75.807693,559.0,success,hilly,SRTM30m
Madhya Pradesh,Jabalpur,23.223166,79.982607,391.0,success,non_hilly,SRTM30m
Madhya Pradesh,Jhabua,22.88692,74.724386,390.0,success,non_hilly,SRTM30m
Madhya Pradesh,Katni,23.717649,80.261021,410.0,success,non_hilly,SRTM30m
Madhya Pradesh,Khargone,21.954473,75.752125,208.0,success,non_hilly,SRTM30m
Madhya Pradesh,Mandla,22.687176,80.583176,490.0,success,non_hilly,SRTM30m
Puducherry,Pondicherry,11.921836,79.794853,7.0,success,non_hilly,SRTM30m
Puducherry,Yanam,16.73321,82.205175,4.0,success,non_hilly,SRTM30m
Rajasthan,Jaipur,27.150559,75.746774,488.0,success,non_hilly,SRTM30m
Rajasthan,Jaisalmer,27.027373,70.777652,162.0,success,non_hilly,SRTM30m
Rajasthan,Jalore,25.210003,72.319279,116.0,success,non_hilly,SRTM30m
Rajasthan,Jhalawar,24.312933,76.52299,324.0,success,non_hilly,SRTM30m
Rajasthan,Jhunjhunu,28.079953,75.541611,348.0,success,non_hilly,SRTM30m
Rajasthan,Jodhpur,26.736771,72.873695,322.0,success,non_hilly,SRTM30m
Rajasthan,Karauli,26.516121,77.057687,317.0,success,non_hilly,SRTM30m
Rajasthan,Kota,25.194782,75.999636,258.0,success,non_hilly,SRTM30m
Rajasthan,Nagaur,27.05898,74.175805,322.0,success,non_hilly,SRTM30m
Rajasthan,Pali,25.605202,73.416043,248.0,success,non_hilly,SRTM30m
Rajasthan,Rajsamand,25.289278,73.82296,686.0,success,hilly,SRTM30m
Rajasthan,Sawai Madhopur,26.229548,76.30371,245.0,success,non_hilly,SRTM30m
Uttar Pradesh,Siddharth Nagar,27.251256,82.871457,86.0,success,non_hilly,SRTM30m
Uttar Pradesh,Sitapur,27.502672,80.833568,133.0,success,non_hilly,SRTM30m
Uttar Pradesh,Sonbhadra,24.415127,83.063218,272.0,success,non_hilly,SRTM30m
Uttar Pradesh,Sultanpur,26.260453,82.238104,94.0,success,non_hilly,SRTM30m
Uttar Pradesh,Unnao,26.567325,80.619864,122.0,success,non_hilly,SRTM30m
Uttar Pradesh,Varanasi,25.372151,82.941737,79.0,success,non_hilly,SRTM30m
Uttar Pradesh,Kasganj,27.788846,78.822967,176.0,success,non_hilly,SRTM30m
Uttar Pradesh,Amethi,26.346261,81.625244,110.0,success,non_hilly,SRTM30m
Uttar Pradesh,Sambhal,28.42723,78.556456,192.0,success,non_hilly,SRTM30m
Uttar Pradesh,Shamli,29.477224,77.287074,244.0,success,non_hilly,SRTM30m
Uttar Pradesh,Hapur,28.716716,77.890408,212.0,success,non_hilly,SRTM30m
West Bengal,24 Paraganas North,22.687777,88.660602,12.0,success,non_hilly,SRTM30m
West Bengal,24 Paraganas South,22.091132,88.631053,0.0,success,non_hilly,SRTM30m
West Bengal,Bankura,23.133384,87.208101,75.0,success,non_hilly,SRTM30m
West Bengal,Purba Bardhaman,23.389576,87.906445,30.0,success,non_hilly,SRTM30m
West Bengal,Birbhum,24.063678,87.697955,49.0,success,non_hilly,SRTM30m
West Bengal,Coochbehar,26.252012,89.419444,41.0,success,non_hilly,SRTM30m
West Bengal,Darjeeling,26.839211,88.308289,492.0,success,non_hilly,SRTM30m
West Bengal,Dinajpur Dakshin,25.386878,88.505436,28.0,success,non_hilly,SRTM30m
Andaman & Nicobar Island,South Andamans,10.704663,92.488856,113.0,success,non_hilly,SRTM30m
Andaman & Nicobar Island,Nicobars,7.000402,93.810291,121.0,success,non_hilly,SRTM30m
Andaman & Nicobar Island,North And Middle Andaman,12.611585,92.831538,99.0,success,non_hilly,SRTM30m
Andhra Pradesh,Anantapur,14.459022,77.501397,428.0,success,non_hilly,SRTM30m
Andhra Pradesh,Chittoor,13.309409,78.975506,417.0,success,non_hilly,SRTM30m
Andhra Pradesh,Y.S.R.,14.476819,78.665296,157.0,success,non_hilly,SRTM30m
Andhra Pradesh,East Godavari,17.161476,82.044391,30.0,success,non_hilly,SRTM30m
Andhra Pradesh,Guntur,16.266894,80.181816,45.0,success,non_hilly,SRTM30m
Andhra Pradesh,Krishna,16.431761,81.036913,5.0,success,non_hilly,SRTM30m
Andhra Pradesh,Kurnool,15.524792,77.9034,356.0,success,non_hilly,SRTM30m
Andhra Pradesh,Spsr Nellore,14.293407,79.77947,27.0,success,non_hilly,SRTM30m
Andhra Pradesh,Prakasam,15.634589,79.51104,133.0,success,non_hilly,SRTM30m
Andhra Pradesh,Srikakulam,18.622074,83.973235,37.0,success,non_hilly,SRTM30m
Andhra Pradesh,Visakhapatanam,17.899462,82.564071,1199.0,success,hilly,SRTM30m
Andhra Pradesh,Vizianagaram,18.5012,83.319456,126.0,success,non_hilly,SRTM30m
Andhra Pradesh,West Godavari,16.979197,81.340664,123.0,success,non_hilly,SRTM30m
Arunanchal Pradesh,Changlang,27.269464,96.059419,556.0,success,hilly,SRTM30m
Arunanchal Pradesh,Dibang Valley,28.878366,95.92481,2835.0,success,hilly,SRTM30m
Arunanchal Pradesh,East Kameng,27.55575,92.973731,474.0,success,non_hilly,SRTM30m
Arunanchal Pradesh,Lohit,27.964058,96.273539,733.0,success,hilly,SRTM30m
Arunanchal Pradesh,Lower Dibang Valley,28.228521,95.887507,1640.0,success,hilly,SRTM30m
Arunanchal Pradesh,Lower Subansiri,27.542303,93.789731,1753.0,success,hilly,SRTM30m
Arunanchal Pradesh,East Siang,28.069064,95.392603,144.0,success,non_hilly,SRTM30m
Arunanchal Pradesh,Kurung Kumey,27.982685,93.161421,2096.0,success,hilly,SRTM30m
Arunanchal Pradesh,Papum Pare,27.284704,93.616501,1313.0,success,hilly,SRTM30m
Arunanchal Pradesh,Tawang,27.661099,91.907038,3965.0,success,hilly,SRTM30m
Arunanchal Pradesh,Tirap,27.035919,95.507777,673.0,success,hilly,SRTM30m
Arunanchal Pradesh,Upper Siang,28.74735,95.025005,2119.0,success,hilly,SRTM30m
Arunanchal Pradesh,Upper Subansiri,28.232839,94.103972,618.0,success,hilly,SRTM30m
Arunanchal Pradesh,West Kameng,27.317855,92.445382,1680.0,success,hilly,SRTM30m
Arunanchal Pradesh,West Siang,28.196509,94.483026,2256.0,success,hilly,SRTM30m
Arunanchal Pradesh,Anjaw,28.035419,96.853275,3333.0,success,hilly,SRTM30m
Arunanchal Pradesh,Longding,26.879063,95.287775,613.0,success,hilly,SRTM30m
Arunanchal Pradesh,Kra Daadi,27.942655,93.771025,1374.0,success,hilly,SRTM30m
Arunanchal Pradesh,Namsai,27.710383,96.01294,207.0,success,non_hilly,SRTM30m
Arunanchal Pradesh,Siang,28.476869,94.81827,1044.0,success,hilly,SRTM30m
Bihar,Araria,26.264828,87.371782,55.0,success,non_hilly,SRTM30m
Bihar,Aurangabad,24.802722,84.410966,103.0,success,non_hilly,SRTM30m
Arunanchal Pradesh,Kamle,27.737138,94.110428,978.0,success,hilly,SRTM30m
Arunanchal Pradesh,Lower Siang,27.803531,94.56848,729.0,success,hilly,SRTM30m
Bihar,Banka,24.833282,86.816,115.0,success,non_hilly,SRTM30m
Bihar,Begusarai,25.513015,86.08868,41.0,success,non_hilly,SRTM30m
Bihar,Bhagalpur,25.283884,87.132333,33.0,success,non_hilly,SRTM30m
Bihar,Bhojpur,25.46112,84.566145,63.0,success,non_hilly,SRTM30m
Bihar,Buxar,25.504203,84.109275,67.0,success,non_hilly,SRTM30m
Bihar,Darbhanga,26.082602,86.032877,44.0,success,non_hilly,SRTM30m
Bihar,Gaya,24.679524,85.011406,120.0,success,non_hilly,SRTM30m
Bihar,Gopalganj,26.42129,84.373947,66.0,success,non_hilly,SRTM30m
Arunanchal Pradesh,Pakke Kessang,27.156486,93.151057,1436.0,success,hilly,SRTM30m
Bihar,Jamui,24.755728,86.300689,122.0,success,non_hilly,SRTM30m
Bihar,Jehanabad,25.15318,85.006554,72.0,success,non_hilly,SRTM30m
Arunanchal Pradesh,Leparada,27.917339,94.707408,675.0,success,hilly,SRTM30m
Bihar,Kaimur (Bhabua),24.975338,83.576387,98.0,success,non_hilly,SRTM30m
Bihar,Katihar,25.547833,87.647614,35.0,success,non_hilly,SRTM30m
Arunanchal Pradesh,Shi Yomi,28.68507,94.238426,2722.0,success,hilly,SRTM30m
Assam,Barpeta,26.376306,91.049468,40.0,success,non_hilly,SRTM30m
Assam,Bongaigaon,26.339917,90.628451,39.0,success,non_hilly,SRTM30m
Assam,Cachar,24.75841,92.881356,26.0,success,non_hilly,SRTM30m
Assam,Darrang,26.438395,92.005064,55.0,success,non_hilly,SRTM30m
Assam,Dhemaji,27.577704,94.695287,110.0,success,non_hilly,SRTM30m
Assam,Dhubri,26.132295,90.129865,28.0,success,non_hilly,SRTM30m
Assam,Dibrugarh,27.398014,94.996351,105.0,success,non_hilly,SRTM30m
Assam,Goalpara,26.061127,90.581017,49.0,success,non_hilly,SRTM30m
Assam,Golaghat,26.318346,93.998703,105.0,success,non_hilly,SRTM30m
Assam,Hailakandi,24.507957,92.630415,51.0,success,non_hilly,SRTM30m
Assam,Jorhat,26.650268,94.269665,110.0,success,non_hilly,SRTM30m
Assam,Kamrup,26.124433,91.29921,45.0,success,non_hilly,SRTM30m
Assam,Karbi Anglong,26.071343,93.451405,857.0,success,hilly,SRTM30m
Assam,Karimganj,24.582981,92.371324,60.0,success,non_hilly,SRTM30m
Assam,Kokrajhar,26.49328,90.121263,50.0,success,non_hilly,SRTM30m
Assam,Lakhimpur,27.171225,94.188407,88.0,success,non_hilly,SRTM30m
Assam,Marigaon,26.289928,92.291859,55.0,success,non_hilly,SRTM30m
Assam,Nagaon,26.331023,92.758212,62.0,success,non_hilly,SRTM30m
Assam,Nalbari,26.355102,91.399785,44.0,success,non_hilly,SRTM30m
Assam,Dima Hasao,25.398471,93.076869,271.0,success,non_hilly,SRTM30m
Assam,Sivasagar,26.993864,94.621813,94.0,success,non_hilly,SRTM30m
Assam,Sonitpur,26.763877,92.703411,79.0,success,non_hilly,SRTM30m
Assam,Tinsukia,27.597178,95.566896,129.0,success,non_hilly,SRTM30m
Assam,Chirang,26.645248,90.629425,93.0,success,non_hilly,SRTM30m
Assam,Baksa,26.633,91.455052,75.0,success,non_hilly,SRTM30m
Assam,Udalguri,26.70767,92.038879,92.0,success,non_hilly,SRTM30m
Assam,Kamrup Metro,26.126069,91.862585,185.0,success,non_hilly,SRTM30m
Assam,Biswanath,26.793083,93.361125,77.0,success,non_hilly,SRTM30m
Assam,Majuli,26.970921,94.278549,87.0,success,non_hilly,SRTM30m
Assam,South Salmara Mancachar,25.760507,89.893939,26.0,success,non_hilly,SRTM30m
Assam,Charaideo,27.070207,95.06496,108.0,success,non_hilly,SRTM30m
Assam,Hojai,25.963203,92.9793,79.0,success,non_hilly,SRTM30m
Assam,West Karbi Anglong,25.852531,92.587243,408.0,success,non_hilly,SRTM30m
Bihar,Khagaria,25.492787,86.698328,35.0,success,non_hilly,SRTM30m
Bihar,Kishanganj,26.304286,87.948677,58.0,success,non_hilly,SRTM30m
Bihar,Lakhisarai,25.156322,86.175638,45.0,success,non_hilly,SRTM30m
Bihar,Madhepura,25.780047,86.93618,46.0,success,non_hilly,SRTM30m
Bihar,Madhubani,26.350265,86.22968,54.0,success,non_hilly,SRTM30m
Bihar,Munger,25.220764,86.516423,324.0,success,non_hilly,SRTM30m
Bihar,Muzaffarpur,26.148751,85.340321,53.0,success,non_hilly,SRTM30m
Bihar,Nalanda,25.209913,85.447539,54.0,success,non_hilly,SRTM30m
Bihar,Nawada,24.817142,85.51796,99.0,success,non_hilly,SRTM30m
Bihar,Pashchim Champaran,27.052278,84.334708,84.0,success,non_hilly,SRTM30m
Bihar,Patna,25.467363,85.19618,50.0,success,non_hilly,SRTM30m
Bihar,Purbi Champaran,26.638942,84.899306,64.0,success,non_hilly,SRTM30m
Bihar,Purnia,25.774872,87.409736,38.0,success,non_hilly,SRTM30m
Bihar,Rohtas,24.939508,84.020582,110.0,success,non_hilly,SRTM30m
Bihar,Saharsa,25.832113,86.617877,42.0,success,non_hilly,SRTM30m
Bihar,Samastipur,25.77449,85.866873,43.0,success,non_hilly,SRTM30m
Bihar,Saran,25.910005,84.781223,55.0,success,non_hilly,SRTM30m
Bihar,Sheikhpura,25.125545,85.815257,48.0,success,non_hilly,SRTM30m
Bihar,Sheohar,26.493754,85.271935,64.0,success,non_hilly,SRTM30m
Bihar,Sitamarhi,26.571264,85.599721,59.0,success,non_hilly,SRTM30m
Bihar,Siwan,26.131378,84.390116,65.0,success,non_hilly,SRTM30m
Bihar,Supaul,26.27655,86.79018,59.0,success,non_hilly,SRTM30m
Bihar,Vaishali,25.754303,85.397609,50.0,success,non_hilly,SRTM30m
Bihar,Arwal,25.181214,84.65995,76.0,success,non_hilly,SRTM30m
Chhattisgarh,Bastar,19.124376,81.830075,578.0,success,hilly,SRTM30m
Chhattisgarh,Bilaspur,22.169534,82.136391,283.0,success,non_hilly,SRTM30m
Chhattisgarh,Dantewada,18.785351,81.480871,497.0,success,non_hilly,SRTM30m
Chhattisgarh,Dhamtari,20.535082,81.715765,443.0,success,non_hilly,SRTM30m
Chhattisgarh,Durg,21.19674,81.400492,307.0,success,non_hilly,SRTM30m
Chhattisgarh,Janjgir-Champa,21.972449,82.661891,244.0,success,non_hilly,SRTM30m
Chhattisgarh,Jashpur,22.770256,83.970968,509.0,success,non_hilly,SRTM30m
Chhattisgarh,Kanker,20.132414,80.985946,351.0,success,non_hilly,SRTM30m
Chhattisgarh,Kabirdham,22.114981,81.24718,367.0,success,non_hilly,SRTM30m
Chhattisgarh,Korba,22.519838,82.6352,290.0,success,non_hilly,SRTM30m
Chhattisgarh,Korea,23.43175,82.317689,808.0,success,hilly,SRTM30m
Chhattisgarh,Mahasamund,21.191387,82.488668,304.0,success,non_hilly,SRTM30m
Chhattisgarh,Raigarh,22.066965,83.310042,283.0,success,non_hilly,SRTM30m
Chhattisgarh,Raipur,21.283023,81.817586,283.0,success,non_hilly,SRTM30m
Chhattisgarh,Rajnandgaon,20.976771,80.691611,362.0,success,non_hilly,SRTM30m
Chhattisgarh,Surguja,22.94631,83.165859,590.0,success,hilly,SRTM30m
Chhattisgarh,Bijapur,18.770597,80.740603,205.0,success,non_hilly,SRTM30m
Chhattisgarh,Narayanpur,19.524878,81.168094,619.0,success,hilly,SRTM30m
Chhattisgarh,Sukma,18.26662,81.292194,360.0,success,non_hilly,SRTM30m
Chhattisgarh,Kondagaon,19.709025,81.742211,593.0,success,hilly,SRTM30m
Chhattisgarh,Baloda Bazar,21.573178,82.438886,275.0,success,non_hilly,SRTM30m
Chhattisgarh,Gariyaband,20.429566,82.253018,426.0,success,non_hilly,SRTM30m
Chhattisgarh,Balod,20.727911,81.144049,338.0,success,non_hilly,SRTM30m
Chhattisgarh,Mungeli,22.243972,81.654072,315.0,success,non_hilly,SRTM30m
Chhattisgarh,Surajpur,23.358201,82.975669,552.0,success,hilly,SRTM30m
Chhattisgarh,Balrampur,23.628494,83.480986,747.0,success,hilly,SRTM30m
Chhattisgarh,Bemetara,21.678209,81.441411,268.0,success,non_hilly,SRTM30m
Chhattisgarh,Gaurella Pendra Marwahi,22.831123,81.958756,579.0,success,hilly,SRTM30m
Chandigarh,Chandigarh,30.730988,76.784176,346.0,success,non_hilly,SRTM30m
Dadra & Nagar Havelli and Daman & Diu,Daman,20.418435,72.843079,11.0,success,non_hilly,SRTM30m
Delhi,New Delhi,28.564714,77.121865,236.0,success,non_hilly,SRTM30m
Delhi,North,28.783929,77.099297,212.0,success,non_hilly,SRTM30m
Delhi,North East,28.726534,77.261513,212.0,success,non_hilly,SRTM30m
Delhi,North West,28.737232,77.012092,214.0,success,non_hilly,SRTM30m
Delhi,South,28.493457,77.197901,265.0,success,non_hilly,SRTM30m
Delhi,South West,28.585501,76.978557,214.0,success,non_hilly,SRTM30m
Delhi,West,28.649047,77.090072,220.0,success,non_hilly,SRTM30m
Delhi,South East,28.54477,77.274132,233.0,success,non_hilly,SRTM30m
Delhi,Shahdara,28.676982,77.295972,211.0,success,non_hilly,SRTM30m
Dadra & Nagar Havelli and Daman & Diu,Diu,20.721669,70.932773,11.0,success,non_hilly,SRTM30m
Delhi,Central,28.700658,77.2211,216.0,success,non_hilly,SRTM30m
Dadra & Nagar Havelli and Daman & Diu,Dadra And Nagar Haveli,20.20403,73.00653,47.0,success,non_hilly,SRTM30m
Goa,North Goa,15.53455,74.019597,17.0,success,non_hilly,SRTM30m
Goa,South Goa,15.196196,74.12255,45.0,success,non_hilly,SRTM30m
Gujarat,Ahmadabad,22.695622,72.314232,15.0,success,non_hilly,SRTM30m
Gujarat,Amreli,21.418126,71.280395,109.0,success,non_hilly,SRTM30m
Delhi,East,28.614514,77.298329,205.0,success,non_hilly,SRTM30m
Gujarat,Anand,22.432362,72.719501,26.0,success,non_hilly,SRTM30m
Gujarat,Banas Kantha,24.269663,72.162832,123.0,success,non_hilly,SRTM30m
Gujarat,Bharuch,21.812184,72.947441,15.0,success,non_hilly,SRTM30m
Gujarat,Bhavnagar,21.55773,71.904753,76.0,success,non_hilly,SRTM30m
Gujarat,Dang,20.788026,73.709403,517.0,success,hilly,SRTM30m
Gujarat,Dohad,22.919382,74.134398,314.0,success,non_hilly,SRTM30m
Gujarat,Gandhinagar,23.281988,72.653628,81.0,success,non_hilly,SRTM30m
Gujarat,Jamnagar,22.332524,70.098167,44.0,success,non_hilly,SRTM30m
Gujarat,Junagadh,21.340327,70.419692,72.0,success,non_hilly,SRTM30m
Gujarat,Kachchh,23.70826,69.80596,6.0,success,non_hilly,SRTM30m
Gujarat,Kheda,22.852854,72.99483,55.0,success,non_hilly,SRTM30m
Gujarat,Mahesana,23.570552,72.441694,96.0,success,non_hilly,SRTM30m
Gujarat,Narmada,21.739088,73.626406,351.0,success,non_hilly,SRTM30m
Gujarat,Navsari,20.829626,73.032462,20.0,success,non_hilly,SRTM30m
Gujarat,Panch Mahals,22.697806,73.597957,125.0,success,non_hilly,SRTM30m
Gujarat,Patan,23.773757,71.679603,31.0,success,non_hilly,SRTM30m
Gujarat,Porbandar,21.603179,69.853064,10.0,success,non_hilly,SRTM30m
Gujarat,Rajkot,22.069868,71.028451,193.0,success,non_hilly,SRTM30m
Gujarat,Sabar Kantha,23.868835,73.013862,220.0,success,non_hilly,SRTM30m
Gujarat,Surat,21.191725,72.952797,18.0,success,non_hilly,SRTM30m
