state_name,district,latitude,longitude,elevation_m,status,terrain_class,terrain_data_source,slope_percent,terrain_cluster
Manipur,Kamjong,24.796875,94.392713,1403.0,success,non_hilly,SRTM30m,10.87369928159328,2.0
Madhya Pradesh,Anuppur,23.035743,81.390492,781.0,success,non_hilly,SRTM30m,1.0111357062431259,0.0
Madhya Pradesh,Ashoknagar,24.618374,77.878765,460.0,success,non_hilly,SRTM30m,0.10885511318457693,0.0
Madhya Pradesh,Balaghat,21.861079,80.323596,462.0,success,non_hilly,SRTM30m,11.816064704590854,0.0
Madhya Pradesh,Harda,22.242797,77.117917,305.0,success,non_hilly,SRTM30m,0.4348218751149451,0.0
Madhya Pradesh,Narmadapuram,22.600282,77.926984,340.0,success,non_hilly,SRTM30m,1.135599337944857,0.0
Madhya Pradesh,Indore,22.710812,75.807693,559.0,success,non_hilly,SRTM30m,0.5446453230508688,0.0
Madhya Pradesh,Jabalpur,23.223166,79.982607,391.0,success,non_hilly,SRTM30m,0.576203291655127,0.0
Madhya Pradesh,Jhabua,22.88692,74.724386,390.0,success,non_hilly,SRTM30m,2.51410970206162,0.0
Madhya Pradesh,Katni,23.717649,80.261021,410.0,success,non_hilly,SRTM30m,0.6946747606039899,0.0
Madhya Pradesh,Khargone,21.954473,75.752125,208.0,success,non_hilly,SRTM30m,0.6938240486281475,0.0
Madhya Pradesh,Mandla,22.687176,80.583176,490.0,success,non_hilly,SRTM30m,1.9144363811722367,0.0
Puducherry,Pondicherry,11.921836,79.794853,7.0,success,non_hilly,SRTM30m,0.5286093548123109,0.0
Puducherry,Yanam,16.73321,82.205175,4.0,success,non_hilly,SRTM30m,0.22522522522522523,0.0
Rajasthan,Jaipur,27.150559,75.746774,488.0,success,non_hilly,SRTM30m,0.82380499773731,0.0
Rajasthan,Jaisalmer,27.027373,70.777652,162.0,success,non_hilly,SRTM30m,0.36525745497681733,0.0
Rajasthan,Jalore,25.210003,72.319279,116.0,success,non_hilly,SRTM30m,0.330664154897446,0.0
Rajasthan,Jhalawar,24.312933,76.52299,324.0,success,non_hilly,SRTM30m,0.753647502106205,0.0
Rajasthan,Jhunjhunu,28.079953,75.541611,348.0,success,non_hilly,SRTM30m,0.3745475642649298,0.0
Rajasthan,Jodhpur,26.736771,72.873695,322.0,success,non_hilly,SRTM30m,0.506384459126655,0.0
Rajasthan,Karauli,26.516121,77.057687,317.0,success,non_hilly,SRTM30m,1.0316924627832127,0.0
Rajasthan,Kota,25.194782,75.999636,258.0,success,non_hilly,SRTM30m,0.27023999319684144,0.0
Rajasthan,Nagaur,27.05898,74.175805,322.0,success,non_hilly,SRTM30m,0.4145616511913331,0.0
Rajasthan,Pali,25.605202,73.416043,248.0,success,non_hilly,SRTM30m,0.22522522522522523,0.0
Rajasthan,Rajsamand,25.289278,73.82296,686.0,success,non_hilly,SRTM30m,0.7485405936593145,0.0
Rajasthan,Sawai Madhopur,26.229548,76.30371,245.0,success,non_hilly,SRTM30m,0.2307553286081064,0.0
Uttar Pradesh,Siddharth Nagar,27.251256,82.871457,86.0,success,non_hilly,SRTM30m,0.13559346991411148,0.0
Uttar Pradesh,Sitapur,27.502672,80.833568,133.0,success,non_hilly,SRTM30m,0.40540540540540543,0.0
Uttar Pradesh,Sonbhadra,24.415127,83.063218,272.0,success,non_hilly,SRTM30m,0.526480073656642,0.0
Uttar Pradesh,Sultanpur,26.260453,82.238104,94.0,success,non_hilly,SRTM30m,0.1572758931573123,0.0
Uttar Pradesh,Unnao,26.567325,80.619864,122.0,success,non_hilly,SRTM30m,0.27120875534600813,0.0
Uttar Pradesh,Varanasi,25.372151,82.941737,79.0,success,non_hilly,SRTM30m,0.18694997788971462,0.0
