time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.1,96,0.387,0.229
1986-06-13T01:00,,24.2,97,0.419,0.232
1986-06-13T02:00,,24.3,97,0.423,0.24
1986-06-13T03:00,,24.6,96,0.409,0.248
1986-06-13T04:00,,25.2,92,0.403,0.252
1986-06-13T05:00,,25.7,91,0.41,0.256
1986-06-13T06:00,,26.4,87,0.405,0.26
1986-06-13T07:00,,31.5,70,0.39,0.263
1986-06-13T08:00,,32.2,68,0.381,0.264
1986-06-13T09:00,,32.2,69,0.374,0.265
1986-06-13T10:00,,32.4,67,0.369,0.265
1986-06-13T11:00,,32.3,65,0.365,0.266
1986-06-13T12:00,,31.5,69,0.362,0.267
1986-06-13T13:00,,30.7,74,0.359,0.267
1986-06-13T14:00,,29.4,80,0.359,0.268
1986-06-13T15:00,,28.2,85,0.377,0.269
1986-06-13T16:00,,26.8,90,0.413,0.271
1986-06-13T17:00,,26.0,93,0.438,0.276
1986-06-13T18:00,,25.6,94,0.375,0.308
1986-06-13T19:00,,26.0,93,0.385,0.309
1986-06-13T20:00,,25.4,94,0.412,0.311
1986-06-13T21:00,,24.8,95,0.426,0.316
1986-06-13T22:00,,24.3,96,0.431,0.325
1986-06-13T23:00,,24.0,97,0.423,0.337
1986-06-14T00:00,,24.1,97,0.426,0.342
1986-06-14T01:00,,24.6,95,0.422,0.347
1986-06-14T02:00,,25.4,90,0.418,0.35
1986-06-14T03:00,,26.4,85,0.411,0.353
1986-06-14T04:00,,27.5,80,0.405,0.354
1986-06-14T05:00,,28.4,77,0.4,0.354
1986-06-14T06:00,,29.9,73,0.394,0.354
1986-06-14T07:00,,31.3,72,0.389,0.353
1986-06-14T08:00,,31.9,70,0.384,0.353
1986-06-14T09:00,,32.3,69,0.38,0.352
1986-06-14T10:00,,32.5,67,0.376,0.351
1986-06-14T11:00,,31.8,67,0.374,0.35
1986-06-14T12:00,,31.4,70,0.373,0.35
1986-06-14T13:00,,30.4,75,0.372,0.35
1986-06-14T14:00,,29.3,78,0.371,0.35
1986-06-14T15:00,,28.5,81,0.372,0.35
1986-06-14T16:00,,27.8,84,0.372,0.35
1986-06-14T17:00,,27.1,86,0.376,0.35
1986-06-14T18:00,,26.3,91,0.387,0.35
1986-06-14T19:00,,26.3,90,0.389,0.35
1986-06-14T20:00,,25.7,93,0.391,0.351
1986-06-14T21:00,,25.1,95,0.393,0.351
1986-06-14T22:00,,24.9,96,0.395,0.352
1986-06-14T23:00,,24.8,96,0.393,0.352
1986-06-15T00:00,,24.9,96,0.392,0.353
1986-06-15T01:00,,25.7,93,0.39,0.353
1986-06-15T02:00,,26.7,87,0.388,0.354
1986-06-15T03:00,,27.7,82,0.386,0.354
1986-06-15T04:00,,28.8,80,0.383,0.353
1986-06-15T05:00,,29.3,79,0.38,0.353
1986-06-15T06:00,,30.1,77,0.377,0.352
1986-06-15T07:00,,30.2,77,0.373,0.351
1986-06-15T08:00,,31.4,73,0.37,0.35
1986-06-15T09:00,,31.2,70,0.367,0.349
1986-06-15T10:00,,31.4,69,0.365,0.349
1986-06-15T11:00,,31.3,69,0.364,0.348
1986-06-15T12:00,,30.6,71,0.365,0.348
1986-06-15T13:00,,29.7,76,0.364,0.348
1986-06-15T14:00,,28.5,82,0.367,0.347
1986-06-15T15:00,,27.2,89,0.391,0.348
1986-06-15T16:00,,26.4,92,0.415,0.349
1986-06-15T17:00,,26.1,93,0.429,0.351
1986-06-15T18:00,,25.6,95,0.438,0.358
1986-06-15T19:00,,25.4,96,0.424,0.377
1986-06-15T20:00,,25.1,98,0.434,0.384
1986-06-15T21:00,,24.9,99,0.42,0.398
1986-06-15T22:00,,24.7,99,0.421,0.405
1986-06-15T23:00,,24.6,99,0.423,0.406
