time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.6,94,0.368,0.355
1985-09-11T01:00,,25.8,94,0.37,0.355
1985-09-11T02:00,,25.7,93,0.384,0.356
1985-09-11T03:00,,25.8,93,0.4,0.356
1985-09-11T04:00,,26.1,92,0.413,0.358
1985-09-11T05:00,,26.6,90,0.415,0.36
1985-09-11T06:00,,26.6,89,0.424,0.362
1985-09-11T07:00,,27.6,89,0.415,0.366
1985-09-11T08:00,,28.1,83,0.412,0.367
1985-09-11T09:00,,28.4,81,0.418,0.369
1985-09-11T10:00,,28.3,81,0.413,0.371
1985-09-11T11:00,,27.2,84,0.414,0.372
1985-09-11T12:00,,26.2,87,0.413,0.374
1985-09-11T13:00,,25.8,89,0.41,0.375
1985-09-11T14:00,,25.5,90,0.406,0.376
1985-09-11T15:00,,25.3,90,0.403,0.377
1985-09-11T16:00,,25.2,91,0.401,0.378
1985-09-11T17:00,,25.0,92,0.398,0.378
1985-09-11T18:00,,24.9,92,0.397,0.379
1985-09-11T19:00,,25.1,91,0.395,0.379
1985-09-11T20:00,,24.9,92,0.393,0.379
1985-09-11T21:00,,24.7,92,0.392,0.38
1985-09-11T22:00,,24.6,94,0.391,0.38
1985-09-11T23:00,,24.6,94,0.39,0.38
1985-09-12T00:00,,24.7,94,0.389,0.38
1985-09-12T01:00,,25.0,94,0.388,0.38
1985-09-12T02:00,,26.2,87,0.387,0.38
1985-09-12T03:00,,27.3,81,0.385,0.38
1985-09-12T04:00,,28.4,75,0.384,0.38
1985-09-12T05:00,,29.1,72,0.382,0.379
1985-09-12T06:00,,30.0,68,0.379,0.378
1985-09-12T07:00,,30.5,67,0.377,0.377
1985-09-12T08:00,,31.0,67,0.374,0.376
1985-09-12T09:00,,31.1,66,0.372,0.375
1985-09-12T10:00,,31.0,67,0.37,0.374
1985-09-12T11:00,,29.5,74,0.37,0.374
1985-09-12T12:00,,28.6,78,0.37,0.374
1985-09-12T13:00,,27.8,80,0.37,0.373
1985-09-12T14:00,,27.4,81,0.37,0.373
1985-09-12T15:00,,27.1,82,0.369,0.373
1985-09-12T16:00,,27.0,83,0.369,0.373
1985-09-12T17:00,,26.7,85,0.369,0.373
1985-09-12T18:00,,26.5,86,0.368,0.373
1985-09-12T19:00,,26.6,86,0.368,0.373
1985-09-12T20:00,,26.4,86,0.368,0.373
1985-09-12T21:00,,26.1,87,0.368,0.373
1985-09-12T22:00,,25.7,89,0.367,0.373
1985-09-12T23:00,,25.4,90,0.367,0.373
1985-09-13T00:00,,25.0,92,0.367,0.373
1985-09-13T01:00,,25.3,93,0.367,0.372
1985-09-13T02:00,,26.6,86,0.366,0.372
1985-09-13T03:00,,27.7,81,0.365,0.372
1985-09-13T04:00,,28.8,75,0.364,0.371
1985-09-13T05:00,,29.8,70,0.362,0.37
1985-09-13T06:00,,30.3,68,0.36,0.369
1985-09-13T07:00,,31.0,69,0.357,0.368
1985-09-13T08:00,,31.3,69,0.355,0.367
1985-09-13T09:00,,31.1,70,0.353,0.366
1985-09-13T10:00,,30.8,69,0.351,0.365
1985-09-13T11:00,,30.5,69,0.35,0.364
1985-09-13T12:00,,29.8,74,0.35,0.364
1985-09-13T13:00,,28.7,78,0.35,0.364
1985-09-13T14:00,,28.0,81,0.35,0.363
1985-09-13T15:00,,27.6,83,0.35,0.363
1985-09-13T16:00,,27.4,83,0.35,0.363
1985-09-13T17:00,,27.0,84,0.35,0.363
1985-09-13T18:00,,26.8,84,0.35,0.363
1985-09-13T19:00,,26.5,85,0.35,0.363
1985-09-13T20:00,,26.2,86,0.35,0.363
1985-09-13T21:00,,25.9,87,0.35,0.363
1985-09-13T22:00,,25.6,88,0.35,0.362
1985-09-13T23:00,,25.3,90,0.35,0.362
