time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.3,71,0.128,0.15
1986-06-13T01:00,,30.5,71,0.128,0.15
1986-06-13T02:00,,31.1,70,0.135,0.15
1986-06-13T03:00,,30.9,73,0.152,0.15
1986-06-13T04:00,,32.0,67,0.151,0.15
1986-06-13T05:00,,33.8,60,0.15,0.15
1986-06-13T06:00,,34.9,55,0.149,0.15
1986-06-13T07:00,,38.6,41,0.148,0.15
1986-06-13T08:00,,39.1,40,0.148,0.15
1986-06-13T09:00,,37.0,47,0.155,0.15
1986-06-13T10:00,,35.6,54,0.159,0.15
1986-06-13T11:00,,35.3,55,0.159,0.15
1986-06-13T12:00,,35.0,55,0.158,0.15
1986-06-13T13:00,,34.4,56,0.158,0.15
1986-06-13T14:00,,33.7,59,0.158,0.15
1986-06-13T15:00,,33.1,61,0.158,0.15
1986-06-13T16:00,,32.8,62,0.157,0.15
1986-06-13T17:00,,32.2,64,0.157,0.15
1986-06-13T18:00,,31.8,66,0.157,0.15
1986-06-13T19:00,,30.3,73,0.157,0.15
1986-06-13T20:00,,29.5,77,0.157,0.15
1986-06-13T21:00,,29.0,79,0.157,0.15
1986-06-13T22:00,,28.6,81,0.157,0.15
1986-06-13T23:00,,27.9,84,0.159,0.15
1986-06-14T00:00,,27.0,87,0.161,0.15
1986-06-14T01:00,,26.9,86,0.166,0.15
1986-06-14T02:00,,27.8,82,0.168,0.15
1986-06-14T03:00,,30.1,72,0.167,0.15
1986-06-14T04:00,,32.6,62,0.166,0.15
1986-06-14T05:00,,34.7,56,0.164,0.15
1986-06-14T06:00,,36.2,51,0.163,0.15
1986-06-14T07:00,,37.1,45,0.161,0.15
1986-06-14T08:00,,37.7,43,0.159,0.15
1986-06-14T09:00,,37.8,43,0.158,0.15
1986-06-14T10:00,,37.5,43,0.157,0.15
1986-06-14T11:00,,37.1,44,0.156,0.15
1986-06-14T12:00,,36.3,46,0.156,0.15
1986-06-14T13:00,,35.3,50,0.155,0.15
1986-06-14T14:00,,34.3,54,0.155,0.15
1986-06-14T15:00,,33.4,58,0.155,0.15
1986-06-14T16:00,,32.7,62,0.155,0.15
1986-06-14T17:00,,32.2,64,0.155,0.15
1986-06-14T18:00,,31.6,67,0.155,0.15
1986-06-14T19:00,,30.8,67,0.154,0.15
1986-06-14T20:00,,30.3,70,0.154,0.15
1986-06-14T21:00,,29.9,72,0.154,0.15
1986-06-14T22:00,,29.6,74,0.154,0.15
1986-06-14T23:00,,29.2,76,0.154,0.15
1986-06-15T00:00,,29.0,77,0.154,0.15
1986-06-15T01:00,,30.1,73,0.154,0.15
1986-06-15T02:00,,31.9,66,0.154,0.15
1986-06-15T03:00,,33.6,59,0.153,0.15
1986-06-15T04:00,,35.1,53,0.152,0.15
1986-06-15T05:00,,35.9,50,0.152,0.15
1986-06-15T06:00,,36.7,48,0.151,0.15
1986-06-15T07:00,,35.8,52,0.15,0.15
1986-06-15T08:00,,36.2,49,0.15,0.15
1986-06-15T09:00,,36.8,47,0.149,0.15
1986-06-15T10:00,,37.2,45,0.148,0.15
1986-06-15T11:00,,36.7,46,0.148,0.15
1986-06-15T12:00,,36.2,47,0.148,0.15
1986-06-15T13:00,,35.3,50,0.147,0.15
1986-06-15T14:00,,33.7,57,0.148,0.15
1986-06-15T15:00,,32.5,64,0.147,0.15
1986-06-15T16:00,,31.6,70,0.147,0.15
1986-06-15T17:00,,31.1,72,0.147,0.15
1986-06-15T18:00,,30.6,75,0.147,0.15
1986-06-15T19:00,,28.1,88,0.147,0.15
1986-06-15T20:00,,28.1,87,0.147,0.15
1986-06-15T21:00,,27.9,88,0.147,0.15
1986-06-15T22:00,,27.6,89,0.148,0.15
1986-06-15T23:00,,26.8,92,0.16,0.15
