time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.7,98,0.369,0.142
1986-06-13T01:00,,25.4,99,0.418,0.145
1986-06-13T02:00,,25.3,99,0.401,0.163
1986-06-13T03:00,,26.1,93,0.376,0.172
1986-06-13T04:00,,26.8,90,0.368,0.175
1986-06-13T05:00,,27.1,90,0.367,0.177
1986-06-13T06:00,,26.6,93,0.388,0.179
1986-06-13T07:00,,31.3,71,0.373,0.183
1986-06-13T08:00,,32.7,66,0.365,0.185
1986-06-13T09:00,,32.9,65,0.358,0.187
1986-06-13T10:00,,32.9,64,0.352,0.188
1986-06-13T11:00,,32.1,68,0.348,0.19
1986-06-13T12:00,,31.8,70,0.344,0.191
1986-06-13T13:00,,30.9,73,0.34,0.192
1986-06-13T14:00,,30.0,76,0.338,0.193
1986-06-13T15:00,,29.0,79,0.335,0.194
1986-06-13T16:00,,28.6,80,0.333,0.195
1986-06-13T17:00,,28.2,82,0.33,0.195
1986-06-13T18:00,,27.9,84,0.328,0.196
1986-06-13T19:00,,27.8,86,0.326,0.197
1986-06-13T20:00,,27.6,87,0.327,0.197
1986-06-13T21:00,,27.1,89,0.328,0.198
1986-06-13T22:00,,26.3,94,0.344,0.199
1986-06-13T23:00,,25.7,96,0.398,0.2
1986-06-14T00:00,,25.4,96,0.434,0.206
1986-06-14T01:00,,25.7,94,0.327,0.25
1986-06-14T02:00,,26.4,91,0.334,0.25
1986-06-14T03:00,,26.8,90,0.348,0.251
1986-06-14T04:00,,27.5,88,0.357,0.252
1986-06-14T05:00,,29.3,79,0.357,0.252
1986-06-14T06:00,,30.4,76,0.356,0.253
1986-06-14T07:00,,32.4,65,0.358,0.254
1986-06-14T08:00,,33.1,62,0.354,0.255
1986-06-14T09:00,,32.5,65,0.354,0.255
1986-06-14T10:00,,31.1,68,0.37,0.256
1986-06-14T11:00,,31.3,68,0.366,0.257
1986-06-14T12:00,,31.2,69,0.362,0.258
1986-06-14T13:00,,30.6,71,0.358,0.259
1986-06-14T14:00,,30.0,74,0.355,0.26
1986-06-14T15:00,,29.4,77,0.353,0.261
1986-06-14T16:00,,29.1,78,0.35,0.262
1986-06-14T17:00,,28.8,80,0.348,0.262
1986-06-14T18:00,,28.6,80,0.346,0.263
1986-06-14T19:00,,28.6,79,0.344,0.263
1986-06-14T20:00,,28.3,80,0.342,0.264
1986-06-14T21:00,,28.1,82,0.34,0.264
1986-06-14T22:00,,27.9,83,0.338,0.265
1986-06-14T23:00,,27.6,86,0.337,0.265
1986-06-15T00:00,,27.4,87,0.336,0.266
1986-06-15T01:00,,27.8,86,0.336,0.266
1986-06-15T02:00,,27.9,86,0.337,0.266
1986-06-15T03:00,,28.2,84,0.339,0.267
1986-06-15T04:00,,28.8,81,0.339,0.267
1986-06-15T05:00,,30.3,75,0.336,0.267
1986-06-15T06:00,,32.0,69,0.333,0.267
1986-06-15T07:00,,33.3,63,0.329,0.267
1986-06-15T08:00,,33.4,61,0.327,0.266
1986-06-15T09:00,,32.6,63,0.334,0.266
1986-06-15T10:00,,31.9,66,0.334,0.266
1986-06-15T11:00,,32.3,63,0.332,0.267
1986-06-15T12:00,,31.4,67,0.332,0.267
1986-06-15T13:00,,30.3,71,0.331,0.267
1986-06-15T14:00,,29.8,73,0.331,0.267
1986-06-15T15:00,,29.2,77,0.334,0.268
1986-06-15T16:00,,29.0,78,0.332,0.268
1986-06-15T17:00,,28.7,80,0.333,0.268
1986-06-15T18:00,,28.4,82,0.332,0.269
1986-06-15T19:00,,26.4,94,0.363,0.269
1986-06-15T20:00,,26.1,95,0.373,0.27
1986-06-15T21:00,,26.0,95,0.382,0.272
1986-06-15T22:00,,25.9,95,0.392,0.273
1986-06-15T23:00,,25.6,96,0.403,0.276
