time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.2,94,0.419,0.412
1985-09-11T01:00,,25.0,94,0.425,0.416
1985-09-11T02:00,,25.1,94,0.435,0.418
1985-09-11T03:00,,25.0,95,0.423,0.429
1985-09-11T04:00,,25.6,94,0.425,0.429
1985-09-11T05:00,,26.7,87,0.424,0.428
1985-09-11T06:00,,26.7,85,0.439,0.431
1985-09-11T07:00,,28.1,86,0.41,0.438
1985-09-11T08:00,,29.3,82,0.408,0.43
1985-09-11T09:00,,29.8,79,0.407,0.427
1985-09-11T10:00,,28.9,75,0.409,0.425
1985-09-11T11:00,,27.4,80,0.412,0.424
1985-09-11T12:00,,26.6,84,0.413,0.423
1985-09-11T13:00,,25.9,87,0.412,0.423
1985-09-11T14:00,,25.6,89,0.411,0.422
1985-09-11T15:00,,25.7,90,0.41,0.421
1985-09-11T16:00,,25.7,91,0.409,0.42
1985-09-11T17:00,,25.7,92,0.408,0.42
1985-09-11T18:00,,25.5,93,0.407,0.419
1985-09-11T19:00,,25.7,92,0.406,0.418
1985-09-11T20:00,,25.6,93,0.405,0.418
1985-09-11T21:00,,25.4,94,0.404,0.417
1985-09-11T22:00,,25.3,95,0.404,0.417
1985-09-11T23:00,,25.1,95,0.403,0.416
1985-09-12T00:00,,25.2,94,0.402,0.416
1985-09-12T01:00,,25.6,93,0.402,0.415
1985-09-12T02:00,,26.7,86,0.401,0.414
1985-09-12T03:00,,28.0,78,0.399,0.413
1985-09-12T04:00,,29.3,72,0.397,0.412
1985-09-12T05:00,,30.1,68,0.395,0.411
1985-09-12T06:00,,30.9,65,0.393,0.41
1985-09-12T07:00,,31.7,62,0.39,0.408
1985-09-12T08:00,,32.0,61,0.388,0.407
1985-09-12T09:00,,31.9,61,0.386,0.405
1985-09-12T10:00,,31.7,62,0.384,0.404
1985-09-12T11:00,,30.2,70,0.386,0.403
1985-09-12T12:00,,29.7,73,0.386,0.403
1985-09-12T13:00,,28.9,77,0.386,0.402
1985-09-12T14:00,,28.3,79,0.386,0.402
1985-09-12T15:00,,28.2,79,0.386,0.402
1985-09-12T16:00,,27.9,80,0.385,0.401
1985-09-12T17:00,,27.5,82,0.385,0.401
1985-09-12T18:00,,27.1,84,0.385,0.401
1985-09-12T19:00,,26.9,85,0.385,0.4
1985-09-12T20:00,,26.5,86,0.385,0.4
1985-09-12T21:00,,26.2,88,0.385,0.4
1985-09-12T22:00,,25.8,91,0.385,0.4
1985-09-12T23:00,,25.5,92,0.385,0.399
1985-09-13T00:00,,25.3,93,0.385,0.399
1985-09-13T01:00,,25.8,92,0.384,0.399
1985-09-13T02:00,,27.2,85,0.384,0.398
1985-09-13T03:00,,28.4,78,0.383,0.398
1985-09-13T04:00,,29.4,73,0.382,0.397
1985-09-13T05:00,,30.3,69,0.38,0.396
1985-09-13T06:00,,31.0,66,0.378,0.395
1985-09-13T07:00,,31.7,66,0.377,0.393
1985-09-13T08:00,,31.6,65,0.377,0.392
1985-09-13T09:00,,31.6,64,0.376,0.392
1985-09-13T10:00,,31.3,65,0.375,0.391
1985-09-13T11:00,,30.5,68,0.375,0.39
1985-09-13T12:00,,29.4,74,0.374,0.39
1985-09-13T13:00,,28.6,78,0.374,0.389
1985-09-13T14:00,,28.1,80,0.374,0.389
1985-09-13T15:00,,27.8,82,0.374,0.389
1985-09-13T16:00,,27.4,83,0.374,0.389
1985-09-13T17:00,,27.2,84,0.374,0.388
1985-09-13T18:00,,26.9,85,0.374,0.388
1985-09-13T19:00,,27.0,86,0.374,0.388
1985-09-13T20:00,,26.7,87,0.374,0.388
1985-09-13T21:00,,26.5,88,0.374,0.387
1985-09-13T22:00,,26.1,90,0.374,0.387
1985-09-13T23:00,,25.9,91,0.374,0.387
