time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.7,97,0.359,0.167
1986-06-13T01:00,,24.7,99,0.39,0.169
1986-06-13T02:00,,24.8,99,0.439,0.173
1986-06-13T03:00,,25.0,99,0.351,0.235
1986-06-13T04:00,,25.1,99,0.411,0.236
1986-06-13T05:00,,25.2,98,0.413,0.241
1986-06-13T06:00,,25.5,96,0.42,0.247
1986-06-13T07:00,,30.6,73,0.396,0.253
1986-06-13T08:00,,32.1,69,0.386,0.255
1986-06-13T09:00,,32.9,65,0.379,0.256
1986-06-13T10:00,,33.0,64,0.373,0.257
1986-06-13T11:00,,33.0,63,0.368,0.258
1986-06-13T12:00,,32.3,67,0.364,0.259
1986-06-13T13:00,,31.5,70,0.361,0.26
1986-06-13T14:00,,30.9,73,0.358,0.26
1986-06-13T15:00,,30.4,75,0.356,0.261
1986-06-13T16:00,,29.3,81,0.357,0.262
1986-06-13T17:00,,28.7,85,0.355,0.263
1986-06-13T18:00,,28.4,87,0.353,0.263
1986-06-13T19:00,,27.3,91,0.363,0.264
1986-06-13T20:00,,27.1,92,0.363,0.265
1986-06-13T21:00,,26.7,93,0.37,0.266
1986-06-13T22:00,,26.2,95,0.387,0.267
1986-06-13T23:00,,26.0,95,0.401,0.269
1986-06-14T00:00,,25.7,95,0.411,0.272
1986-06-14T01:00,,26.1,92,0.401,0.275
1986-06-14T02:00,,27.4,84,0.393,0.278
1986-06-14T03:00,,28.2,80,0.387,0.279
1986-06-14T04:00,,28.7,79,0.383,0.281
1986-06-14T05:00,,29.0,78,0.378,0.282
1986-06-14T06:00,,29.8,76,0.373,0.282
1986-06-14T07:00,,32.3,71,0.368,0.283
1986-06-14T08:00,,33.0,68,0.362,0.282
1986-06-14T09:00,,33.4,67,0.358,0.282
1986-06-14T10:00,,33.6,63,0.353,0.282
1986-06-14T11:00,,33.3,64,0.35,0.282
1986-06-14T12:00,,31.9,70,0.351,0.282
1986-06-14T13:00,,30.6,73,0.35,0.283
1986-06-14T14:00,,29.8,77,0.348,0.283
1986-06-14T15:00,,29.2,79,0.347,0.283
1986-06-14T16:00,,29.0,81,0.346,0.284
1986-06-14T17:00,,28.8,82,0.345,0.284
1986-06-14T18:00,,28.5,84,0.345,0.284
1986-06-14T19:00,,28.9,80,0.344,0.285
1986-06-14T20:00,,28.5,82,0.344,0.285
1986-06-14T21:00,,28.1,83,0.343,0.285
1986-06-14T22:00,,27.6,87,0.344,0.285
1986-06-14T23:00,,26.6,91,0.347,0.286
1986-06-15T00:00,,26.1,93,0.352,0.286
1986-06-15T01:00,,26.2,93,0.353,0.286
1986-06-15T02:00,,26.8,90,0.353,0.287
1986-06-15T03:00,,27.7,84,0.352,0.287
1986-06-15T04:00,,29.2,78,0.35,0.287
1986-06-15T05:00,,30.7,73,0.346,0.287
1986-06-15T06:00,,32.1,68,0.342,0.287
1986-06-15T07:00,,30.8,73,0.339,0.287
1986-06-15T08:00,,31.8,70,0.336,0.286
1986-06-15T09:00,,32.1,69,0.334,0.286
1986-06-15T10:00,,32.4,68,0.331,0.285
1986-06-15T11:00,,32.3,68,0.33,0.285
1986-06-15T12:00,,30.4,78,0.363,0.285
1986-06-15T13:00,,29.2,85,0.389,0.286
1986-06-15T14:00,,28.7,87,0.384,0.288
1986-06-15T15:00,,28.1,90,0.399,0.289
1986-06-15T16:00,,27.5,91,0.425,0.292
1986-06-15T17:00,,27.1,92,0.422,0.3
1986-06-15T18:00,,26.8,93,0.42,0.305
1986-06-15T19:00,,25.8,96,0.439,0.311
1986-06-15T20:00,,25.5,98,0.38,0.344
1986-06-15T21:00,,25.3,99,0.415,0.344
1986-06-15T22:00,,25.2,99,0.439,0.348
1986-06-15T23:00,,25.1,99,0.389,0.373
