time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.9,98,0.426,0.262
1986-06-13T01:00,,24.8,99,0.376,0.296
1986-06-13T02:00,,24.9,98,0.383,0.298
1986-06-13T03:00,,25.1,98,0.427,0.301
1986-06-13T04:00,,25.2,98,0.429,0.316
1986-06-13T05:00,,25.4,98,0.381,0.341
1986-06-13T06:00,,25.4,97,0.385,0.341
1986-06-13T07:00,,30.5,74,0.38,0.342
1986-06-13T08:00,,32.5,66,0.376,0.341
1986-06-13T09:00,,33.0,64,0.373,0.341
1986-06-13T10:00,,33.0,64,0.37,0.34
1986-06-13T11:00,,32.0,70,0.369,0.34
1986-06-13T12:00,,31.5,72,0.368,0.34
1986-06-13T13:00,,30.6,76,0.367,0.34
1986-06-13T14:00,,29.9,78,0.366,0.34
1986-06-13T15:00,,29.3,80,0.368,0.34
1986-06-13T16:00,,28.7,83,0.37,0.34
1986-06-13T17:00,,28.3,86,0.369,0.34
1986-06-13T18:00,,28.1,87,0.368,0.34
1986-06-13T19:00,,27.9,89,0.367,0.34
1986-06-13T20:00,,27.3,90,0.396,0.341
1986-06-13T21:00,,26.2,94,0.43,0.342
1986-06-13T22:00,,25.5,96,0.43,0.353
1986-06-13T23:00,,25.2,96,0.403,0.37
1986-06-14T00:00,,25.3,95,0.407,0.372
1986-06-14T01:00,,25.7,93,0.41,0.373
1986-06-14T02:00,,26.1,93,0.415,0.374
1986-06-14T03:00,,26.7,90,0.417,0.376
1986-06-14T04:00,,27.0,89,0.415,0.377
1986-06-14T05:00,,28.0,85,0.412,0.378
1986-06-14T06:00,,29.4,80,0.408,0.378
1986-06-14T07:00,,31.8,72,0.403,0.378
1986-06-14T08:00,,32.7,68,0.399,0.377
1986-06-14T09:00,,33.1,65,0.395,0.376
1986-06-14T10:00,,32.4,68,0.396,0.375
1986-06-14T11:00,,31.4,70,0.403,0.375
1986-06-14T12:00,,31.0,72,0.401,0.375
1986-06-14T13:00,,30.5,75,0.398,0.375
1986-06-14T14:00,,29.8,78,0.396,0.375
1986-06-14T15:00,,29.3,80,0.395,0.375
1986-06-14T16:00,,29.0,81,0.393,0.375
1986-06-14T17:00,,28.7,82,0.391,0.374
1986-06-14T18:00,,28.4,83,0.39,0.374
1986-06-14T19:00,,28.4,81,0.389,0.374
1986-06-14T20:00,,28.0,83,0.388,0.373
1986-06-14T21:00,,27.5,86,0.388,0.373
1986-06-14T22:00,,27.0,89,0.389,0.373
1986-06-14T23:00,,26.2,92,0.392,0.373
1986-06-15T00:00,,26.0,94,0.395,0.373
1986-06-15T01:00,,26.0,94,0.4,0.373
1986-06-15T02:00,,26.2,94,0.405,0.373
1986-06-15T03:00,,26.9,91,0.407,0.373
1986-06-15T04:00,,28.4,81,0.404,0.374
1986-06-15T05:00,,29.9,77,0.4,0.373
1986-06-15T06:00,,31.1,74,0.396,0.373
1986-06-15T07:00,,31.6,73,0.393,0.372
1986-06-15T08:00,,32.4,70,0.389,0.371
1986-06-15T09:00,,32.8,68,0.386,0.37
1986-06-15T10:00,,32.1,69,0.387,0.369
1986-06-15T11:00,,32.0,69,0.386,0.369
1986-06-15T12:00,,30.9,72,0.387,0.369
1986-06-15T13:00,,30.1,75,0.385,0.368
1986-06-15T14:00,,29.6,77,0.384,0.368
1986-06-15T15:00,,29.0,80,0.386,0.368
1986-06-15T16:00,,28.2,85,0.4,0.368
1986-06-15T17:00,,27.4,90,0.429,0.369
1986-06-15T18:00,,26.7,93,0.439,0.374
1986-06-15T19:00,,26.1,96,0.41,0.398
1986-06-15T20:00,,25.9,97,0.437,0.398
1986-06-15T21:00,,25.9,96,0.414,0.409
1986-06-15T22:00,,25.8,96,0.423,0.409
1986-06-15T23:00,,25.6,97,0.431,0.409
