time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.7,83,0.137,0.151
1986-06-13T01:00,,27.3,81,0.137,0.151
1986-06-13T02:00,,27.8,80,0.138,0.151
1986-06-13T03:00,,27.9,79,0.139,0.151
1986-06-13T04:00,,28.0,78,0.139,0.151
1986-06-13T05:00,,28.5,76,0.142,0.151
1986-06-13T06:00,,28.7,76,0.145,0.151
1986-06-13T07:00,,36.0,50,0.142,0.151
1986-06-13T08:00,,36.3,49,0.142,0.151
1986-06-13T09:00,,36.1,50,0.142,0.151
1986-06-13T10:00,,36.0,51,0.142,0.151
1986-06-13T11:00,,35.8,51,0.142,0.151
1986-06-13T12:00,,35.2,53,0.142,0.151
1986-06-13T13:00,,34.4,56,0.142,0.151
1986-06-13T14:00,,33.4,60,0.142,0.151
1986-06-13T15:00,,32.4,63,0.142,0.151
1986-06-13T16:00,,31.8,67,0.142,0.151
1986-06-13T17:00,,31.2,70,0.142,0.151
1986-06-13T18:00,,30.4,73,0.143,0.151
1986-06-13T19:00,,27.8,86,0.147,0.151
1986-06-13T20:00,,27.4,88,0.148,0.151
1986-06-13T21:00,,27.2,88,0.148,0.151
1986-06-13T22:00,,26.9,89,0.148,0.151
1986-06-13T23:00,,26.7,90,0.151,0.151
1986-06-14T00:00,,26.1,93,0.166,0.151
1986-06-14T01:00,,26.2,92,0.177,0.151
1986-06-14T02:00,,27.6,82,0.176,0.151
1986-06-14T03:00,,30.0,70,0.176,0.151
1986-06-14T04:00,,31.8,64,0.175,0.151
1986-06-14T05:00,,33.2,59,0.174,0.151
1986-06-14T06:00,,33.7,58,0.174,0.151
1986-06-14T07:00,,36.1,48,0.172,0.151
1986-06-14T08:00,,36.6,47,0.171,0.151
1986-06-14T09:00,,36.8,47,0.17,0.151
1986-06-14T10:00,,36.7,47,0.169,0.151
1986-06-14T11:00,,36.2,48,0.168,0.151
1986-06-14T12:00,,34.9,54,0.17,0.151
1986-06-14T13:00,,34.0,57,0.17,0.151
1986-06-14T14:00,,33.0,62,0.17,0.151
1986-06-14T15:00,,32.3,66,0.17,0.151
1986-06-14T16:00,,31.8,69,0.17,0.151
1986-06-14T17:00,,31.2,71,0.17,0.151
1986-06-14T18:00,,30.6,74,0.17,0.151
1986-06-14T19:00,,30.1,74,0.17,0.151
1986-06-14T20:00,,29.7,75,0.17,0.151
1986-06-14T21:00,,29.3,77,0.17,0.151
1986-06-14T22:00,,29.0,79,0.17,0.151
1986-06-14T23:00,,28.7,81,0.17,0.151
1986-06-15T00:00,,28.4,82,0.17,0.151
1986-06-15T01:00,,29.0,79,0.169,0.151
1986-06-15T02:00,,30.0,74,0.169,0.151
1986-06-15T03:00,,32.0,65,0.169,0.151
1986-06-15T04:00,,33.1,62,0.169,0.151
1986-06-15T05:00,,34.1,58,0.168,0.151
1986-06-15T06:00,,35.3,54,0.168,0.151
1986-06-15T07:00,,33.1,62,0.168,0.151
1986-06-15T08:00,,33.5,60,0.168,0.151
1986-06-15T09:00,,34.3,57,0.168,0.151
1986-06-15T10:00,,34.4,56,0.167,0.151
1986-06-15T11:00,,34.2,56,0.167,0.151
1986-06-15T12:00,,33.7,58,0.166,0.151
1986-06-15T13:00,,32.8,62,0.166,0.151
1986-06-15T14:00,,31.6,68,0.166,0.151
1986-06-15T15:00,,30.5,74,0.166,0.151
1986-06-15T16:00,,29.9,77,0.166,0.151
1986-06-15T17:00,,29.3,79,0.166,0.151
1986-06-15T18:00,,28.5,84,0.167,0.151
1986-06-15T19:00,,26.7,92,0.169,0.151
1986-06-15T20:00,,26.6,92,0.169,0.151
1986-06-15T21:00,,26.3,94,0.177,0.151
1986-06-15T22:00,,26.0,95,0.188,0.151
1986-06-15T23:00,,25.7,96,0.2,0.151
