time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.7,95,0.407,0.382
1985-09-11T01:00,,25.9,95,0.405,0.382
1985-09-11T02:00,,26.6,93,0.404,0.383
1985-09-11T03:00,,27.2,87,0.418,0.384
1985-09-11T04:00,,25.9,89,0.439,0.387
1985-09-11T05:00,,26.0,91,0.403,0.406
1985-09-11T06:00,,25.9,91,0.419,0.406
1985-09-11T07:00,,26.5,92,0.419,0.406
1985-09-11T08:00,,27.4,91,0.418,0.407
1985-09-11T09:00,,28.7,85,0.416,0.407
1985-09-11T10:00,,27.5,83,0.435,0.408
1985-09-11T11:00,,27.2,87,0.417,0.414
1985-09-11T12:00,,26.9,88,0.414,0.415
1985-09-11T13:00,,25.9,91,0.425,0.415
1985-09-11T14:00,,25.6,91,0.421,0.416
1985-09-11T15:00,,25.5,90,0.418,0.416
1985-09-11T16:00,,25.3,91,0.416,0.415
1985-09-11T17:00,,25.1,91,0.414,0.415
1985-09-11T18:00,,25.0,92,0.412,0.415
1985-09-11T19:00,,25.4,90,0.411,0.414
1985-09-11T20:00,,25.2,91,0.409,0.414
1985-09-11T21:00,,25.0,92,0.408,0.413
1985-09-11T22:00,,24.8,93,0.407,0.413
1985-09-11T23:00,,24.8,93,0.406,0.412
1985-09-12T00:00,,24.7,94,0.405,0.412
1985-09-12T01:00,,25.0,94,0.404,0.412
1985-09-12T02:00,,26.3,87,0.403,0.411
1985-09-12T03:00,,27.4,81,0.402,0.41
1985-09-12T04:00,,28.4,76,0.4,0.409
1985-09-12T05:00,,29.2,72,0.398,0.408
1985-09-12T06:00,,30.0,69,0.396,0.407
1985-09-12T07:00,,30.6,67,0.394,0.405
1985-09-12T08:00,,31.0,66,0.391,0.404
1985-09-12T09:00,,30.9,66,0.39,0.403
1985-09-12T10:00,,30.8,68,0.388,0.402
1985-09-12T11:00,,30.6,69,0.387,0.401
1985-09-12T12:00,,29.7,73,0.386,0.4
1985-09-12T13:00,,28.7,77,0.386,0.4
1985-09-12T14:00,,28.1,80,0.385,0.399
1985-09-12T15:00,,27.7,82,0.385,0.399
1985-09-12T16:00,,27.3,83,0.385,0.399
1985-09-12T17:00,,27.0,83,0.385,0.398
1985-09-12T18:00,,26.8,84,0.384,0.398
1985-09-12T19:00,,26.8,85,0.384,0.398
1985-09-12T20:00,,26.8,85,0.384,0.397
1985-09-12T21:00,,26.6,85,0.384,0.397
1985-09-12T22:00,,26.2,87,0.384,0.397
1985-09-12T23:00,,26.0,88,0.383,0.396
1985-09-13T00:00,,25.6,90,0.383,0.396
1985-09-13T01:00,,25.7,91,0.383,0.396
1985-09-13T02:00,,26.8,87,0.382,0.395
1985-09-13T03:00,,27.9,81,0.381,0.395
1985-09-13T04:00,,28.9,76,0.38,0.394
1985-09-13T05:00,,29.9,72,0.378,0.392
1985-09-13T06:00,,30.5,71,0.375,0.391
1985-09-13T07:00,,31.3,73,0.373,0.39
1985-09-13T08:00,,31.6,72,0.371,0.389
1985-09-13T09:00,,31.4,73,0.37,0.388
1985-09-13T10:00,,30.5,74,0.37,0.387
1985-09-13T11:00,,29.3,75,0.375,0.386
1985-09-13T12:00,,28.6,79,0.375,0.386
1985-09-13T13:00,,27.9,82,0.376,0.386
1985-09-13T14:00,,27.5,84,0.375,0.386
1985-09-13T15:00,,27.3,86,0.375,0.386
1985-09-13T16:00,,27.2,87,0.375,0.385
1985-09-13T17:00,,26.9,88,0.375,0.385
1985-09-13T18:00,,26.8,89,0.375,0.385
1985-09-13T19:00,,26.7,87,0.375,0.385
1985-09-13T20:00,,26.5,87,0.374,0.385
1985-09-13T21:00,,26.3,87,0.374,0.385
1985-09-13T22:00,,25.9,89,0.374,0.384
1985-09-13T23:00,,25.6,90,0.374,0.384
