time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.7,95,0.364,0.22
1986-06-13T01:00,,24.5,96,0.405,0.223
1986-06-13T02:00,,24.5,97,0.402,0.236
1986-06-13T03:00,,24.9,97,0.408,0.241
1986-06-13T04:00,,25.2,94,0.407,0.247
1986-06-13T05:00,,25.8,89,0.397,0.251
1986-06-13T06:00,,26.5,84,0.389,0.253
1986-06-13T07:00,,31.9,68,0.38,0.255
1986-06-13T08:00,,32.9,66,0.372,0.256
1986-06-13T09:00,,33.1,66,0.366,0.256
1986-06-13T10:00,,32.7,67,0.362,0.257
1986-06-13T11:00,,31.9,67,0.359,0.257
1986-06-13T12:00,,31.5,69,0.356,0.258
1986-06-13T13:00,,30.9,72,0.353,0.259
1986-06-13T14:00,,30.3,74,0.351,0.259
1986-06-13T15:00,,29.9,76,0.349,0.26
1986-06-13T16:00,,29.7,77,0.347,0.26
1986-06-13T17:00,,29.1,80,0.349,0.261
1986-06-13T18:00,,27.8,87,0.363,0.261
1986-06-13T19:00,,27.5,89,0.364,0.262
1986-06-13T20:00,,27.2,91,0.361,0.263
1986-06-13T21:00,,26.6,92,0.364,0.264
1986-06-13T22:00,,25.9,94,0.377,0.265
1986-06-13T23:00,,25.5,94,0.392,0.266
1986-06-14T00:00,,25.3,95,0.387,0.268
1986-06-14T01:00,,25.9,93,0.387,0.27
1986-06-14T02:00,,26.4,90,0.385,0.272
1986-06-14T03:00,,26.9,87,0.381,0.273
1986-06-14T04:00,,27.7,83,0.377,0.274
1986-06-14T05:00,,28.5,79,0.372,0.275
1986-06-14T06:00,,30.1,74,0.367,0.275
1986-06-14T07:00,,32.4,69,0.361,0.275
1986-06-14T08:00,,33.0,67,0.355,0.275
1986-06-14T09:00,,33.5,65,0.35,0.275
1986-06-14T10:00,,33.5,65,0.347,0.275
1986-06-14T11:00,,33.2,65,0.344,0.275
1986-06-14T12:00,,32.2,68,0.343,0.275
1986-06-14T13:00,,31.0,74,0.342,0.275
1986-06-14T14:00,,29.7,79,0.342,0.275
1986-06-14T15:00,,28.7,83,0.342,0.276
1986-06-14T16:00,,28.3,85,0.342,0.276
1986-06-14T17:00,,27.7,88,0.345,0.276
1986-06-14T18:00,,27.4,90,0.352,0.277
1986-06-14T19:00,,27.9,84,0.351,0.277
1986-06-14T20:00,,27.2,87,0.351,0.278
1986-06-14T21:00,,26.5,89,0.352,0.278
1986-06-14T22:00,,25.9,91,0.355,0.279
1986-06-14T23:00,,25.3,95,0.358,0.279
1986-06-15T00:00,,25.2,95,0.366,0.28
1986-06-15T01:00,,25.5,94,0.372,0.281
1986-06-15T02:00,,26.6,89,0.375,0.282
1986-06-15T03:00,,27.6,84,0.372,0.282
1986-06-15T04:00,,29.3,76,0.367,0.283
1986-06-15T05:00,,30.0,74,0.363,0.283
1986-06-15T06:00,,31.4,71,0.358,0.283
1986-06-15T07:00,,29.9,73,0.355,0.283
1986-06-15T08:00,,31.0,69,0.352,0.283
1986-06-15T09:00,,31.5,68,0.35,0.283
1986-06-15T10:00,,31.7,68,0.348,0.283
1986-06-15T11:00,,31.7,69,0.347,0.283
1986-06-15T12:00,,30.5,74,0.362,0.284
1986-06-15T13:00,,28.9,84,0.389,0.285
1986-06-15T14:00,,28.0,88,0.391,0.286
1986-06-15T15:00,,27.5,91,0.395,0.288
1986-06-15T16:00,,26.7,92,0.42,0.29
1986-06-15T17:00,,26.3,93,0.424,0.298
1986-06-15T18:00,,26.0,93,0.425,0.305
1986-06-15T19:00,,25.8,97,0.439,0.313
1986-06-15T20:00,,25.6,98,0.392,0.348
1986-06-15T21:00,,25.4,99,0.429,0.35
1986-06-15T22:00,,25.2,99,0.423,0.364
1986-06-15T23:00,,25.0,100,0.412,0.379
