time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.8,73,0.136,0.151
1986-06-13T01:00,,30.2,73,0.136,0.151
1986-06-13T02:00,,30.9,70,0.136,0.151
1986-06-13T03:00,,31.1,71,0.147,0.151
1986-06-13T04:00,,31.2,72,0.161,0.151
1986-06-13T05:00,,32.9,65,0.169,0.151
1986-06-13T06:00,,33.6,61,0.17,0.151
1986-06-13T07:00,,36.0,49,0.174,0.151
1986-06-13T08:00,,33.6,62,0.211,0.151
1986-06-13T09:00,,33.6,61,0.23,0.151
1986-06-13T10:00,,34.5,57,0.23,0.151
1986-06-13T11:00,,34.9,54,0.228,0.151
1986-06-13T12:00,,34.7,55,0.227,0.151
1986-06-13T13:00,,34.1,57,0.226,0.151
1986-06-13T14:00,,33.3,60,0.226,0.151
1986-06-13T15:00,,32.7,62,0.226,0.151
1986-06-13T16:00,,32.1,65,0.225,0.151
1986-06-13T17:00,,31.3,68,0.225,0.152
1986-06-13T18:00,,30.8,70,0.225,0.152
1986-06-13T19:00,,28.0,86,0.228,0.152
1986-06-13T20:00,,27.7,88,0.228,0.152
1986-06-13T21:00,,27.5,88,0.231,0.152
1986-06-13T22:00,,26.8,91,0.257,0.152
1986-06-13T23:00,,26.0,92,0.292,0.152
1986-06-14T00:00,,25.5,93,0.32,0.152
1986-06-14T01:00,,25.8,92,0.333,0.153
1986-06-14T02:00,,26.9,87,0.332,0.154
1986-06-14T03:00,,29.3,77,0.328,0.155
1986-06-14T04:00,,31.8,67,0.323,0.156
1986-06-14T05:00,,33.4,61,0.317,0.156
1986-06-14T06:00,,34.1,58,0.311,0.157
1986-06-14T07:00,,34.9,54,0.306,0.157
1986-06-14T08:00,,35.2,53,0.301,0.158
1986-06-14T09:00,,35.2,53,0.296,0.158
1986-06-14T10:00,,35.2,53,0.292,0.158
1986-06-14T11:00,,35.1,53,0.289,0.159
1986-06-14T12:00,,34.7,54,0.287,0.159
1986-06-14T13:00,,33.6,59,0.285,0.159
1986-06-14T14:00,,32.6,63,0.284,0.16
1986-06-14T15:00,,31.8,66,0.283,0.16
1986-06-14T16:00,,31.2,68,0.282,0.16
1986-06-14T17:00,,30.7,70,0.281,0.16
1986-06-14T18:00,,30.3,71,0.28,0.161
1986-06-14T19:00,,29.8,72,0.279,0.161
1986-06-14T20:00,,29.5,74,0.278,0.161
1986-06-14T21:00,,29.1,76,0.277,0.161
1986-06-14T22:00,,28.8,78,0.277,0.162
1986-06-14T23:00,,28.5,79,0.276,0.162
1986-06-15T00:00,,28.4,80,0.275,0.162
1986-06-15T01:00,,29.6,76,0.274,0.162
1986-06-15T02:00,,31.3,69,0.272,0.162
1986-06-15T03:00,,32.8,64,0.27,0.162
1986-06-15T04:00,,33.9,60,0.267,0.163
1986-06-15T05:00,,34.7,56,0.263,0.163
1986-06-15T06:00,,35.3,54,0.26,0.163
1986-06-15T07:00,,34.6,58,0.257,0.163
1986-06-15T08:00,,35.1,55,0.255,0.163
1986-06-15T09:00,,35.5,53,0.252,0.163
1986-06-15T10:00,,35.6,52,0.249,0.163
1986-06-15T11:00,,35.2,53,0.247,0.163
1986-06-15T12:00,,34.4,56,0.246,0.163
1986-06-15T13:00,,32.9,63,0.246,0.163
1986-06-15T14:00,,31.9,68,0.245,0.163
1986-06-15T15:00,,31.2,71,0.245,0.163
1986-06-15T16:00,,30.8,73,0.245,0.163
1986-06-15T17:00,,30.3,74,0.245,0.163
1986-06-15T18:00,,29.8,76,0.245,0.163
1986-06-15T19:00,,27.8,87,0.244,0.163
1986-06-15T20:00,,27.7,87,0.244,0.163
1986-06-15T21:00,,27.6,87,0.244,0.164
1986-06-15T22:00,,27.1,90,0.248,0.164
1986-06-15T23:00,,26.5,93,0.256,0.164
