time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.6,94,0.392,0.381
1985-09-11T01:00,,25.9,93,0.391,0.382
1985-09-11T02:00,,26.7,89,0.39,0.382
1985-09-11T03:00,,27.5,85,0.389,0.382
1985-09-11T04:00,,27.2,85,0.406,0.382
1985-09-11T05:00,,26.3,90,0.439,0.383
1985-09-11T06:00,,26.4,90,0.406,0.398
1985-09-11T07:00,,26.1,93,0.42,0.399
1985-09-11T08:00,,26.6,92,0.428,0.402
1985-09-11T09:00,,27.0,91,0.431,0.405
1985-09-11T10:00,,26.7,89,0.439,0.41
1985-09-11T11:00,,26.5,91,0.408,0.424
1985-09-11T12:00,,26.5,90,0.407,0.422
1985-09-11T13:00,,26.3,90,0.407,0.421
1985-09-11T14:00,,26.1,90,0.406,0.42
1985-09-11T15:00,,26.0,90,0.405,0.419
1985-09-11T16:00,,25.9,90,0.404,0.419
1985-09-11T17:00,,25.7,90,0.404,0.418
1985-09-11T18:00,,25.5,91,0.403,0.417
1985-09-11T19:00,,25.7,90,0.402,0.416
1985-09-11T20:00,,25.6,90,0.402,0.416
1985-09-11T21:00,,25.4,90,0.401,0.415
1985-09-11T22:00,,25.3,91,0.401,0.414
1985-09-11T23:00,,25.2,91,0.4,0.414
1985-09-12T00:00,,25.0,91,0.4,0.413
1985-09-12T01:00,,25.4,91,0.399,0.412
1985-09-12T02:00,,26.7,87,0.398,0.412
1985-09-12T03:00,,28.0,81,0.397,0.411
1985-09-12T04:00,,29.1,75,0.395,0.41
1985-09-12T05:00,,29.8,72,0.393,0.408
1985-09-12T06:00,,30.6,69,0.391,0.407
1985-09-12T07:00,,31.3,66,0.389,0.406
1985-09-12T08:00,,31.7,65,0.387,0.404
1985-09-12T09:00,,31.4,66,0.386,0.403
1985-09-12T10:00,,31.2,68,0.386,0.402
1985-09-12T11:00,,30.2,74,0.387,0.401
1985-09-12T12:00,,29.4,77,0.386,0.401
1985-09-12T13:00,,28.5,80,0.386,0.4
1985-09-12T14:00,,27.9,82,0.386,0.4
1985-09-12T15:00,,27.5,84,0.386,0.4
1985-09-12T16:00,,27.3,85,0.385,0.399
1985-09-12T17:00,,27.0,86,0.385,0.399
1985-09-12T18:00,,26.8,88,0.385,0.399
1985-09-12T19:00,,27.0,89,0.385,0.399
1985-09-12T20:00,,26.8,89,0.385,0.398
1985-09-12T21:00,,26.6,90,0.385,0.398
1985-09-12T22:00,,26.2,90,0.384,0.398
1985-09-12T23:00,,26.1,90,0.384,0.397
1985-09-13T00:00,,25.8,91,0.384,0.397
1985-09-13T01:00,,26.0,91,0.384,0.397
1985-09-13T02:00,,27.1,86,0.383,0.396
1985-09-13T03:00,,28.4,82,0.382,0.396
1985-09-13T04:00,,29.5,80,0.38,0.395
1985-09-13T05:00,,30.4,78,0.379,0.394
1985-09-13T06:00,,31.0,76,0.377,0.392
1985-09-13T07:00,,31.8,70,0.375,0.391
1985-09-13T08:00,,32.0,67,0.374,0.39
1985-09-13T09:00,,32.0,67,0.374,0.389
1985-09-13T10:00,,30.9,69,0.373,0.388
1985-09-13T11:00,,29.5,76,0.381,0.388
1985-09-13T12:00,,28.7,80,0.381,0.388
1985-09-13T13:00,,27.9,83,0.381,0.388
1985-09-13T14:00,,27.5,85,0.38,0.388
1985-09-13T15:00,,27.2,86,0.38,0.388
1985-09-13T16:00,,27.0,87,0.38,0.387
1985-09-13T17:00,,26.8,88,0.38,0.387
1985-09-13T18:00,,26.6,89,0.379,0.387
1985-09-13T19:00,,26.9,87,0.379,0.387
1985-09-13T20:00,,26.7,88,0.379,0.387
1985-09-13T21:00,,26.4,89,0.379,0.387
1985-09-13T22:00,,26.1,90,0.378,0.387
1985-09-13T23:00,,25.8,91,0.378,0.387
