time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.0,87,0.167,0.151
1986-06-13T01:00,,26.3,83,0.167,0.151
1986-06-13T02:00,,26.6,82,0.19,0.151
1986-06-13T03:00,,26.2,87,0.244,0.151
1986-06-13T04:00,,25.9,88,0.247,0.151
1986-06-13T05:00,,27.6,77,0.244,0.151
1986-06-13T06:00,,28.6,74,0.243,0.151
1986-06-13T07:00,,33.5,60,0.241,0.151
1986-06-13T08:00,,34.5,58,0.238,0.151
1986-06-13T09:00,,34.8,57,0.235,0.151
1986-06-13T10:00,,34.5,57,0.233,0.152
1986-06-13T11:00,,34.3,58,0.231,0.152
1986-06-13T12:00,,33.6,60,0.23,0.152
1986-06-13T13:00,,32.5,65,0.23,0.152
1986-06-13T14:00,,31.4,69,0.229,0.152
1986-06-13T15:00,,30.6,73,0.229,0.152
1986-06-13T16:00,,30.2,75,0.229,0.152
1986-06-13T17:00,,29.9,76,0.228,0.152
1986-06-13T18:00,,29.6,77,0.228,0.152
1986-06-13T19:00,,28.5,82,0.236,0.152
1986-06-13T20:00,,27.9,86,0.24,0.152
1986-06-13T21:00,,27.7,88,0.24,0.152
1986-06-13T22:00,,27.4,89,0.24,0.152
1986-06-13T23:00,,27.3,90,0.239,0.153
1986-06-14T00:00,,27.2,90,0.239,0.153
1986-06-14T01:00,,27.9,86,0.239,0.153
1986-06-14T02:00,,28.9,80,0.238,0.153
1986-06-14T03:00,,30.1,72,0.236,0.153
1986-06-14T04:00,,31.0,69,0.235,0.153
1986-06-14T05:00,,31.7,67,0.234,0.153
1986-06-14T06:00,,32.2,66,0.232,0.153
1986-06-14T07:00,,34.6,57,0.23,0.153
1986-06-14T08:00,,35.2,55,0.227,0.153
1986-06-14T09:00,,35.5,54,0.224,0.153
1986-06-14T10:00,,35.1,55,0.222,0.153
1986-06-14T11:00,,34.6,56,0.221,0.153
1986-06-14T12:00,,33.9,58,0.221,0.153
1986-06-14T13:00,,33.2,61,0.221,0.153
1986-06-14T14:00,,31.8,68,0.222,0.153
1986-06-14T15:00,,31.0,71,0.221,0.153
1986-06-14T16:00,,30.6,72,0.221,0.153
1986-06-14T17:00,,30.1,75,0.221,0.153
1986-06-14T18:00,,29.6,78,0.221,0.154
1986-06-14T19:00,,29.7,75,0.221,0.154
1986-06-14T20:00,,29.2,78,0.221,0.154
1986-06-14T21:00,,28.6,81,0.221,0.154
1986-06-14T22:00,,28.0,83,0.221,0.154
1986-06-14T23:00,,27.4,85,0.221,0.154
1986-06-15T00:00,,27.1,86,0.221,0.154
1986-06-15T01:00,,27.5,82,0.22,0.154
1986-06-15T02:00,,28.7,76,0.22,0.154
1986-06-15T03:00,,30.2,70,0.219,0.154
1986-06-15T04:00,,31.9,64,0.218,0.154
1986-06-15T05:00,,32.7,61,0.217,0.154
1986-06-15T06:00,,33.8,57,0.215,0.154
1986-06-15T07:00,,31.1,66,0.214,0.154
1986-06-15T08:00,,31.5,65,0.214,0.154
1986-06-15T09:00,,31.9,63,0.213,0.154
1986-06-15T10:00,,32.1,63,0.212,0.154
1986-06-15T11:00,,32.1,62,0.212,0.154
1986-06-15T12:00,,32.0,62,0.211,0.154
1986-06-15T13:00,,31.5,65,0.211,0.154
1986-06-15T14:00,,31.0,67,0.21,0.154
1986-06-15T15:00,,30.4,70,0.21,0.154
1986-06-15T16:00,,30.0,72,0.21,0.154
1986-06-15T17:00,,29.4,75,0.21,0.154
1986-06-15T18:00,,28.8,79,0.21,0.154
1986-06-15T19:00,,26.5,90,0.243,0.154
1986-06-15T20:00,,26.0,93,0.252,0.154
1986-06-15T21:00,,25.8,94,0.252,0.155
1986-06-15T22:00,,25.8,94,0.253,0.155
1986-06-15T23:00,,25.8,95,0.254,0.155
