time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.5,96,0.317,0.151
1986-06-13T01:00,,25.1,99,0.34,0.152
1986-06-13T02:00,,25.2,97,0.348,0.153
1986-06-13T03:00,,26.1,91,0.345,0.154
1986-06-13T04:00,,27.4,86,0.342,0.155
1986-06-13T05:00,,27.5,88,0.362,0.157
1986-06-13T06:00,,26.8,94,0.406,0.159
1986-06-13T07:00,,30.2,74,0.384,0.165
1986-06-13T08:00,,32.3,67,0.373,0.168
1986-06-13T09:00,,32.9,65,0.363,0.17
1986-06-13T10:00,,33.3,62,0.356,0.171
1986-06-13T11:00,,32.7,64,0.351,0.173
1986-06-13T12:00,,32.3,67,0.346,0.174
1986-06-13T13:00,,31.3,71,0.343,0.175
1986-06-13T14:00,,30.3,75,0.341,0.176
1986-06-13T15:00,,29.0,80,0.344,0.177
1986-06-13T16:00,,28.3,83,0.341,0.178
1986-06-13T17:00,,27.9,84,0.338,0.179
1986-06-13T18:00,,27.6,86,0.336,0.18
1986-06-13T19:00,,27.6,85,0.344,0.181
1986-06-13T20:00,,26.8,90,0.37,0.182
1986-06-13T21:00,,26.2,92,0.376,0.184
1986-06-13T22:00,,25.9,95,0.379,0.186
1986-06-13T23:00,,25.6,96,0.405,0.188
1986-06-14T00:00,,25.6,96,0.411,0.194
1986-06-14T01:00,,25.9,96,0.399,0.2
1986-06-14T02:00,,26.3,92,0.39,0.203
1986-06-14T03:00,,27.5,85,0.383,0.206
1986-06-14T04:00,,28.0,84,0.381,0.208
1986-06-14T05:00,,29.2,78,0.373,0.21
1986-06-14T06:00,,30.5,75,0.366,0.212
1986-06-14T07:00,,33.2,61,0.363,0.213
1986-06-14T08:00,,32.8,62,0.38,0.214
1986-06-14T09:00,,33.3,61,0.372,0.216
1986-06-14T10:00,,33.1,62,0.366,0.217
1986-06-14T11:00,,31.6,68,0.362,0.218
1986-06-14T12:00,,31.2,70,0.358,0.219
1986-06-14T13:00,,30.5,73,0.354,0.22
1986-06-14T14:00,,29.9,76,0.351,0.221
1986-06-14T15:00,,29.5,78,0.348,0.222
1986-06-14T16:00,,29.2,80,0.345,0.223
1986-06-14T17:00,,28.8,81,0.343,0.224
1986-06-14T18:00,,28.6,82,0.341,0.224
1986-06-14T19:00,,28.6,80,0.339,0.225
1986-06-14T20:00,,28.4,81,0.337,0.225
1986-06-14T21:00,,28.1,83,0.335,0.226
1986-06-14T22:00,,27.9,84,0.333,0.227
1986-06-14T23:00,,27.7,86,0.331,0.227
1986-06-15T00:00,,27.6,87,0.33,0.228
1986-06-15T01:00,,28.3,84,0.328,0.228
1986-06-15T02:00,,29.1,81,0.326,0.228
1986-06-15T03:00,,29.2,78,0.331,0.229
1986-06-15T04:00,,28.8,81,0.336,0.229
1986-06-15T05:00,,29.7,77,0.335,0.229
1986-06-15T06:00,,31.8,69,0.331,0.23
1986-06-15T07:00,,32.9,67,0.329,0.23
1986-06-15T08:00,,32.8,67,0.337,0.23
1986-06-15T09:00,,31.4,74,0.35,0.23
1986-06-15T10:00,,31.3,74,0.35,0.231
1986-06-15T11:00,,31.4,72,0.348,0.232
1986-06-15T12:00,,31.1,74,0.346,0.232
1986-06-15T13:00,,30.0,78,0.348,0.233
1986-06-15T14:00,,28.9,83,0.347,0.234
1986-06-15T15:00,,28.4,84,0.345,0.235
1986-06-15T16:00,,28.1,85,0.344,0.235
1986-06-15T17:00,,27.8,87,0.349,0.236
1986-06-15T18:00,,27.5,89,0.348,0.237
1986-06-15T19:00,,26.0,95,0.377,0.237
1986-06-15T20:00,,25.8,96,0.399,0.239
1986-06-15T21:00,,25.5,96,0.429,0.243
1986-06-15T22:00,,25.2,97,0.415,0.263
1986-06-15T23:00,,25.1,98,0.406,0.282
