time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.5,83,0.137,0.151
1986-06-13T01:00,,27.6,82,0.137,0.151
1986-06-13T02:00,,28.1,79,0.137,0.151
1986-06-13T03:00,,28.6,77,0.137,0.151
1986-06-13T04:00,,28.7,76,0.137,0.151
1986-06-13T05:00,,30.1,71,0.138,0.151
1986-06-13T06:00,,30.4,70,0.138,0.151
1986-06-13T07:00,,36.6,48,0.137,0.151
1986-06-13T08:00,,35.9,52,0.139,0.151
1986-06-13T09:00,,35.8,52,0.139,0.151
1986-06-13T10:00,,35.7,52,0.139,0.151
1986-06-13T11:00,,35.7,52,0.139,0.151
1986-06-13T12:00,,35.3,53,0.139,0.151
1986-06-13T13:00,,34.7,55,0.139,0.151
1986-06-13T14:00,,33.8,58,0.139,0.151
1986-06-13T15:00,,33.0,61,0.139,0.151
1986-06-13T16:00,,32.3,64,0.139,0.151
1986-06-13T17:00,,31.2,69,0.139,0.151
1986-06-13T18:00,,30.4,72,0.139,0.151
1986-06-13T19:00,,27.5,88,0.146,0.151
1986-06-13T20:00,,27.3,89,0.146,0.151
1986-06-13T21:00,,26.9,90,0.159,0.151
1986-06-13T22:00,,26.3,92,0.189,0.151
1986-06-13T23:00,,25.8,93,0.221,0.151
1986-06-14T00:00,,25.5,94,0.255,0.151
1986-06-14T01:00,,26.0,91,0.261,0.151
1986-06-14T02:00,,27.2,84,0.26,0.151
1986-06-14T03:00,,29.2,74,0.259,0.151
1986-06-14T04:00,,31.3,66,0.256,0.152
1986-06-14T05:00,,32.9,61,0.254,0.152
1986-06-14T06:00,,33.6,59,0.251,0.152
1986-06-14T07:00,,35.2,52,0.248,0.152
1986-06-14T08:00,,35.8,51,0.245,0.152
1986-06-14T09:00,,35.7,52,0.242,0.152
1986-06-14T10:00,,35.7,52,0.239,0.152
1986-06-14T11:00,,35.4,52,0.238,0.152
1986-06-14T12:00,,34.9,54,0.237,0.152
1986-06-14T13:00,,34.0,58,0.236,0.152
1986-06-14T14:00,,32.9,62,0.235,0.152
1986-06-14T15:00,,32.2,64,0.235,0.153
1986-06-14T16:00,,31.5,67,0.235,0.153
1986-06-14T17:00,,30.9,70,0.234,0.153
1986-06-14T18:00,,30.5,72,0.234,0.153
1986-06-14T19:00,,30.0,72,0.233,0.153
1986-06-14T20:00,,29.6,74,0.233,0.153
1986-06-14T21:00,,29.2,76,0.233,0.153
1986-06-14T22:00,,29.0,78,0.233,0.153
1986-06-14T23:00,,28.6,80,0.232,0.153
1986-06-15T00:00,,28.4,81,0.232,0.153
1986-06-15T01:00,,29.2,78,0.231,0.153
1986-06-15T02:00,,30.3,74,0.23,0.153
1986-06-15T03:00,,31.7,68,0.229,0.153
1986-06-15T04:00,,32.9,65,0.227,0.153
1986-06-15T05:00,,33.9,61,0.225,0.153
1986-06-15T06:00,,35.0,57,0.223,0.154
1986-06-15T07:00,,33.4,63,0.222,0.154
1986-06-15T08:00,,33.7,62,0.22,0.154
1986-06-15T09:00,,34.5,58,0.219,0.154
1986-06-15T10:00,,34.9,55,0.217,0.154
1986-06-15T11:00,,34.3,57,0.216,0.154
1986-06-15T12:00,,33.4,61,0.216,0.154
1986-06-15T13:00,,32.0,68,0.215,0.154
1986-06-15T14:00,,31.1,73,0.215,0.154
1986-06-15T15:00,,30.2,77,0.215,0.154
1986-06-15T16:00,,29.8,79,0.215,0.154
1986-06-15T17:00,,29.0,83,0.216,0.154
1986-06-15T18:00,,28.6,86,0.216,0.154
1986-06-15T19:00,,26.8,92,0.216,0.154
1986-06-15T20:00,,26.6,92,0.216,0.154
1986-06-15T21:00,,26.3,93,0.222,0.154
1986-06-15T22:00,,25.8,95,0.241,0.154
1986-06-15T23:00,,25.5,95,0.254,0.154
