time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.1,72,0.117,0.133
1986-06-13T01:00,,30.5,72,0.117,0.133
1986-06-13T02:00,,31.8,67,0.117,0.133
1986-06-13T03:00,,32.7,64,0.117,0.133
1986-06-13T04:00,,33.1,62,0.117,0.133
1986-06-13T05:00,,34.3,57,0.117,0.133
1986-06-13T06:00,,35.5,53,0.117,0.133
1986-06-13T07:00,,38.8,41,0.117,0.133
1986-06-13T08:00,,39.5,40,0.117,0.133
1986-06-13T09:00,,39.8,38,0.117,0.133
1986-06-13T10:00,,39.5,39,0.117,0.133
1986-06-13T11:00,,38.9,40,0.117,0.133
1986-06-13T12:00,,38.0,43,0.117,0.133
1986-06-13T13:00,,36.7,47,0.117,0.133
1986-06-13T14:00,,35.4,52,0.117,0.133
1986-06-13T15:00,,34.5,55,0.117,0.133
1986-06-13T16:00,,33.8,59,0.117,0.133
1986-06-13T17:00,,33.2,61,0.117,0.133
1986-06-13T18:00,,32.6,63,0.117,0.133
1986-06-13T19:00,,31.2,72,0.117,0.133
1986-06-13T20:00,,30.6,74,0.117,0.133
1986-06-13T21:00,,29.9,76,0.117,0.133
1986-06-13T22:00,,29.3,78,0.117,0.133
1986-06-13T23:00,,28.9,80,0.117,0.133
1986-06-14T00:00,,28.7,81,0.117,0.133
1986-06-14T01:00,,29.3,78,0.117,0.133
1986-06-14T02:00,,30.5,72,0.117,0.133
1986-06-14T03:00,,32.3,65,0.117,0.133
1986-06-14T04:00,,34.2,58,0.117,0.133
1986-06-14T05:00,,35.9,52,0.117,0.133
1986-06-14T06:00,,37.2,48,0.117,0.133
1986-06-14T07:00,,38.0,42,0.117,0.133
1986-06-14T08:00,,38.7,39,0.117,0.133
1986-06-14T09:00,,38.7,39,0.117,0.133
1986-06-14T10:00,,38.6,39,0.117,0.133
1986-06-14T11:00,,38.3,39,0.117,0.133
1986-06-14T12:00,,37.0,42,0.119,0.133
1986-06-14T13:00,,35.7,47,0.12,0.133
1986-06-14T14:00,,34.9,50,0.12,0.133
1986-06-14T15:00,,34.2,52,0.12,0.133
1986-06-14T16:00,,33.5,55,0.12,0.133
1986-06-14T17:00,,33.0,58,0.12,0.133
1986-06-14T18:00,,32.4,61,0.12,0.133
1986-06-14T19:00,,31.6,61,0.12,0.133
1986-06-14T20:00,,31.0,64,0.12,0.133
1986-06-14T21:00,,30.5,67,0.12,0.133
1986-06-14T22:00,,30.2,69,0.12,0.133
1986-06-14T23:00,,29.7,72,0.12,0.133
1986-06-15T00:00,,29.4,74,0.12,0.133
1986-06-15T01:00,,30.3,71,0.12,0.133
1986-06-15T02:00,,31.8,66,0.12,0.133
1986-06-15T03:00,,33.7,58,0.12,0.133
1986-06-15T04:00,,35.4,51,0.12,0.133
1986-06-15T05:00,,36.5,48,0.12,0.133
1986-06-15T06:00,,37.2,45,0.12,0.133
1986-06-15T07:00,,36.3,50,0.12,0.133
1986-06-15T08:00,,36.9,47,0.12,0.133
1986-06-15T09:00,,37.4,45,0.12,0.133
1986-06-15T10:00,,37.7,43,0.12,0.133
1986-06-15T11:00,,37.2,44,0.12,0.133
1986-06-15T12:00,,36.2,46,0.121,0.133
1986-06-15T13:00,,35.2,50,0.121,0.133
1986-06-15T14:00,,34.2,54,0.121,0.133
1986-06-15T15:00,,33.4,58,0.121,0.133
1986-06-15T16:00,,32.6,62,0.121,0.133
1986-06-15T17:00,,31.8,66,0.121,0.133
1986-06-15T18:00,,31.1,71,0.121,0.133
1986-06-15T19:00,,29.3,82,0.121,0.133
1986-06-15T20:00,,29.0,84,0.121,0.133
1986-06-15T21:00,,28.7,85,0.121,0.133
1986-06-15T22:00,,28.5,85,0.121,0.133
1986-06-15T23:00,,28.1,87,0.125,0.133
