time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.6,98,0.438,0.263
1986-06-13T01:00,,24.5,99,0.391,0.298
1986-06-13T02:00,,24.5,99,0.435,0.301
1986-06-13T03:00,,24.8,98,0.415,0.32
1986-06-13T04:00,,24.9,98,0.426,0.326
1986-06-13T05:00,,25.3,97,0.408,0.337
1986-06-13T06:00,,25.8,91,0.405,0.339
1986-06-13T07:00,,31.2,71,0.395,0.34
1986-06-13T08:00,,32.3,68,0.389,0.34
1986-06-13T09:00,,32.7,68,0.383,0.339
1986-06-13T10:00,,32.8,68,0.379,0.339
1986-06-13T11:00,,32.3,68,0.378,0.339
1986-06-13T12:00,,31.5,72,0.378,0.339
1986-06-13T13:00,,30.1,79,0.379,0.339
1986-06-13T14:00,,29.2,83,0.378,0.339
1986-06-13T15:00,,28.8,85,0.377,0.34
1986-06-13T16:00,,28.2,88,0.378,0.34
1986-06-13T17:00,,27.7,91,0.378,0.34
1986-06-13T18:00,,27.4,92,0.381,0.341
1986-06-13T19:00,,27.3,92,0.38,0.341
1986-06-13T20:00,,26.5,94,0.408,0.342
1986-06-13T21:00,,25.7,96,0.438,0.344
1986-06-13T22:00,,25.4,97,0.396,0.367
1986-06-13T23:00,,25.2,96,0.409,0.368
1986-06-14T00:00,,25.2,96,0.425,0.37
1986-06-14T01:00,,25.4,96,0.434,0.374
1986-06-14T02:00,,25.8,95,0.418,0.388
1986-06-14T03:00,,26.6,90,0.42,0.392
1986-06-14T04:00,,26.8,89,0.429,0.393
1986-06-14T05:00,,27.9,86,0.423,0.395
1986-06-14T06:00,,29.5,81,0.416,0.395
1986-06-14T07:00,,31.4,73,0.41,0.394
1986-06-14T08:00,,32.3,69,0.405,0.393
1986-06-14T09:00,,33.0,64,0.4,0.391
1986-06-14T10:00,,33.2,62,0.396,0.389
1986-06-14T11:00,,32.8,63,0.394,0.388
1986-06-14T12:00,,31.2,72,0.395,0.387
1986-06-14T13:00,,30.2,76,0.394,0.386
1986-06-14T14:00,,29.6,78,0.393,0.386
1986-06-14T15:00,,29.0,80,0.392,0.385
1986-06-14T16:00,,28.6,81,0.392,0.385
1986-06-14T17:00,,28.3,83,0.391,0.384
1986-06-14T18:00,,27.8,85,0.392,0.384
1986-06-14T19:00,,28.1,83,0.391,0.383
1986-06-14T20:00,,27.5,86,0.391,0.383
1986-06-14T21:00,,26.9,89,0.394,0.382
1986-06-14T22:00,,26.3,93,0.399,0.382
1986-06-14T23:00,,25.8,95,0.403,0.382
1986-06-15T00:00,,25.5,95,0.407,0.382
1986-06-15T01:00,,25.6,95,0.408,0.382
1986-06-15T02:00,,26.0,93,0.407,0.383
1986-06-15T03:00,,26.6,88,0.405,0.383
1986-06-15T04:00,,27.7,84,0.402,0.382
1986-06-15T05:00,,28.9,80,0.398,0.382
1986-06-15T06:00,,30.0,78,0.394,0.381
1986-06-15T07:00,,30.8,77,0.391,0.379
1986-06-15T08:00,,31.9,72,0.387,0.378
1986-06-15T09:00,,32.5,69,0.384,0.377
1986-06-15T10:00,,32.5,67,0.381,0.375
1986-06-15T11:00,,32.3,67,0.379,0.374
1986-06-15T12:00,,30.6,73,0.381,0.374
1986-06-15T13:00,,29.6,78,0.381,0.373
1986-06-15T14:00,,28.8,82,0.386,0.373
1986-06-15T15:00,,28.0,87,0.395,0.373
1986-06-15T16:00,,27.3,90,0.403,0.373
1986-06-15T17:00,,26.7,93,0.425,0.374
1986-06-15T18:00,,26.1,94,0.439,0.378
1986-06-15T19:00,,25.9,95,0.401,0.398
1986-06-15T20:00,,25.7,96,0.408,0.397
1986-06-15T21:00,,25.5,97,0.411,0.397
1986-06-15T22:00,,25.4,98,0.417,0.397
1986-06-15T23:00,,25.3,98,0.425,0.397
