time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.0,95,0.416,0.424
1985-09-11T01:00,,24.9,95,0.425,0.424
1985-09-11T02:00,,25.0,95,0.427,0.427
1985-09-11T03:00,,25.5,94,0.427,0.427
1985-09-11T04:00,,26.3,89,0.425,0.427
1985-09-11T05:00,,26.5,90,0.439,0.428
1985-09-11T06:00,,26.8,90,0.414,0.435
1985-09-11T07:00,,28.6,84,0.412,0.431
1985-09-11T08:00,,29.7,79,0.41,0.429
1985-09-11T09:00,,29.8,71,0.409,0.427
1985-09-11T10:00,,28.8,78,0.415,0.425
1985-09-11T11:00,,26.6,87,0.439,0.427
1985-09-11T12:00,,26.2,91,0.411,0.436
1985-09-11T13:00,,25.9,91,0.412,0.432
1985-09-11T14:00,,26.0,92,0.412,0.43
1985-09-11T15:00,,26.1,92,0.411,0.429
1985-09-11T16:00,,25.9,93,0.41,0.427
1985-09-11T17:00,,25.8,93,0.41,0.426
1985-09-11T18:00,,25.5,93,0.409,0.425
1985-09-11T19:00,,25.8,93,0.409,0.424
1985-09-11T20:00,,25.6,94,0.408,0.423
1985-09-11T21:00,,25.5,94,0.407,0.423
1985-09-11T22:00,,25.4,94,0.406,0.422
1985-09-11T23:00,,25.3,94,0.406,0.421
1985-09-12T00:00,,25.3,93,0.405,0.42
1985-09-12T01:00,,25.6,92,0.404,0.42
1985-09-12T02:00,,26.8,85,0.404,0.419
1985-09-12T03:00,,27.9,79,0.402,0.418
1985-09-12T04:00,,29.5,71,0.4,0.417
1985-09-12T05:00,,30.4,67,0.397,0.415
1985-09-12T06:00,,31.1,65,0.395,0.414
1985-09-12T07:00,,31.9,61,0.392,0.412
1985-09-12T08:00,,32.3,60,0.389,0.41
1985-09-12T09:00,,32.2,59,0.387,0.409
1985-09-12T10:00,,32.0,60,0.385,0.407
1985-09-12T11:00,,31.3,64,0.384,0.406
1985-09-12T12:00,,30.2,69,0.384,0.406
1985-09-12T13:00,,29.2,73,0.384,0.405
1985-09-12T14:00,,28.8,75,0.384,0.404
1985-09-12T15:00,,28.4,77,0.384,0.404
1985-09-12T16:00,,28.1,79,0.384,0.403
1985-09-12T17:00,,27.6,82,0.384,0.403
1985-09-12T18:00,,27.2,84,0.384,0.402
1985-09-12T19:00,,26.9,85,0.384,0.402
1985-09-12T20:00,,26.5,87,0.384,0.401
1985-09-12T21:00,,26.1,90,0.384,0.401
1985-09-12T22:00,,25.8,92,0.384,0.401
1985-09-12T23:00,,25.4,94,0.384,0.4
1985-09-13T00:00,,25.3,95,0.384,0.4
1985-09-13T01:00,,25.9,93,0.384,0.399
1985-09-13T02:00,,27.3,85,0.384,0.399
1985-09-13T03:00,,28.5,79,0.383,0.398
1985-09-13T04:00,,29.4,74,0.382,0.397
1985-09-13T05:00,,30.3,70,0.38,0.396
1985-09-13T06:00,,30.9,68,0.379,0.395
1985-09-13T07:00,,31.4,67,0.377,0.393
1985-09-13T08:00,,31.6,66,0.376,0.392
1985-09-13T09:00,,31.5,66,0.375,0.391
1985-09-13T10:00,,31.2,66,0.375,0.39
1985-09-13T11:00,,30.2,69,0.375,0.39
1985-09-13T12:00,,29.0,76,0.375,0.389
1985-09-13T13:00,,28.2,79,0.375,0.389
1985-09-13T14:00,,27.6,82,0.375,0.389
1985-09-13T15:00,,27.3,84,0.375,0.388
1985-09-13T16:00,,27.1,85,0.375,0.388
1985-09-13T17:00,,26.9,86,0.375,0.388
1985-09-13T18:00,,26.8,87,0.375,0.387
1985-09-13T19:00,,26.8,88,0.375,0.387
1985-09-13T20:00,,26.4,89,0.375,0.387
1985-09-13T21:00,,26.2,90,0.375,0.387
1985-09-13T22:00,,25.8,92,0.374,0.386
1985-09-13T23:00,,25.7,93,0.374,0.386
