time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.3,96,0.427,0.399
1986-06-13T01:00,,24.3,96,0.439,0.402
1986-06-13T02:00,,24.5,96,0.412,0.418
1986-06-13T03:00,,24.9,95,0.424,0.417
1986-06-13T04:00,,25.5,93,0.437,0.417
1986-06-13T05:00,,25.7,91,0.422,0.422
1986-06-13T06:00,,26.6,88,0.421,0.42
1986-06-13T07:00,,31.0,73,0.415,0.418
1986-06-13T08:00,,31.8,71,0.411,0.416
1986-06-13T09:00,,32.0,70,0.407,0.413
1986-06-13T10:00,,32.2,68,0.404,0.411
1986-06-13T11:00,,32.1,67,0.402,0.41
1986-06-13T12:00,,31.7,70,0.401,0.408
1986-06-13T13:00,,30.8,75,0.4,0.407
1986-06-13T14:00,,28.9,82,0.408,0.406
1986-06-13T15:00,,27.7,87,0.431,0.406
1986-06-13T16:00,,26.8,91,0.439,0.41
1986-06-13T17:00,,26.1,93,0.417,0.425
1986-06-13T18:00,,25.7,94,0.432,0.423
1986-06-13T19:00,,25.6,94,0.439,0.425
1986-06-13T20:00,,25.1,94,0.429,0.437
1986-06-13T21:00,,24.7,95,0.432,0.429
1986-06-13T22:00,,24.4,96,0.434,0.434
1986-06-13T23:00,,24.1,97,0.418,0.428
1986-06-14T00:00,,24.3,97,0.427,0.423
1986-06-14T01:00,,24.7,97,0.429,0.423
1986-06-14T02:00,,25.4,95,0.426,0.422
1986-06-14T03:00,,26.3,89,0.425,0.421
1986-06-14T04:00,,27.3,81,0.422,0.42
1986-06-14T05:00,,28.1,79,0.418,0.418
1986-06-14T06:00,,29.4,75,0.415,0.416
1986-06-14T07:00,,30.7,76,0.411,0.414
1986-06-14T08:00,,31.5,73,0.407,0.412
1986-06-14T09:00,,31.8,71,0.405,0.411
1986-06-14T10:00,,32.1,69,0.402,0.409
1986-06-14T11:00,,32.0,67,0.4,0.407
1986-06-14T12:00,,31.4,70,0.398,0.406
1986-06-14T13:00,,30.0,77,0.398,0.405
1986-06-14T14:00,,28.7,81,0.398,0.405
1986-06-14T15:00,,27.9,86,0.401,0.404
1986-06-14T16:00,,27.2,88,0.403,0.403
1986-06-14T17:00,,26.7,91,0.407,0.403
1986-06-14T18:00,,26.2,92,0.413,0.403
1986-06-14T19:00,,25.8,94,0.418,0.403
1986-06-14T20:00,,25.3,95,0.422,0.403
1986-06-14T21:00,,25.1,96,0.423,0.404
1986-06-14T22:00,,24.9,97,0.421,0.404
1986-06-14T23:00,,24.9,97,0.42,0.405
1986-06-15T00:00,,25.0,97,0.418,0.405
1986-06-15T01:00,,25.6,94,0.416,0.405
1986-06-15T02:00,,26.5,88,0.414,0.405
1986-06-15T03:00,,27.4,83,0.411,0.405
1986-06-15T04:00,,28.6,82,0.408,0.404
1986-06-15T05:00,,28.9,81,0.405,0.403
1986-06-15T06:00,,29.7,80,0.402,0.402
1986-06-15T07:00,,30.4,78,0.399,0.4
1986-06-15T08:00,,31.4,70,0.395,0.399
1986-06-15T09:00,,30.6,73,0.395,0.398
1986-06-15T10:00,,31.1,72,0.394,0.397
1986-06-15T11:00,,30.8,73,0.393,0.396
1986-06-15T12:00,,29.9,77,0.394,0.395
1986-06-15T13:00,,29.2,80,0.394,0.395
1986-06-15T14:00,,28.1,85,0.398,0.394
1986-06-15T15:00,,26.9,90,0.426,0.395
1986-06-15T16:00,,26.2,93,0.434,0.397
1986-06-15T17:00,,25.8,94,0.434,0.403
1986-06-15T18:00,,25.4,95,0.436,0.408
1986-06-15T19:00,,25.3,96,0.437,0.42
1986-06-15T20:00,,25.0,98,0.432,0.431
1986-06-15T21:00,,24.7,98,0.433,0.432
1986-06-15T22:00,,24.6,99,0.413,0.432
1986-06-15T23:00,,24.6,99,0.416,0.426
