time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.4,95,0.426,0.414
1985-09-11T01:00,,25.3,94,0.439,0.415
1985-09-11T02:00,,25.5,93,0.42,0.429
1985-09-11T03:00,,25.7,92,0.427,0.428
1985-09-11T04:00,,26.5,89,0.425,0.428
1985-09-11T05:00,,26.7,88,0.429,0.427
1985-09-11T06:00,,27.1,89,0.434,0.427
1985-09-11T07:00,,28.8,85,0.426,0.427
1985-09-11T08:00,,29.7,81,0.421,0.426
1985-09-11T09:00,,30.0,76,0.418,0.425
1985-09-11T10:00,,28.1,78,0.426,0.424
1985-09-11T11:00,,27.2,82,0.428,0.424
1985-09-11T12:00,,26.6,84,0.425,0.424
1985-09-11T13:00,,26.1,87,0.422,0.423
1985-09-11T14:00,,25.9,88,0.419,0.423
1985-09-11T15:00,,25.9,88,0.417,0.422
1985-09-11T16:00,,25.8,90,0.415,0.422
1985-09-11T17:00,,25.7,91,0.414,0.421
1985-09-11T18:00,,25.5,92,0.413,0.421
1985-09-11T19:00,,25.6,92,0.411,0.42
1985-09-11T20:00,,25.5,93,0.41,0.419
1985-09-11T21:00,,25.3,94,0.409,0.419
1985-09-11T22:00,,25.2,94,0.408,0.418
1985-09-11T23:00,,25.1,94,0.407,0.418
1985-09-12T00:00,,25.2,93,0.406,0.417
1985-09-12T01:00,,25.5,93,0.405,0.416
1985-09-12T02:00,,26.6,86,0.404,0.416
1985-09-12T03:00,,27.9,78,0.402,0.415
1985-09-12T04:00,,29.3,71,0.4,0.414
1985-09-12T05:00,,30.1,69,0.398,0.412
1985-09-12T06:00,,30.8,66,0.395,0.411
1985-09-12T07:00,,31.5,64,0.392,0.409
1985-09-12T08:00,,31.9,62,0.389,0.408
1985-09-12T09:00,,31.7,63,0.387,0.406
1985-09-12T10:00,,31.2,65,0.386,0.405
1985-09-12T11:00,,30.5,70,0.386,0.404
1985-09-12T12:00,,29.8,73,0.386,0.404
1985-09-12T13:00,,29.0,76,0.385,0.403
1985-09-12T14:00,,28.4,78,0.385,0.403
1985-09-12T15:00,,28.2,79,0.385,0.403
1985-09-12T16:00,,27.8,81,0.385,0.402
1985-09-12T17:00,,27.3,83,0.385,0.402
1985-09-12T18:00,,26.9,85,0.385,0.401
1985-09-12T19:00,,26.6,86,0.385,0.401
1985-09-12T20:00,,26.2,88,0.385,0.401
1985-09-12T21:00,,25.8,90,0.385,0.4
1985-09-12T22:00,,25.5,91,0.385,0.4
1985-09-12T23:00,,25.2,93,0.385,0.4
1985-09-13T00:00,,25.1,94,0.385,0.4
1985-09-13T01:00,,25.6,93,0.384,0.399
1985-09-13T02:00,,27.1,85,0.384,0.399
1985-09-13T03:00,,28.4,78,0.383,0.398
1985-09-13T04:00,,29.5,72,0.381,0.397
1985-09-13T05:00,,30.5,68,0.379,0.396
1985-09-13T06:00,,31.1,65,0.377,0.395
1985-09-13T07:00,,31.5,64,0.374,0.393
1985-09-13T08:00,,31.8,62,0.372,0.392
1985-09-13T09:00,,31.8,62,0.37,0.391
1985-09-13T10:00,,31.6,62,0.368,0.39
1985-09-13T11:00,,31.1,65,0.367,0.389
1985-09-13T12:00,,30.3,70,0.367,0.389
1985-09-13T13:00,,29.2,74,0.367,0.388
1985-09-13T14:00,,28.5,77,0.367,0.388
1985-09-13T15:00,,28.2,78,0.367,0.388
1985-09-13T16:00,,27.7,80,0.367,0.387
1985-09-13T17:00,,27.4,82,0.367,0.387
1985-09-13T18:00,,27.0,84,0.368,0.387
1985-09-13T19:00,,27.0,84,0.368,0.386
1985-09-13T20:00,,26.7,86,0.368,0.386
1985-09-13T21:00,,26.4,87,0.368,0.386
1985-09-13T22:00,,26.0,89,0.368,0.385
1985-09-13T23:00,,25.8,90,0.368,0.385
