time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.0,97,0.32,0.151
1986-06-13T01:00,,25.1,97,0.321,0.151
1986-06-13T02:00,,25.4,95,0.331,0.152
1986-06-13T03:00,,25.6,96,0.388,0.153
1986-06-13T04:00,,25.7,98,0.404,0.157
1986-06-13T05:00,,25.9,98,0.415,0.164
1986-06-13T06:00,,25.9,99,0.41,0.173
1986-06-13T07:00,,31.0,72,0.388,0.179
1986-06-13T08:00,,32.6,67,0.376,0.182
1986-06-13T09:00,,33.2,64,0.367,0.184
1986-06-13T10:00,,33.4,63,0.359,0.185
1986-06-13T11:00,,33.3,64,0.353,0.186
1986-06-13T12:00,,32.7,67,0.348,0.187
1986-06-13T13:00,,31.9,70,0.345,0.188
1986-06-13T14:00,,31.3,73,0.342,0.189
1986-06-13T15:00,,30.5,76,0.34,0.19
1986-06-13T16:00,,29.3,81,0.341,0.191
1986-06-13T17:00,,29.0,83,0.338,0.192
1986-06-13T18:00,,28.6,85,0.336,0.193
1986-06-13T19:00,,27.6,88,0.362,0.194
1986-06-13T20:00,,27.1,91,0.366,0.195
1986-06-13T21:00,,26.7,93,0.372,0.197
1986-06-13T22:00,,26.3,94,0.385,0.199
1986-06-13T23:00,,26.0,95,0.402,0.201
1986-06-14T00:00,,25.7,95,0.41,0.206
1986-06-14T01:00,,26.2,93,0.394,0.211
1986-06-14T02:00,,27.1,88,0.385,0.214
1986-06-14T03:00,,28.1,83,0.378,0.216
1986-06-14T04:00,,28.6,81,0.373,0.218
1986-06-14T05:00,,29.1,79,0.367,0.219
1986-06-14T06:00,,30.1,77,0.361,0.22
1986-06-14T07:00,,33.3,65,0.354,0.221
1986-06-14T08:00,,33.9,61,0.347,0.221
1986-06-14T09:00,,33.9,61,0.341,0.222
1986-06-14T10:00,,34.0,60,0.336,0.222
1986-06-14T11:00,,32.7,65,0.333,0.222
1986-06-14T12:00,,31.8,68,0.331,0.222
1986-06-14T13:00,,30.9,72,0.329,0.223
1986-06-14T14:00,,30.3,74,0.327,0.223
1986-06-14T15:00,,30.0,76,0.326,0.224
1986-06-14T16:00,,29.8,78,0.324,0.224
1986-06-14T17:00,,29.5,79,0.323,0.225
1986-06-14T18:00,,29.2,81,0.322,0.225
1986-06-14T19:00,,29.2,77,0.321,0.225
1986-06-14T20:00,,29.0,79,0.32,0.226
1986-06-14T21:00,,28.8,79,0.318,0.226
1986-06-14T22:00,,28.5,81,0.317,0.226
1986-06-14T23:00,,28.1,84,0.317,0.227
1986-06-15T00:00,,27.5,87,0.317,0.227
1986-06-15T01:00,,27.3,88,0.318,0.227
1986-06-15T02:00,,27.6,87,0.317,0.228
1986-06-15T03:00,,28.3,83,0.317,0.228
1986-06-15T04:00,,29.0,80,0.315,0.228
1986-06-15T05:00,,30.1,75,0.313,0.228
1986-06-15T06:00,,32.0,69,0.309,0.228
1986-06-15T07:00,,32.0,72,0.305,0.228
1986-06-15T08:00,,32.8,68,0.302,0.227
1986-06-15T09:00,,32.7,68,0.3,0.227
1986-06-15T10:00,,32.4,69,0.3,0.227
1986-06-15T11:00,,32.1,71,0.302,0.227
1986-06-15T12:00,,31.2,75,0.307,0.227
1986-06-15T13:00,,30.6,79,0.309,0.228
1986-06-15T14:00,,29.6,83,0.318,0.228
1986-06-15T15:00,,28.8,86,0.324,0.228
1986-06-15T16:00,,28.2,87,0.343,0.229
1986-06-15T17:00,,27.6,90,0.364,0.23
1986-06-15T18:00,,27.2,91,0.37,0.231
1986-06-15T19:00,,25.9,96,0.403,0.232
1986-06-15T20:00,,25.6,97,0.424,0.237
1986-06-15T21:00,,25.4,98,0.426,0.247
1986-06-15T22:00,,25.2,98,0.434,0.257
1986-06-15T23:00,,25.2,98,0.407,0.273
