time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.4,98,0.39,0.239
1986-06-13T01:00,,24.3,98,0.419,0.249
1986-06-13T02:00,,24.3,97,0.404,0.275
1986-06-13T03:00,,24.5,96,0.413,0.296
1986-06-13T04:00,,24.8,96,0.387,0.317
1986-06-13T05:00,,25.0,96,0.419,0.319
1986-06-13T06:00,,25.1,96,0.43,0.328
1986-06-13T07:00,,29.9,76,0.382,0.342
1986-06-13T08:00,,31.8,68,0.377,0.342
1986-06-13T09:00,,32.3,66,0.373,0.341
1986-06-13T10:00,,32.4,66,0.369,0.341
1986-06-13T11:00,,32.0,68,0.367,0.34
1986-06-13T12:00,,31.7,69,0.365,0.34
1986-06-13T13:00,,30.6,75,0.364,0.34
1986-06-13T14:00,,29.9,78,0.363,0.34
1986-06-13T15:00,,29.3,81,0.362,0.34
1986-06-13T16:00,,28.2,86,0.372,0.34
1986-06-13T17:00,,27.3,90,0.377,0.34
1986-06-13T18:00,,26.9,93,0.38,0.34
1986-06-13T19:00,,26.8,93,0.378,0.341
1986-06-13T20:00,,26.4,93,0.385,0.341
1986-06-13T21:00,,25.6,95,0.421,0.342
1986-06-13T22:00,,25.1,96,0.439,0.347
1986-06-13T23:00,,25.0,97,0.375,0.369
1986-06-14T00:00,,25.0,96,0.379,0.368
1986-06-14T01:00,,25.4,96,0.396,0.368
1986-06-14T02:00,,26.0,93,0.399,0.368
1986-06-14T03:00,,26.5,90,0.398,0.368
1986-06-14T04:00,,26.9,88,0.397,0.368
1986-06-14T05:00,,27.9,83,0.395,0.368
1986-06-14T06:00,,29.2,79,0.392,0.368
1986-06-14T07:00,,31.1,75,0.387,0.367
1986-06-14T08:00,,32.1,71,0.383,0.365
1986-06-14T09:00,,32.8,67,0.378,0.364
1986-06-14T10:00,,33.0,66,0.375,0.362
1986-06-14T11:00,,32.3,67,0.375,0.361
1986-06-14T12:00,,30.5,75,0.375,0.361
1986-06-14T13:00,,29.7,78,0.375,0.361
1986-06-14T14:00,,29.0,82,0.374,0.36
1986-06-14T15:00,,28.5,85,0.374,0.36
1986-06-14T16:00,,28.3,86,0.373,0.36
1986-06-14T17:00,,28.1,86,0.372,0.36
1986-06-14T18:00,,27.7,87,0.373,0.359
1986-06-14T19:00,,27.6,84,0.373,0.359
1986-06-14T20:00,,27.0,87,0.373,0.359
1986-06-14T21:00,,26.5,89,0.374,0.359
1986-06-14T22:00,,26.0,92,0.376,0.358
1986-06-14T23:00,,25.4,94,0.38,0.358
1986-06-15T00:00,,25.2,96,0.387,0.358
1986-06-15T01:00,,25.5,95,0.39,0.358
1986-06-15T02:00,,26.5,89,0.388,0.359
1986-06-15T03:00,,27.6,83,0.386,0.359
1986-06-15T04:00,,28.8,80,0.384,0.358
1986-06-15T05:00,,29.4,79,0.381,0.357
1986-06-15T06:00,,30.4,77,0.377,0.356
1986-06-15T07:00,,30.4,77,0.374,0.356
1986-06-15T08:00,,31.3,75,0.371,0.354
1986-06-15T09:00,,31.7,74,0.368,0.353
1986-06-15T10:00,,31.9,73,0.365,0.352
1986-06-15T11:00,,31.8,72,0.364,0.352
1986-06-15T12:00,,30.8,76,0.371,0.351
1986-06-15T13:00,,29.9,79,0.371,0.351
1986-06-15T14:00,,28.5,86,0.399,0.351
1986-06-15T15:00,,27.5,89,0.429,0.353
1986-06-15T16:00,,26.9,91,0.437,0.361
1986-06-15T17:00,,26.5,93,0.412,0.378
1986-06-15T18:00,,26.1,94,0.433,0.382
1986-06-15T19:00,,25.7,97,0.43,0.396
1986-06-15T20:00,,25.4,98,0.423,0.406
1986-06-15T21:00,,25.1,99,0.433,0.415
1986-06-15T22:00,,25.0,99,0.426,0.422
1986-06-15T23:00,,24.8,99,0.428,0.426
