time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.1,93,0.297,0.154
1986-06-13T01:00,,25.0,92,0.299,0.155
1986-06-13T02:00,,25.2,92,0.303,0.155
1986-06-13T03:00,,25.7,89,0.304,0.156
1986-06-13T04:00,,26.6,82,0.302,0.156
1986-06-13T05:00,,27.6,77,0.3,0.156
1986-06-13T06:00,,28.1,75,0.298,0.157
1986-06-13T07:00,,33.3,61,0.293,0.157
1986-06-13T08:00,,34.0,59,0.288,0.157
1986-06-13T09:00,,33.8,57,0.287,0.158
1986-06-13T10:00,,33.4,61,0.287,0.158
1986-06-13T11:00,,32.3,65,0.286,0.158
1986-06-13T12:00,,31.8,67,0.285,0.159
1986-06-13T13:00,,31.1,71,0.284,0.159
1986-06-13T14:00,,30.3,74,0.283,0.159
1986-06-13T15:00,,29.9,76,0.282,0.159
1986-06-13T16:00,,29.6,78,0.281,0.16
1986-06-13T17:00,,29.0,79,0.288,0.16
1986-06-13T18:00,,27.2,88,0.315,0.16
1986-06-13T19:00,,28.1,85,0.319,0.161
1986-06-13T20:00,,27.1,90,0.322,0.161
1986-06-13T21:00,,26.4,92,0.327,0.162
1986-06-13T22:00,,25.6,94,0.343,0.163
1986-06-13T23:00,,25.1,94,0.35,0.164
1986-06-14T00:00,,24.9,93,0.346,0.165
1986-06-14T01:00,,25.7,88,0.35,0.167
1986-06-14T02:00,,26.1,87,0.356,0.168
1986-06-14T03:00,,27.0,82,0.353,0.169
1986-06-14T04:00,,28.2,77,0.349,0.171
1986-06-14T05:00,,29.3,72,0.343,0.172
1986-06-14T06:00,,31.1,67,0.337,0.172
1986-06-14T07:00,,33.3,62,0.33,0.173
1986-06-14T08:00,,33.7,61,0.323,0.174
1986-06-14T09:00,,34.0,60,0.317,0.174
1986-06-14T10:00,,33.5,60,0.314,0.174
1986-06-14T11:00,,33.0,61,0.311,0.175
1986-06-14T12:00,,32.3,64,0.309,0.175
1986-06-14T13:00,,31.3,69,0.308,0.176
1986-06-14T14:00,,30.2,73,0.307,0.176
1986-06-14T15:00,,29.4,78,0.306,0.176
1986-06-14T16:00,,29.0,81,0.305,0.177
1986-06-14T17:00,,28.5,83,0.309,0.177
1986-06-14T18:00,,27.7,87,0.322,0.178
1986-06-14T19:00,,27.8,82,0.321,0.178
1986-06-14T20:00,,26.9,85,0.323,0.179
1986-06-14T21:00,,26.1,89,0.326,0.18
1986-06-14T22:00,,25.6,91,0.331,0.18
1986-06-14T23:00,,25.1,95,0.334,0.181
1986-06-15T00:00,,25.1,95,0.336,0.182
1986-06-15T01:00,,25.6,93,0.336,0.183
1986-06-15T02:00,,27.1,84,0.334,0.183
1986-06-15T03:00,,28.1,79,0.33,0.184
1986-06-15T04:00,,29.7,73,0.326,0.185
1986-06-15T05:00,,30.1,71,0.323,0.185
1986-06-15T06:00,,31.6,66,0.318,0.186
1986-06-15T07:00,,30.6,69,0.315,0.186
1986-06-15T08:00,,31.4,67,0.311,0.186
1986-06-15T09:00,,32.0,66,0.308,0.186
1986-06-15T10:00,,32.1,66,0.307,0.187
1986-06-15T11:00,,32.1,65,0.305,0.187
1986-06-15T12:00,,31.2,70,0.305,0.187
1986-06-15T13:00,,30.1,76,0.308,0.188
1986-06-15T14:00,,28.5,84,0.322,0.188
1986-06-15T15:00,,27.8,88,0.335,0.189
1986-06-15T16:00,,27.0,89,0.356,0.19
1986-06-15T17:00,,26.4,91,0.385,0.191
1986-06-15T18:00,,25.9,93,0.404,0.194
1986-06-15T19:00,,25.9,96,0.438,0.2
1986-06-15T20:00,,25.5,97,0.356,0.253
1986-06-15T21:00,,25.2,97,0.431,0.256
1986-06-15T22:00,,24.9,98,0.428,0.275
1986-06-15T23:00,,24.7,99,0.434,0.285
