time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,23.2,99,0.439,0.166
1986-06-13T01:00,,23.2,99,0.301,0.217
1986-06-13T02:00,,23.4,98,0.309,0.217
1986-06-13T03:00,,23.7,97,0.332,0.217
1986-06-13T04:00,,23.8,97,0.352,0.218
1986-06-13T05:00,,23.9,99,0.39,0.219
1986-06-13T06:00,,23.9,99,0.397,0.222
1986-06-13T07:00,,29.0,73,0.384,0.225
1986-06-13T08:00,,30.5,68,0.376,0.227
1986-06-13T09:00,,31.0,67,0.369,0.228
1986-06-13T10:00,,31.1,66,0.363,0.229
1986-06-13T11:00,,30.7,67,0.359,0.23
1986-06-13T12:00,,30.2,70,0.356,0.231
1986-06-13T13:00,,29.6,73,0.353,0.232
1986-06-13T14:00,,29.0,76,0.35,0.233
1986-06-13T15:00,,28.1,79,0.353,0.234
1986-06-13T16:00,,27.3,84,0.352,0.234
1986-06-13T17:00,,26.9,85,0.349,0.235
1986-06-13T18:00,,26.7,86,0.347,0.236
1986-06-13T19:00,,26.3,86,0.357,0.237
1986-06-13T20:00,,25.7,90,0.366,0.238
1986-06-13T21:00,,25.0,93,0.368,0.239
1986-06-13T22:00,,24.5,94,0.384,0.24
1986-06-13T23:00,,24.1,96,0.401,0.242
1986-06-14T00:00,,23.8,96,0.404,0.246
1986-06-14T01:00,,24.2,93,0.394,0.249
1986-06-14T02:00,,24.9,90,0.389,0.252
1986-06-14T03:00,,25.3,90,0.388,0.254
1986-06-14T04:00,,25.5,90,0.39,0.256
1986-06-14T05:00,,26.3,86,0.385,0.258
1986-06-14T06:00,,27.6,82,0.378,0.259
1986-06-14T07:00,,30.5,69,0.372,0.26
1986-06-14T08:00,,31.3,65,0.366,0.26
1986-06-14T09:00,,31.5,65,0.361,0.261
1986-06-14T10:00,,31.4,65,0.357,0.261
1986-06-14T11:00,,29.4,72,0.359,0.262
1986-06-14T12:00,,29.0,73,0.356,0.262
1986-06-14T13:00,,28.6,75,0.353,0.263
1986-06-14T14:00,,28.2,77,0.351,0.263
1986-06-14T15:00,,27.9,79,0.349,0.264
1986-06-14T16:00,,27.7,80,0.347,0.265
1986-06-14T17:00,,27.4,81,0.346,0.265
1986-06-14T18:00,,27.2,81,0.345,0.266
1986-06-14T19:00,,27.3,78,0.343,0.266
1986-06-14T20:00,,27.1,79,0.342,0.266
1986-06-14T21:00,,26.8,80,0.34,0.267
1986-06-14T22:00,,26.5,82,0.339,0.267
1986-06-14T23:00,,25.9,86,0.338,0.267
1986-06-15T00:00,,25.2,89,0.339,0.268
1986-06-15T01:00,,24.9,91,0.34,0.268
1986-06-15T02:00,,25.0,91,0.34,0.269
1986-06-15T03:00,,25.5,89,0.34,0.269
1986-06-15T04:00,,26.1,85,0.34,0.269
1986-06-15T05:00,,27.5,80,0.339,0.269
1986-06-15T06:00,,29.5,74,0.335,0.269
1986-06-15T07:00,,29.9,74,0.332,0.269
1986-06-15T08:00,,30.5,72,0.329,0.269
1986-06-15T09:00,,30.6,70,0.327,0.268
1986-06-15T10:00,,30.5,70,0.325,0.268
1986-06-15T11:00,,30.1,71,0.325,0.268
1986-06-15T12:00,,29.5,73,0.327,0.268
1986-06-15T13:00,,29.0,75,0.326,0.269
1986-06-15T14:00,,27.9,80,0.338,0.269
1986-06-15T15:00,,27.3,82,0.339,0.269
1986-06-15T16:00,,26.6,85,0.36,0.27
1986-06-15T17:00,,25.8,89,0.392,0.271
1986-06-15T18:00,,25.3,92,0.401,0.273
1986-06-15T19:00,,24.1,98,0.43,0.276
1986-06-15T20:00,,23.8,99,0.438,0.288
1986-06-15T21:00,,23.7,99,0.386,0.314
1986-06-15T22:00,,23.7,98,0.42,0.316
1986-06-15T23:00,,23.6,99,0.438,0.321
