time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.6,94,0.379,0.152
1986-06-13T01:00,,24.7,94,0.434,0.156
1986-06-13T02:00,,24.7,95,0.369,0.195
1986-06-13T03:00,,24.5,97,0.357,0.201
1986-06-13T04:00,,25.1,91,0.353,0.203
1986-06-13T05:00,,26.1,87,0.351,0.204
1986-06-13T06:00,,26.9,82,0.347,0.206
1986-06-13T07:00,,31.9,68,0.342,0.206
1986-06-13T08:00,,32.8,66,0.336,0.207
1986-06-13T09:00,,33.2,64,0.331,0.207
1986-06-13T10:00,,33.3,63,0.326,0.208
1986-06-13T11:00,,32.5,66,0.324,0.208
1986-06-13T12:00,,31.9,68,0.322,0.208
1986-06-13T13:00,,31.2,72,0.321,0.209
1986-06-13T14:00,,30.5,75,0.319,0.209
1986-06-13T15:00,,30.0,76,0.317,0.21
1986-06-13T16:00,,29.8,77,0.316,0.21
1986-06-13T17:00,,29.3,79,0.316,0.211
1986-06-13T18:00,,28.6,82,0.317,0.211
1986-06-13T19:00,,28.0,86,0.315,0.212
1986-06-13T20:00,,27.7,88,0.314,0.212
1986-06-13T21:00,,27.3,89,0.313,0.212
1986-06-13T22:00,,26.9,91,0.313,0.213
1986-06-13T23:00,,26.4,92,0.314,0.213
1986-06-14T00:00,,26.1,93,0.315,0.213
1986-06-14T01:00,,26.6,90,0.314,0.214
1986-06-14T02:00,,27.8,82,0.312,0.214
1986-06-14T03:00,,28.6,78,0.31,0.214
1986-06-14T04:00,,29.4,75,0.309,0.214
1986-06-14T05:00,,29.9,73,0.307,0.215
1986-06-14T06:00,,30.7,71,0.305,0.215
1986-06-14T07:00,,32.6,68,0.301,0.214
1986-06-14T08:00,,33.2,66,0.298,0.214
1986-06-14T09:00,,33.7,64,0.294,0.214
1986-06-14T10:00,,33.9,62,0.291,0.214
1986-06-14T11:00,,33.5,62,0.288,0.213
1986-06-14T12:00,,32.9,65,0.287,0.213
1986-06-14T13:00,,32.1,69,0.286,0.213
1986-06-14T14:00,,30.9,75,0.286,0.214
1986-06-14T15:00,,29.8,80,0.287,0.214
1986-06-14T16:00,,28.9,84,0.289,0.214
1986-06-14T17:00,,28.2,86,0.29,0.214
1986-06-14T18:00,,27.7,88,0.292,0.214
1986-06-14T19:00,,28.9,80,0.291,0.215
1986-06-14T20:00,,28.4,82,0.291,0.215
1986-06-14T21:00,,27.7,85,0.292,0.215
1986-06-14T22:00,,27.0,88,0.292,0.215
1986-06-14T23:00,,26.2,90,0.293,0.215
1986-06-15T00:00,,25.8,91,0.294,0.215
1986-06-15T01:00,,26.1,90,0.295,0.216
1986-06-15T02:00,,27.2,84,0.294,0.216
1986-06-15T03:00,,28.9,76,0.292,0.216
1986-06-15T04:00,,30.4,71,0.289,0.216
1986-06-15T05:00,,31.0,69,0.287,0.215
1986-06-15T06:00,,32.0,67,0.285,0.215
1986-06-15T07:00,,29.9,72,0.284,0.215
1986-06-15T08:00,,30.8,69,0.282,0.215
1986-06-15T09:00,,31.3,67,0.281,0.215
1986-06-15T10:00,,31.7,66,0.279,0.215
1986-06-15T11:00,,31.8,66,0.278,0.215
1986-06-15T12:00,,31.3,68,0.278,0.215
1986-06-15T13:00,,30.4,72,0.278,0.215
1986-06-15T14:00,,29.1,79,0.278,0.215
1986-06-15T15:00,,28.5,82,0.278,0.215
1986-06-15T16:00,,27.9,85,0.278,0.215
1986-06-15T17:00,,26.9,88,0.283,0.215
1986-06-15T18:00,,26.3,91,0.286,0.215
1986-06-15T19:00,,25.7,95,0.319,0.216
1986-06-15T20:00,,25.7,96,0.323,0.216
1986-06-15T21:00,,25.6,97,0.326,0.216
1986-06-15T22:00,,25.5,99,0.336,0.217
1986-06-15T23:00,,25.4,99,0.339,0.218
