time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.5,95,0.396,0.364
1985-09-11T01:00,,25.3,93,0.415,0.365
1985-09-11T02:00,,25.3,93,0.43,0.367
1985-09-11T03:00,,25.8,93,0.427,0.373
1985-09-11T04:00,,26.5,89,0.423,0.377
1985-09-11T05:00,,26.5,90,0.438,0.38
1985-09-11T06:00,,26.7,90,0.403,0.395
1985-09-11T07:00,,28.3,82,0.404,0.395
1985-09-11T08:00,,28.4,84,0.405,0.395
1985-09-11T09:00,,29.2,82,0.402,0.395
1985-09-11T10:00,,29.2,80,0.4,0.395
1985-09-11T11:00,,26.9,84,0.437,0.396
1985-09-11T12:00,,26.6,85,0.412,0.404
1985-09-11T13:00,,26.2,86,0.41,0.405
1985-09-11T14:00,,25.8,88,0.407,0.405
1985-09-11T15:00,,25.6,89,0.406,0.405
1985-09-11T16:00,,25.5,90,0.404,0.405
1985-09-11T17:00,,25.3,90,0.403,0.405
1985-09-11T18:00,,25.1,92,0.402,0.405
1985-09-11T19:00,,25.3,91,0.401,0.404
1985-09-11T20:00,,25.1,92,0.4,0.404
1985-09-11T21:00,,24.9,93,0.399,0.404
1985-09-11T22:00,,24.8,94,0.398,0.404
1985-09-11T23:00,,24.9,94,0.398,0.403
1985-09-12T00:00,,25.0,94,0.397,0.403
1985-09-12T01:00,,25.3,93,0.396,0.403
1985-09-12T02:00,,26.3,87,0.395,0.402
1985-09-12T03:00,,27.4,81,0.394,0.402
1985-09-12T04:00,,28.7,74,0.393,0.401
1985-09-12T05:00,,29.4,71,0.391,0.4
1985-09-12T06:00,,30.4,67,0.388,0.399
1985-09-12T07:00,,31.0,65,0.386,0.397
1985-09-12T08:00,,31.4,64,0.383,0.396
1985-09-12T09:00,,31.5,65,0.381,0.395
1985-09-12T10:00,,31.1,66,0.379,0.394
1985-09-12T11:00,,29.9,72,0.379,0.393
1985-09-12T12:00,,29.0,77,0.379,0.393
1985-09-12T13:00,,28.3,80,0.379,0.392
1985-09-12T14:00,,27.9,81,0.379,0.392
1985-09-12T15:00,,27.6,82,0.378,0.392
1985-09-12T16:00,,27.3,84,0.378,0.392
1985-09-12T17:00,,27.0,84,0.378,0.391
1985-09-12T18:00,,26.7,85,0.378,0.391
1985-09-12T19:00,,26.5,86,0.378,0.391
1985-09-12T20:00,,26.3,87,0.378,0.391
1985-09-12T21:00,,25.9,89,0.378,0.39
1985-09-12T22:00,,25.5,90,0.378,0.39
1985-09-12T23:00,,25.2,92,0.377,0.39
1985-09-13T00:00,,24.9,93,0.377,0.39
1985-09-13T01:00,,25.3,93,0.377,0.389
1985-09-13T02:00,,26.7,86,0.377,0.389
1985-09-13T03:00,,27.9,80,0.375,0.388
1985-09-13T04:00,,29.0,74,0.374,0.387
1985-09-13T05:00,,30.0,70,0.372,0.386
1985-09-13T06:00,,30.4,67,0.37,0.385
1985-09-13T07:00,,31.0,67,0.368,0.384
1985-09-13T08:00,,31.4,65,0.365,0.383
1985-09-13T09:00,,31.5,64,0.363,0.382
1985-09-13T10:00,,31.1,65,0.362,0.381
1985-09-13T11:00,,31.0,67,0.361,0.38
1985-09-13T12:00,,30.0,72,0.36,0.38
1985-09-13T13:00,,28.8,76,0.36,0.379
1985-09-13T14:00,,28.2,78,0.36,0.379
1985-09-13T15:00,,27.9,79,0.36,0.379
1985-09-13T16:00,,27.5,81,0.361,0.379
1985-09-13T17:00,,27.2,82,0.361,0.378
1985-09-13T18:00,,26.9,84,0.361,0.378
1985-09-13T19:00,,26.6,84,0.361,0.378
1985-09-13T20:00,,26.3,86,0.361,0.378
1985-09-13T21:00,,26.0,88,0.361,0.378
1985-09-13T22:00,,25.7,89,0.361,0.377
1985-09-13T23:00,,25.4,91,0.361,0.377
