time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.7,86,0.136,0.151
1986-06-13T01:00,,26.7,85,0.136,0.151
1986-06-13T02:00,,27.2,82,0.136,0.151
1986-06-13T03:00,,27.6,81,0.136,0.151
1986-06-13T04:00,,27.3,83,0.137,0.151
1986-06-13T05:00,,28.2,82,0.141,0.151
1986-06-13T06:00,,28.1,85,0.145,0.151
1986-06-13T07:00,,34.2,57,0.143,0.151
1986-06-13T08:00,,33.9,60,0.144,0.151
1986-06-13T09:00,,34.9,56,0.143,0.151
1986-06-13T10:00,,35.5,53,0.143,0.151
1986-06-13T11:00,,35.5,52,0.143,0.151
1986-06-13T12:00,,35.1,53,0.143,0.151
1986-06-13T13:00,,34.2,56,0.143,0.151
1986-06-13T14:00,,33.1,61,0.143,0.151
1986-06-13T15:00,,32.2,65,0.143,0.151
1986-06-13T16:00,,30.5,74,0.147,0.151
1986-06-13T17:00,,29.3,80,0.148,0.151
1986-06-13T18:00,,29.0,81,0.148,0.151
1986-06-13T19:00,,27.2,90,0.157,0.151
1986-06-13T20:00,,27.0,91,0.157,0.151
1986-06-13T21:00,,26.8,92,0.171,0.151
1986-06-13T22:00,,26.3,93,0.204,0.151
1986-06-13T23:00,,25.8,94,0.231,0.151
1986-06-14T00:00,,25.7,94,0.253,0.151
1986-06-14T01:00,,26.1,91,0.253,0.151
1986-06-14T02:00,,27.1,86,0.253,0.151
1986-06-14T03:00,,29.0,75,0.251,0.151
1986-06-14T04:00,,31.1,66,0.249,0.151
1986-06-14T05:00,,31.9,64,0.248,0.151
1986-06-14T06:00,,32.7,62,0.246,0.151
1986-06-14T07:00,,34.5,58,0.243,0.152
1986-06-14T08:00,,34.3,59,0.242,0.152
1986-06-14T09:00,,34.9,56,0.24,0.152
1986-06-14T10:00,,35.1,55,0.237,0.152
1986-06-14T11:00,,35.0,55,0.235,0.152
1986-06-14T12:00,,34.5,56,0.234,0.152
1986-06-14T13:00,,33.5,60,0.233,0.152
1986-06-14T14:00,,32.2,65,0.233,0.152
1986-06-14T15:00,,31.2,69,0.233,0.152
1986-06-14T16:00,,30.7,71,0.233,0.152
1986-06-14T17:00,,30.2,74,0.232,0.152
1986-06-14T18:00,,29.7,76,0.233,0.152
1986-06-14T19:00,,29.7,75,0.233,0.152
1986-06-14T20:00,,29.3,77,0.233,0.153
1986-06-14T21:00,,29.0,79,0.233,0.153
1986-06-14T22:00,,28.7,81,0.233,0.153
1986-06-14T23:00,,28.3,83,0.234,0.153
1986-06-15T00:00,,28.0,85,0.234,0.153
1986-06-15T01:00,,28.4,84,0.235,0.153
1986-06-15T02:00,,29.4,79,0.234,0.153
1986-06-15T03:00,,30.6,73,0.232,0.153
1986-06-15T04:00,,32.2,67,0.23,0.153
1986-06-15T05:00,,33.0,64,0.229,0.153
1986-06-15T06:00,,33.9,61,0.227,0.153
1986-06-15T07:00,,32.8,66,0.226,0.153
1986-06-15T08:00,,33.9,61,0.223,0.153
1986-06-15T09:00,,34.3,58,0.221,0.153
1986-06-15T10:00,,34.0,60,0.22,0.153
1986-06-15T11:00,,32.7,66,0.22,0.153
1986-06-15T12:00,,32.1,68,0.22,0.153
1986-06-15T13:00,,31.4,72,0.22,0.153
1986-06-15T14:00,,30.4,78,0.221,0.153
1986-06-15T15:00,,29.5,82,0.222,0.154
1986-06-15T16:00,,29.0,85,0.222,0.154
1986-06-15T17:00,,28.3,88,0.224,0.154
1986-06-15T18:00,,28.0,89,0.224,0.154
1986-06-15T19:00,,26.5,93,0.224,0.154
1986-06-15T20:00,,26.4,93,0.224,0.154
1986-06-15T21:00,,25.9,95,0.236,0.154
1986-06-15T22:00,,25.5,96,0.259,0.154
1986-06-15T23:00,,25.3,96,0.271,0.154
