time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.0,80,0.138,0.151
1986-06-13T01:00,,28.6,80,0.138,0.151
1986-06-13T02:00,,28.9,79,0.139,0.151
1986-06-13T03:00,,29.5,76,0.139,0.151
1986-06-13T04:00,,29.4,77,0.142,0.151
1986-06-13T05:00,,30.7,71,0.141,0.151
1986-06-13T06:00,,30.8,71,0.142,0.151
1986-06-13T07:00,,32.9,65,0.167,0.151
1986-06-13T08:00,,32.9,66,0.219,0.151
1986-06-13T09:00,,34.1,59,0.218,0.151
1986-06-13T10:00,,35.0,55,0.216,0.151
1986-06-13T11:00,,35.1,54,0.215,0.151
1986-06-13T12:00,,34.9,55,0.214,0.151
1986-06-13T13:00,,34.2,57,0.213,0.151
1986-06-13T14:00,,33.2,61,0.213,0.151
1986-06-13T15:00,,31.9,66,0.214,0.151
1986-06-13T16:00,,29.9,75,0.215,0.151
1986-06-13T17:00,,29.4,78,0.215,0.151
1986-06-13T18:00,,29.2,79,0.215,0.151
1986-06-13T19:00,,27.4,90,0.23,0.152
1986-06-13T20:00,,27.0,91,0.242,0.152
1986-06-13T21:00,,26.8,91,0.244,0.152
1986-06-13T22:00,,26.3,92,0.275,0.152
1986-06-13T23:00,,25.7,93,0.311,0.152
1986-06-14T00:00,,25.5,94,0.339,0.153
1986-06-14T01:00,,25.9,92,0.345,0.154
1986-06-14T02:00,,27.0,87,0.341,0.155
1986-06-14T03:00,,29.1,78,0.337,0.156
1986-06-14T04:00,,31.2,68,0.331,0.157
1986-06-14T05:00,,32.1,65,0.327,0.158
1986-06-14T06:00,,32.9,64,0.322,0.158
1986-06-14T07:00,,34.3,60,0.316,0.159
1986-06-14T08:00,,33.9,62,0.314,0.16
1986-06-14T09:00,,34.5,59,0.311,0.16
1986-06-14T10:00,,34.7,57,0.306,0.16
1986-06-14T11:00,,34.7,56,0.303,0.161
1986-06-14T12:00,,34.2,57,0.3,0.161
1986-06-14T13:00,,33.1,61,0.298,0.162
1986-06-14T14:00,,32.0,65,0.297,0.162
1986-06-14T15:00,,31.1,69,0.296,0.162
1986-06-14T16:00,,30.7,71,0.295,0.163
1986-06-14T17:00,,30.3,72,0.293,0.163
1986-06-14T18:00,,29.9,74,0.292,0.163
1986-06-14T19:00,,29.6,76,0.291,0.164
1986-06-14T20:00,,29.2,78,0.29,0.164
1986-06-14T21:00,,28.9,80,0.289,0.164
1986-06-14T22:00,,28.6,81,0.289,0.165
1986-06-14T23:00,,28.4,82,0.288,0.165
1986-06-15T00:00,,28.3,83,0.287,0.165
1986-06-15T01:00,,29.2,80,0.286,0.166
1986-06-15T02:00,,30.4,75,0.285,0.166
1986-06-15T03:00,,31.6,71,0.282,0.166
1986-06-15T04:00,,33.0,66,0.279,0.166
1986-06-15T05:00,,33.3,65,0.276,0.166
1986-06-15T06:00,,33.8,63,0.273,0.166
1986-06-15T07:00,,34.3,60,0.27,0.166
1986-06-15T08:00,,34.9,56,0.267,0.166
1986-06-15T09:00,,33.9,59,0.266,0.166
1986-06-15T10:00,,33.1,64,0.266,0.166
1986-06-15T11:00,,32.7,66,0.264,0.167
1986-06-15T12:00,,32.3,68,0.263,0.167
1986-06-15T13:00,,31.6,71,0.262,0.167
1986-06-15T14:00,,30.9,73,0.262,0.167
1986-06-15T15:00,,30.1,77,0.263,0.167
1986-06-15T16:00,,29.5,80,0.264,0.167
1986-06-15T17:00,,28.8,83,0.265,0.167
1986-06-15T18:00,,28.5,85,0.264,0.168
1986-06-15T19:00,,27.0,90,0.264,0.168
1986-06-15T20:00,,26.9,91,0.265,0.168
1986-06-15T21:00,,26.6,92,0.276,0.168
1986-06-15T22:00,,26.0,94,0.293,0.168
1986-06-15T23:00,,25.8,94,0.307,0.169
