time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.5,95,0.4,0.394
1985-09-11T01:00,,25.7,95,0.399,0.394
1985-09-11T02:00,,27.1,89,0.398,0.394
1985-09-11T03:00,,28.3,82,0.396,0.394
1985-09-11T04:00,,28.7,80,0.395,0.394
1985-09-11T05:00,,29.2,81,0.395,0.393
1985-09-11T06:00,,28.9,76,0.439,0.394
1985-09-11T07:00,,27.3,89,0.405,0.411
1985-09-11T08:00,,27.6,86,0.419,0.411
1985-09-11T09:00,,26.4,86,0.439,0.415
1985-09-11T10:00,,25.9,92,0.41,0.428
1985-09-11T11:00,,25.9,93,0.413,0.426
1985-09-11T12:00,,25.9,91,0.413,0.425
1985-09-11T13:00,,25.7,91,0.413,0.425
1985-09-11T14:00,,25.7,90,0.412,0.424
1985-09-11T15:00,,25.8,89,0.411,0.423
1985-09-11T16:00,,25.7,89,0.41,0.422
1985-09-11T17:00,,25.7,89,0.409,0.421
1985-09-11T18:00,,25.5,90,0.408,0.421
1985-09-11T19:00,,25.5,90,0.407,0.42
1985-09-11T20:00,,25.5,90,0.406,0.419
1985-09-11T21:00,,25.3,91,0.405,0.419
1985-09-11T22:00,,25.0,92,0.404,0.418
1985-09-11T23:00,,24.9,93,0.404,0.418
1985-09-12T00:00,,24.9,92,0.403,0.417
1985-09-12T01:00,,25.3,92,0.402,0.416
1985-09-12T02:00,,27.1,85,0.402,0.416
1985-09-12T03:00,,28.8,75,0.401,0.415
1985-09-12T04:00,,29.8,72,0.398,0.414
1985-09-12T05:00,,30.5,69,0.395,0.412
1985-09-12T06:00,,31.0,68,0.392,0.411
1985-09-12T07:00,,31.8,67,0.389,0.409
1985-09-12T08:00,,32.0,67,0.387,0.407
1985-09-12T09:00,,30.7,71,0.408,0.406
1985-09-12T10:00,,30.7,72,0.406,0.406
1985-09-12T11:00,,30.2,74,0.404,0.406
1985-09-12T12:00,,29.5,79,0.403,0.406
1985-09-12T13:00,,28.5,83,0.402,0.405
1985-09-12T14:00,,27.8,87,0.401,0.405
1985-09-12T15:00,,27.3,89,0.4,0.405
1985-09-12T16:00,,27.1,90,0.399,0.405
1985-09-12T17:00,,26.9,90,0.398,0.405
1985-09-12T18:00,,26.8,90,0.398,0.405
1985-09-12T19:00,,26.5,90,0.409,0.405
1985-09-12T20:00,,26.2,90,0.414,0.405
1985-09-12T21:00,,26.0,89,0.416,0.405
1985-09-12T22:00,,25.8,88,0.414,0.406
1985-09-12T23:00,,25.7,87,0.412,0.406
1985-09-13T00:00,,25.5,87,0.41,0.406
1985-09-13T01:00,,25.7,88,0.408,0.407
1985-09-13T02:00,,27.4,82,0.407,0.407
1985-09-13T03:00,,28.7,77,0.405,0.406
1985-09-13T04:00,,29.6,76,0.402,0.405
1985-09-13T05:00,,30.3,77,0.399,0.404
1985-09-13T06:00,,30.9,77,0.397,0.403
1985-09-13T07:00,,31.6,68,0.395,0.402
1985-09-13T08:00,,31.4,70,0.393,0.401
1985-09-13T09:00,,31.2,69,0.394,0.4
1985-09-13T10:00,,29.3,77,0.439,0.401
1985-09-13T11:00,,28.2,83,0.406,0.417
1985-09-13T12:00,,27.9,85,0.406,0.416
1985-09-13T13:00,,27.4,88,0.405,0.416
1985-09-13T14:00,,26.9,90,0.404,0.415
1985-09-13T15:00,,26.7,90,0.403,0.415
1985-09-13T16:00,,26.3,91,0.402,0.414
1985-09-13T17:00,,26.2,91,0.402,0.414
1985-09-13T18:00,,26.1,91,0.401,0.413
1985-09-13T19:00,,26.4,88,0.401,0.413
1985-09-13T20:00,,26.3,87,0.4,0.413
1985-09-13T21:00,,26.2,87,0.399,0.412
1985-09-13T22:00,,25.7,88,0.4,0.412
1985-09-13T23:00,,25.2,91,0.402,0.412
