time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.4,89,0.18,0.151
1986-06-13T01:00,,27.0,87,0.18,0.151
1986-06-13T02:00,,28.1,80,0.181,0.151
1986-06-13T03:00,,29.0,75,0.181,0.151
1986-06-13T04:00,,29.6,73,0.181,0.151
1986-06-13T05:00,,30.4,69,0.18,0.151
1986-06-13T06:00,,31.6,64,0.18,0.151
1986-06-13T07:00,,33.9,58,0.179,0.151
1986-06-13T08:00,,35.4,52,0.177,0.151
1986-06-13T09:00,,35.4,51,0.177,0.151
1986-06-13T10:00,,35.7,49,0.176,0.151
1986-06-13T11:00,,34.6,50,0.175,0.151
1986-06-13T12:00,,33.6,53,0.176,0.151
1986-06-13T13:00,,32.5,59,0.175,0.151
1986-06-13T14:00,,31.1,67,0.175,0.151
1986-06-13T15:00,,30.2,72,0.175,0.151
1986-06-13T16:00,,29.8,74,0.175,0.151
1986-06-13T17:00,,29.5,74,0.176,0.151
1986-06-13T18:00,,29.4,73,0.176,0.151
1986-06-13T19:00,,28.9,73,0.176,0.151
1986-06-13T20:00,,28.2,77,0.2,0.151
1986-06-13T21:00,,27.3,82,0.233,0.151
1986-06-13T22:00,,27.2,83,0.235,0.151
1986-06-13T23:00,,27.1,84,0.24,0.151
1986-06-14T00:00,,26.9,86,0.253,0.151
1986-06-14T01:00,,27.4,86,0.27,0.152
1986-06-14T02:00,,28.1,82,0.288,0.152
1986-06-14T03:00,,28.9,79,0.289,0.152
1986-06-14T04:00,,29.9,76,0.288,0.152
1986-06-14T05:00,,31.2,68,0.286,0.153
1986-06-14T06:00,,32.5,63,0.283,0.153
1986-06-14T07:00,,34.4,57,0.278,0.153
1986-06-14T08:00,,35.0,54,0.272,0.153
1986-06-14T09:00,,35.6,52,0.267,0.154
1986-06-14T10:00,,34.7,54,0.263,0.154
1986-06-14T11:00,,33.8,55,0.263,0.154
1986-06-14T12:00,,33.3,56,0.262,0.154
1986-06-14T13:00,,32.7,60,0.261,0.154
1986-06-14T14:00,,31.7,63,0.26,0.154
1986-06-14T15:00,,30.9,67,0.259,0.154
1986-06-14T16:00,,30.3,71,0.259,0.155
1986-06-14T17:00,,29.8,73,0.258,0.155
1986-06-14T18:00,,29.6,74,0.257,0.155
1986-06-14T19:00,,29.0,72,0.259,0.155
1986-06-14T20:00,,27.8,80,0.264,0.155
1986-06-14T21:00,,26.8,85,0.275,0.155
1986-06-14T22:00,,26.4,87,0.288,0.156
1986-06-14T23:00,,26.1,88,0.292,0.156
1986-06-15T00:00,,26.2,87,0.291,0.156
1986-06-15T01:00,,27.1,84,0.29,0.157
1986-06-15T02:00,,28.4,77,0.289,0.157
1986-06-15T03:00,,30.2,69,0.286,0.157
1986-06-15T04:00,,31.4,66,0.282,0.158
1986-06-15T05:00,,32.6,63,0.277,0.158
1986-06-15T06:00,,33.7,59,0.272,0.158
1986-06-15T07:00,,31.8,65,0.27,0.158
1986-06-15T08:00,,32.0,65,0.268,0.158
1986-06-15T09:00,,32.2,64,0.266,0.158
1986-06-15T10:00,,32.4,64,0.263,0.158
1986-06-15T11:00,,32.4,64,0.261,0.158
1986-06-15T12:00,,31.8,66,0.259,0.159
1986-06-15T13:00,,30.7,71,0.258,0.159
1986-06-15T14:00,,30.3,72,0.258,0.159
1986-06-15T15:00,,29.8,73,0.257,0.159
1986-06-15T16:00,,29.5,74,0.257,0.159
1986-06-15T17:00,,29.2,75,0.256,0.159
1986-06-15T18:00,,28.9,76,0.257,0.159
1986-06-15T19:00,,26.7,90,0.294,0.16
1986-06-15T20:00,,26.0,93,0.321,0.16
1986-06-15T21:00,,25.8,95,0.332,0.161
1986-06-15T22:00,,25.8,95,0.331,0.161
1986-06-15T23:00,,25.8,94,0.329,0.162
