time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.9,88,0.139,0.151
1986-06-13T01:00,,25.7,90,0.151,0.151
1986-06-13T02:00,,25.7,91,0.16,0.151
1986-06-13T03:00,,25.6,91,0.16,0.151
1986-06-13T04:00,,26.1,88,0.177,0.151
1986-06-13T05:00,,26.6,89,0.206,0.151
1986-06-13T06:00,,27.2,84,0.206,0.151
1986-06-13T07:00,,33.3,61,0.203,0.151
1986-06-13T08:00,,33.4,61,0.202,0.151
1986-06-13T09:00,,34.2,58,0.2,0.151
1986-06-13T10:00,,34.9,55,0.199,0.151
1986-06-13T11:00,,34.8,55,0.198,0.151
1986-06-13T12:00,,34.4,56,0.197,0.151
1986-06-13T13:00,,33.3,60,0.197,0.151
1986-06-13T14:00,,32.1,66,0.196,0.151
1986-06-13T15:00,,31.4,69,0.196,0.151
1986-06-13T16:00,,30.8,72,0.196,0.151
1986-06-13T17:00,,29.9,76,0.197,0.151
1986-06-13T18:00,,29.2,79,0.197,0.151
1986-06-13T19:00,,27.1,89,0.201,0.151
1986-06-13T20:00,,27.0,90,0.201,0.151
1986-06-13T21:00,,26.9,91,0.202,0.151
1986-06-13T22:00,,26.6,92,0.207,0.151
1986-06-13T23:00,,26.1,94,0.225,0.151
1986-06-14T00:00,,25.9,94,0.244,0.151
1986-06-14T01:00,,26.4,90,0.244,0.152
1986-06-14T02:00,,27.5,83,0.243,0.152
1986-06-14T03:00,,29.2,74,0.242,0.152
1986-06-14T04:00,,30.8,67,0.241,0.152
1986-06-14T05:00,,31.8,64,0.239,0.152
1986-06-14T06:00,,32.3,63,0.237,0.152
1986-06-14T07:00,,33.9,59,0.235,0.152
1986-06-14T08:00,,34.4,60,0.232,0.152
1986-06-14T09:00,,34.8,58,0.23,0.152
1986-06-14T10:00,,35.0,56,0.228,0.152
1986-06-14T11:00,,34.5,57,0.227,0.152
1986-06-14T12:00,,34.1,58,0.226,0.152
1986-06-14T13:00,,33.3,62,0.225,0.153
1986-06-14T14:00,,32.2,67,0.225,0.153
1986-06-14T15:00,,31.4,70,0.225,0.153
1986-06-14T16:00,,30.7,73,0.224,0.153
1986-06-14T17:00,,29.9,76,0.224,0.153
1986-06-14T18:00,,29.2,79,0.225,0.153
1986-06-14T19:00,,29.6,77,0.224,0.153
1986-06-14T20:00,,29.2,78,0.224,0.153
1986-06-14T21:00,,28.9,80,0.224,0.153
1986-06-14T22:00,,28.5,82,0.224,0.153
1986-06-14T23:00,,28.0,85,0.224,0.153
1986-06-15T00:00,,27.5,87,0.224,0.153
1986-06-15T01:00,,27.7,84,0.224,0.153
1986-06-15T02:00,,28.8,78,0.223,0.153
1986-06-15T03:00,,30.0,73,0.222,0.153
1986-06-15T04:00,,31.5,67,0.221,0.153
1986-06-15T05:00,,32.7,64,0.219,0.153
1986-06-15T06:00,,34.0,59,0.217,0.153
1986-06-15T07:00,,31.8,67,0.216,0.154
1986-06-15T08:00,,32.6,65,0.214,0.154
1986-06-15T09:00,,33.1,63,0.213,0.154
1986-06-15T10:00,,33.4,62,0.213,0.154
1986-06-15T11:00,,32.7,65,0.213,0.154
1986-06-15T12:00,,31.5,70,0.214,0.154
1986-06-15T13:00,,30.6,75,0.214,0.154
1986-06-15T14:00,,29.4,81,0.217,0.154
1986-06-15T15:00,,28.6,85,0.217,0.154
1986-06-15T16:00,,28.3,87,0.217,0.154
1986-06-15T17:00,,27.7,89,0.219,0.154
1986-06-15T18:00,,27.4,91,0.219,0.154
1986-06-15T19:00,,26.3,93,0.225,0.154
1986-06-15T20:00,,26.2,94,0.227,0.154
1986-06-15T21:00,,25.9,95,0.244,0.154
1986-06-15T22:00,,25.7,95,0.262,0.154
1986-06-15T23:00,,25.4,97,0.27,0.154
