time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.4,83,0.144,0.151
1986-06-13T01:00,,26.3,83,0.145,0.151
1986-06-13T02:00,,26.5,83,0.146,0.151
1986-06-13T03:00,,26.4,83,0.148,0.151
1986-06-13T04:00,,27.0,79,0.148,0.151
1986-06-13T05:00,,28.4,73,0.148,0.151
1986-06-13T06:00,,29.8,68,0.148,0.151
1986-06-13T07:00,,33.8,58,0.148,0.151
1986-06-13T08:00,,34.8,56,0.148,0.151
1986-06-13T09:00,,35.2,55,0.148,0.151
1986-06-13T10:00,,34.4,57,0.151,0.151
1986-06-13T11:00,,33.2,60,0.155,0.151
1986-06-13T12:00,,31.8,66,0.157,0.151
1986-06-13T13:00,,30.7,71,0.158,0.151
1986-06-13T14:00,,30.0,75,0.158,0.151
1986-06-13T15:00,,29.8,76,0.158,0.151
1986-06-13T16:00,,29.7,76,0.158,0.151
1986-06-13T17:00,,29.5,77,0.158,0.151
1986-06-13T18:00,,29.0,80,0.159,0.151
1986-06-13T19:00,,29.0,79,0.16,0.151
1986-06-13T20:00,,28.7,81,0.162,0.151
1986-06-13T21:00,,28.0,85,0.168,0.151
1986-06-13T22:00,,27.1,89,0.18,0.151
1986-06-13T23:00,,26.8,90,0.18,0.151
1986-06-14T00:00,,26.6,91,0.18,0.151
1986-06-14T01:00,,27.2,86,0.18,0.151
1986-06-14T02:00,,28.4,78,0.18,0.151
1986-06-14T03:00,,29.2,74,0.18,0.151
1986-06-14T04:00,,30.0,70,0.18,0.152
1986-06-14T05:00,,31.0,67,0.179,0.152
1986-06-14T06:00,,32.3,63,0.178,0.152
1986-06-14T07:00,,34.5,56,0.177,0.152
1986-06-14T08:00,,34.9,55,0.176,0.151
1986-06-14T09:00,,35.2,53,0.175,0.151
1986-06-14T10:00,,35.1,52,0.174,0.151
1986-06-14T11:00,,34.4,53,0.175,0.151
1986-06-14T12:00,,33.2,57,0.175,0.151
1986-06-14T13:00,,32.1,64,0.176,0.152
1986-06-14T14:00,,31.1,69,0.176,0.152
1986-06-14T15:00,,30.5,72,0.176,0.152
1986-06-14T16:00,,30.0,74,0.176,0.152
1986-06-14T17:00,,29.2,78,0.177,0.152
1986-06-14T18:00,,28.5,82,0.178,0.152
1986-06-14T19:00,,29.0,77,0.18,0.152
1986-06-14T20:00,,28.1,82,0.182,0.152
1986-06-14T21:00,,27.3,86,0.184,0.152
1986-06-14T22:00,,26.8,89,0.186,0.152
1986-06-14T23:00,,26.3,90,0.187,0.152
1986-06-15T00:00,,26.1,89,0.187,0.152
1986-06-15T01:00,,26.6,85,0.187,0.152
1986-06-15T02:00,,28.0,77,0.187,0.152
1986-06-15T03:00,,29.9,69,0.186,0.152
1986-06-15T04:00,,31.6,63,0.185,0.152
1986-06-15T05:00,,32.3,61,0.184,0.152
1986-06-15T06:00,,33.3,58,0.183,0.152
1986-06-15T07:00,,30.7,67,0.183,0.152
1986-06-15T08:00,,31.1,66,0.183,0.152
1986-06-15T09:00,,31.8,63,0.183,0.152
1986-06-15T10:00,,32.2,62,0.182,0.152
1986-06-15T11:00,,32.3,61,0.182,0.152
1986-06-15T12:00,,32.1,62,0.181,0.152
1986-06-15T13:00,,31.6,64,0.181,0.152
1986-06-15T14:00,,30.9,67,0.181,0.152
1986-06-15T15:00,,30.3,70,0.181,0.152
1986-06-15T16:00,,29.7,73,0.181,0.152
1986-06-15T17:00,,29.0,77,0.181,0.152
1986-06-15T18:00,,27.6,83,0.183,0.152
1986-06-15T19:00,,25.9,93,0.223,0.152
1986-06-15T20:00,,25.7,94,0.24,0.152
1986-06-15T21:00,,25.7,95,0.242,0.152
1986-06-15T22:00,,25.5,98,0.245,0.152
1986-06-15T23:00,,25.5,97,0.246,0.152
