time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.2,98,0.401,0.25
1986-06-13T01:00,,24.2,98,0.438,0.256
1986-06-13T02:00,,24.3,98,0.379,0.303
1986-06-13T03:00,,24.6,97,0.433,0.304
1986-06-13T04:00,,24.9,96,0.407,0.325
1986-06-13T05:00,,25.3,95,0.407,0.333
1986-06-13T06:00,,25.5,94,0.416,0.335
1986-06-13T07:00,,30.2,74,0.404,0.338
1986-06-13T08:00,,32.1,68,0.396,0.338
1986-06-13T09:00,,32.4,68,0.39,0.338
1986-06-13T10:00,,32.4,69,0.386,0.338
1986-06-13T11:00,,32.1,69,0.383,0.338
1986-06-13T12:00,,31.5,71,0.382,0.338
1986-06-13T13:00,,30.5,77,0.38,0.338
1986-06-13T14:00,,29.6,81,0.378,0.339
1986-06-13T15:00,,28.9,84,0.383,0.339
1986-06-13T16:00,,27.7,89,0.403,0.34
1986-06-13T17:00,,27.2,92,0.403,0.341
1986-06-13T18:00,,26.6,94,0.417,0.343
1986-06-13T19:00,,26.5,94,0.412,0.345
1986-06-13T20:00,,25.9,96,0.439,0.348
1986-06-13T21:00,,25.2,97,0.407,0.378
1986-06-13T22:00,,25.1,97,0.424,0.379
1986-06-13T23:00,,25.0,97,0.419,0.382
1986-06-14T00:00,,25.0,97,0.424,0.383
1986-06-14T01:00,,25.2,97,0.429,0.385
1986-06-14T02:00,,25.7,95,0.427,0.388
1986-06-14T03:00,,26.5,90,0.42,0.39
1986-06-14T04:00,,26.9,87,0.416,0.391
1986-06-14T05:00,,28.0,83,0.411,0.39
1986-06-14T06:00,,29.4,80,0.407,0.39
1986-06-14T07:00,,31.0,75,0.402,0.388
1986-06-14T08:00,,32.0,71,0.397,0.387
1986-06-14T09:00,,32.6,67,0.393,0.385
1986-06-14T10:00,,32.8,66,0.39,0.383
1986-06-14T11:00,,32.7,65,0.387,0.382
1986-06-14T12:00,,31.6,71,0.386,0.381
1986-06-14T13:00,,30.6,77,0.385,0.38
1986-06-14T14:00,,29.6,81,0.385,0.38
1986-06-14T15:00,,28.9,83,0.385,0.379
1986-06-14T16:00,,28.4,85,0.385,0.379
1986-06-14T17:00,,27.9,86,0.385,0.378
1986-06-14T18:00,,27.3,88,0.388,0.378
1986-06-14T19:00,,27.5,85,0.389,0.377
1986-06-14T20:00,,26.6,90,0.391,0.377
1986-06-14T21:00,,26.2,93,0.392,0.377
1986-06-14T22:00,,25.8,95,0.394,0.377
1986-06-14T23:00,,25.5,96,0.395,0.376
1986-06-15T00:00,,25.4,96,0.396,0.376
1986-06-15T01:00,,25.8,93,0.395,0.376
1986-06-15T02:00,,26.6,89,0.394,0.376
1986-06-15T03:00,,27.3,85,0.392,0.376
1986-06-15T04:00,,28.1,83,0.39,0.375
1986-06-15T05:00,,28.9,80,0.387,0.374
1986-06-15T06:00,,29.9,78,0.384,0.373
1986-06-15T07:00,,30.3,79,0.381,0.372
1986-06-15T08:00,,31.4,76,0.378,0.37
1986-06-15T09:00,,31.8,74,0.375,0.369
1986-06-15T10:00,,32.0,71,0.373,0.368
1986-06-15T11:00,,32.0,70,0.371,0.367
1986-06-15T12:00,,30.6,74,0.376,0.366
1986-06-15T13:00,,29.5,81,0.385,0.366
1986-06-15T14:00,,28.1,89,0.391,0.366
1986-06-15T15:00,,27.2,91,0.411,0.366
1986-06-15T16:00,,26.9,92,0.424,0.368
1986-06-15T17:00,,26.5,93,0.429,0.371
1986-06-15T18:00,,26.0,94,0.439,0.377
1986-06-15T19:00,,25.8,96,0.416,0.402
1986-06-15T20:00,,25.3,98,0.438,0.402
1986-06-15T21:00,,25.1,98,0.427,0.414
1986-06-15T22:00,,25.0,99,0.431,0.415
1986-06-15T23:00,,24.9,99,0.434,0.415
