time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.1,74,0.133,0.15
1986-06-13T01:00,,30.4,73,0.133,0.15
1986-06-13T02:00,,31.3,69,0.134,0.15
1986-06-13T03:00,,31.4,69,0.137,0.15
1986-06-13T04:00,,32.1,66,0.136,0.15
1986-06-13T05:00,,33.8,59,0.136,0.15
1986-06-13T06:00,,35.0,55,0.136,0.15
1986-06-13T07:00,,38.7,42,0.136,0.15
1986-06-13T08:00,,39.4,41,0.135,0.15
1986-06-13T09:00,,39.7,40,0.135,0.15
1986-06-13T10:00,,38.8,40,0.135,0.15
1986-06-13T11:00,,37.5,45,0.135,0.15
1986-06-13T12:00,,36.3,50,0.135,0.15
1986-06-13T13:00,,35.1,55,0.135,0.15
1986-06-13T14:00,,34.2,58,0.135,0.15
1986-06-13T15:00,,33.6,60,0.135,0.15
1986-06-13T16:00,,33.1,62,0.135,0.15
1986-06-13T17:00,,32.6,63,0.135,0.15
1986-06-13T18:00,,32.2,65,0.135,0.15
1986-06-13T19:00,,31.0,73,0.135,0.15
1986-06-13T20:00,,30.1,74,0.135,0.15
1986-06-13T21:00,,29.4,77,0.135,0.15
1986-06-13T22:00,,28.9,79,0.135,0.15
1986-06-13T23:00,,28.6,80,0.135,0.15
1986-06-14T00:00,,28.2,82,0.135,0.15
1986-06-14T01:00,,28.3,81,0.135,0.15
1986-06-14T02:00,,29.2,75,0.135,0.15
1986-06-14T03:00,,31.1,68,0.135,0.15
1986-06-14T04:00,,33.3,60,0.135,0.15
1986-06-14T05:00,,35.3,54,0.135,0.15
1986-06-14T06:00,,36.8,49,0.135,0.15
1986-06-14T07:00,,37.9,43,0.135,0.15
1986-06-14T08:00,,38.3,42,0.136,0.15
1986-06-14T09:00,,38.3,41,0.136,0.15
1986-06-14T10:00,,38.0,41,0.136,0.15
1986-06-14T11:00,,37.9,41,0.136,0.15
1986-06-14T12:00,,36.8,44,0.136,0.15
1986-06-14T13:00,,35.6,48,0.136,0.15
1986-06-14T14:00,,34.8,50,0.136,0.15
1986-06-14T15:00,,34.0,54,0.136,0.15
1986-06-14T16:00,,33.3,57,0.136,0.15
1986-06-14T17:00,,32.8,60,0.136,0.15
1986-06-14T18:00,,32.1,64,0.136,0.15
1986-06-14T19:00,,31.2,65,0.136,0.15
1986-06-14T20:00,,30.7,67,0.136,0.15
1986-06-14T21:00,,30.2,70,0.136,0.15
1986-06-14T22:00,,29.9,72,0.136,0.15
1986-06-14T23:00,,29.5,74,0.136,0.15
1986-06-15T00:00,,29.2,76,0.136,0.15
1986-06-15T01:00,,30.1,73,0.136,0.15
1986-06-15T02:00,,31.8,66,0.136,0.15
1986-06-15T03:00,,33.7,59,0.136,0.15
1986-06-15T04:00,,35.4,51,0.136,0.15
1986-06-15T05:00,,36.3,48,0.136,0.15
1986-06-15T06:00,,37.0,46,0.136,0.15
1986-06-15T07:00,,36.2,51,0.136,0.15
1986-06-15T08:00,,36.7,49,0.136,0.15
1986-06-15T09:00,,37.2,46,0.136,0.15
1986-06-15T10:00,,37.6,44,0.136,0.15
1986-06-15T11:00,,37.3,45,0.136,0.15
1986-06-15T12:00,,36.4,46,0.136,0.15
1986-06-15T13:00,,34.8,53,0.138,0.15
1986-06-15T14:00,,34.1,56,0.138,0.15
1986-06-15T15:00,,33.1,60,0.138,0.15
1986-06-15T16:00,,32.0,66,0.138,0.15
1986-06-15T17:00,,31.3,71,0.138,0.15
1986-06-15T18:00,,30.6,75,0.138,0.15
1986-06-15T19:00,,28.5,87,0.138,0.15
1986-06-15T20:00,,28.3,87,0.138,0.15
1986-06-15T21:00,,28.1,88,0.138,0.15
1986-06-15T22:00,,27.9,89,0.139,0.15
1986-06-15T23:00,,27.3,90,0.151,0.15
