time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.6,95,0.433,0.404
1985-09-11T01:00,,24.5,96,0.435,0.408
1985-09-11T02:00,,24.7,96,0.439,0.413
1985-09-11T03:00,,25.4,94,0.418,0.423
1985-09-11T04:00,,25.8,93,0.418,0.423
1985-09-11T05:00,,26.6,90,0.427,0.423
1985-09-11T06:00,,27.2,89,0.424,0.423
1985-09-11T07:00,,27.6,88,0.421,0.423
1985-09-11T08:00,,28.8,82,0.418,0.422
1985-09-11T09:00,,29.4,78,0.415,0.421
1985-09-11T10:00,,29.0,78,0.412,0.42
1985-09-11T11:00,,27.5,83,0.434,0.42
1985-09-11T12:00,,26.8,88,0.428,0.422
1985-09-11T13:00,,26.2,89,0.424,0.422
1985-09-11T14:00,,26.2,90,0.422,0.422
1985-09-11T15:00,,26.2,90,0.421,0.422
1985-09-11T16:00,,26.0,91,0.419,0.422
1985-09-11T17:00,,25.9,91,0.417,0.421
1985-09-11T18:00,,25.7,92,0.415,0.421
1985-09-11T19:00,,25.9,90,0.414,0.421
1985-09-11T20:00,,25.7,91,0.412,0.42
1985-09-11T21:00,,25.5,92,0.411,0.42
1985-09-11T22:00,,25.4,93,0.41,0.419
1985-09-11T23:00,,25.3,93,0.409,0.419
1985-09-12T00:00,,25.3,93,0.408,0.418
1985-09-12T01:00,,25.8,92,0.407,0.418
1985-09-12T02:00,,27.1,85,0.406,0.417
1985-09-12T03:00,,28.2,79,0.404,0.416
1985-09-12T04:00,,29.5,73,0.401,0.415
1985-09-12T05:00,,30.2,69,0.399,0.414
1985-09-12T06:00,,30.9,67,0.396,0.412
1985-09-12T07:00,,31.9,63,0.393,0.411
1985-09-12T08:00,,32.3,61,0.39,0.409
1985-09-12T09:00,,32.3,60,0.387,0.407
1985-09-12T10:00,,32.0,61,0.385,0.406
1985-09-12T11:00,,31.3,65,0.384,0.405
1985-09-12T12:00,,30.2,70,0.384,0.405
1985-09-12T13:00,,29.2,74,0.384,0.404
1985-09-12T14:00,,28.7,76,0.384,0.404
1985-09-12T15:00,,28.3,78,0.384,0.403
1985-09-12T16:00,,28.0,80,0.384,0.403
1985-09-12T17:00,,27.5,82,0.384,0.402
1985-09-12T18:00,,27.1,84,0.384,0.402
1985-09-12T19:00,,26.9,86,0.384,0.401
1985-09-12T20:00,,26.5,87,0.384,0.401
1985-09-12T21:00,,26.1,90,0.384,0.401
1985-09-12T22:00,,25.8,91,0.384,0.4
1985-09-12T23:00,,25.4,93,0.384,0.4
1985-09-13T00:00,,25.2,94,0.384,0.4
1985-09-13T01:00,,25.8,93,0.384,0.399
1985-09-13T02:00,,27.2,86,0.384,0.399
1985-09-13T03:00,,28.4,80,0.383,0.398
1985-09-13T04:00,,29.3,77,0.382,0.397
1985-09-13T05:00,,30.2,75,0.38,0.396
1985-09-13T06:00,,31.0,74,0.378,0.395
1985-09-13T07:00,,31.7,73,0.377,0.394
1985-09-13T08:00,,31.5,73,0.38,0.393
1985-09-13T09:00,,31.6,71,0.379,0.392
1985-09-13T10:00,,31.5,68,0.379,0.391
1985-09-13T11:00,,30.0,73,0.382,0.391
1985-09-13T12:00,,29.1,79,0.386,0.39
1985-09-13T13:00,,28.2,82,0.386,0.39
1985-09-13T14:00,,27.6,85,0.386,0.39
1985-09-13T15:00,,27.1,87,0.385,0.39
1985-09-13T16:00,,26.8,87,0.385,0.39
1985-09-13T17:00,,26.6,88,0.384,0.39
1985-09-13T18:00,,26.4,88,0.385,0.389
1985-09-13T19:00,,26.6,88,0.385,0.389
1985-09-13T20:00,,26.2,90,0.385,0.389
1985-09-13T21:00,,25.9,91,0.385,0.389
1985-09-13T22:00,,25.6,93,0.384,0.389
1985-09-13T23:00,,25.4,94,0.384,0.389
