time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.6,97,0.356,0.275
1986-06-13T01:00,,24.5,98,0.436,0.277
1986-06-13T02:00,,24.6,98,0.392,0.306
1986-06-13T03:00,,24.8,97,0.419,0.313
1986-06-13T04:00,,24.9,95,0.423,0.325
1986-06-13T05:00,,25.1,95,0.41,0.342
1986-06-13T06:00,,25.2,95,0.425,0.35
1986-06-13T07:00,,30.1,75,0.393,0.359
1986-06-13T08:00,,31.9,68,0.388,0.358
1986-06-13T09:00,,32.4,66,0.383,0.358
1986-06-13T10:00,,32.4,66,0.38,0.357
1986-06-13T11:00,,32.2,66,0.377,0.356
1986-06-13T12:00,,31.9,68,0.375,0.356
1986-06-13T13:00,,31.0,73,0.373,0.356
1986-06-13T14:00,,30.2,76,0.372,0.355
1986-06-13T15:00,,29.7,79,0.371,0.355
1986-06-13T16:00,,28.9,82,0.373,0.355
1986-06-13T17:00,,27.8,88,0.379,0.355
1986-06-13T18:00,,27.3,91,0.379,0.355
1986-06-13T19:00,,27.1,92,0.379,0.355
1986-06-13T20:00,,26.7,93,0.381,0.355
1986-06-13T21:00,,26.0,95,0.404,0.355
1986-06-13T22:00,,25.5,95,0.431,0.357
1986-06-13T23:00,,25.3,96,0.421,0.363
1986-06-14T00:00,,25.2,96,0.414,0.365
1986-06-14T01:00,,25.5,95,0.422,0.366
1986-06-14T02:00,,26.4,91,0.415,0.369
1986-06-14T03:00,,26.8,89,0.411,0.37
1986-06-14T04:00,,27.2,87,0.408,0.371
1986-06-14T05:00,,27.9,84,0.405,0.371
1986-06-14T06:00,,29.2,80,0.4,0.371
1986-06-14T07:00,,31.4,75,0.395,0.37
1986-06-14T08:00,,32.3,71,0.39,0.369
1986-06-14T09:00,,32.9,67,0.385,0.367
1986-06-14T10:00,,33.1,66,0.382,0.366
1986-06-14T11:00,,32.4,68,0.381,0.365
1986-06-14T12:00,,30.5,76,0.383,0.365
1986-06-14T13:00,,29.6,79,0.382,0.365
1986-06-14T14:00,,29.0,82,0.381,0.364
1986-06-14T15:00,,28.6,83,0.38,0.364
1986-06-14T16:00,,28.5,84,0.38,0.364
1986-06-14T17:00,,28.3,86,0.38,0.364
1986-06-14T18:00,,27.9,88,0.381,0.364
1986-06-14T19:00,,28.0,83,0.38,0.363
1986-06-14T20:00,,27.5,85,0.38,0.363
1986-06-14T21:00,,26.9,88,0.38,0.363
1986-06-14T22:00,,26.2,91,0.383,0.363
1986-06-14T23:00,,25.6,94,0.387,0.363
1986-06-15T00:00,,25.3,96,0.393,0.363
1986-06-15T01:00,,25.5,94,0.399,0.363
1986-06-15T02:00,,26.4,90,0.4,0.363
1986-06-15T03:00,,27.6,84,0.398,0.364
1986-06-15T04:00,,29.0,79,0.395,0.364
1986-06-15T05:00,,29.8,77,0.391,0.363
1986-06-15T06:00,,30.9,75,0.387,0.362
1986-06-15T07:00,,30.3,76,0.383,0.362
1986-06-15T08:00,,31.1,75,0.38,0.361
1986-06-15T09:00,,31.6,73,0.377,0.36
1986-06-15T10:00,,31.9,73,0.374,0.359
1986-06-15T11:00,,31.7,73,0.374,0.358
1986-06-15T12:00,,30.3,80,0.396,0.358
1986-06-15T13:00,,29.6,85,0.402,0.359
1986-06-15T14:00,,28.6,88,0.421,0.36
1986-06-15T15:00,,27.5,90,0.439,0.364
1986-06-15T16:00,,27.0,92,0.408,0.39
1986-06-15T17:00,,26.6,92,0.438,0.39
1986-06-15T18:00,,26.3,93,0.426,0.404
1986-06-15T19:00,,25.7,97,0.439,0.408
1986-06-15T20:00,,25.5,98,0.428,0.426
1986-06-15T21:00,,25.2,99,0.439,0.425
1986-06-15T22:00,,25.1,99,0.434,0.439
1986-06-15T23:00,,24.9,100,0.418,0.417
