time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.0,95,0.437,0.396
1985-09-11T01:00,,24.7,96,0.427,0.405
1985-09-11T02:00,,24.7,96,0.431,0.408
1985-09-11T03:00,,24.7,96,0.431,0.411
1985-09-11T04:00,,25.0,95,0.439,0.414
1985-09-11T05:00,,25.9,93,0.411,0.425
1985-09-11T06:00,,26.8,88,0.414,0.424
1985-09-11T07:00,,27.3,91,0.415,0.423
1985-09-11T08:00,,28.3,87,0.413,0.422
1985-09-11T09:00,,29.0,82,0.41,0.421
1985-09-11T10:00,,29.1,79,0.408,0.42
1985-09-11T11:00,,28.1,80,0.426,0.42
1985-09-11T12:00,,26.8,86,0.426,0.42
1985-09-11T13:00,,26.2,89,0.423,0.42
1985-09-11T14:00,,25.8,90,0.42,0.42
1985-09-11T15:00,,25.8,90,0.418,0.42
1985-09-11T16:00,,25.7,91,0.416,0.419
1985-09-11T17:00,,25.7,91,0.415,0.419
1985-09-11T18:00,,25.5,93,0.414,0.419
1985-09-11T19:00,,25.7,91,0.413,0.418
1985-09-11T20:00,,25.6,91,0.411,0.418
1985-09-11T21:00,,25.4,92,0.41,0.417
1985-09-11T22:00,,25.3,93,0.409,0.417
1985-09-11T23:00,,25.1,93,0.407,0.416
1985-09-12T00:00,,25.0,94,0.406,0.416
1985-09-12T01:00,,25.5,93,0.405,0.415
1985-09-12T02:00,,26.8,87,0.404,0.415
1985-09-12T03:00,,28.1,79,0.403,0.414
1985-09-12T04:00,,29.3,73,0.4,0.413
1985-09-12T05:00,,30.1,69,0.398,0.411
1985-09-12T06:00,,30.9,66,0.396,0.41
1985-09-12T07:00,,31.7,63,0.393,0.408
1985-09-12T08:00,,32.1,62,0.39,0.407
1985-09-12T09:00,,32.2,61,0.387,0.405
1985-09-12T10:00,,32.0,61,0.385,0.404
1985-09-12T11:00,,31.1,66,0.384,0.403
1985-09-12T12:00,,30.1,70,0.384,0.403
1985-09-12T13:00,,29.1,74,0.384,0.402
1985-09-12T14:00,,28.5,77,0.384,0.402
1985-09-12T15:00,,28.2,78,0.384,0.401
1985-09-12T16:00,,27.9,80,0.383,0.401
1985-09-12T17:00,,27.6,81,0.383,0.4
1985-09-12T18:00,,27.2,83,0.383,0.4
1985-09-12T19:00,,27.0,84,0.383,0.4
1985-09-12T20:00,,26.6,86,0.383,0.399
1985-09-12T21:00,,26.3,88,0.383,0.399
1985-09-12T22:00,,25.9,90,0.383,0.399
1985-09-12T23:00,,25.6,91,0.383,0.398
1985-09-13T00:00,,25.4,93,0.383,0.398
1985-09-13T01:00,,25.8,92,0.383,0.398
1985-09-13T02:00,,27.2,86,0.382,0.397
1985-09-13T03:00,,28.5,78,0.382,0.397
1985-09-13T04:00,,29.5,73,0.381,0.396
1985-09-13T05:00,,30.3,71,0.38,0.395
1985-09-13T06:00,,31.0,70,0.377,0.394
1985-09-13T07:00,,31.6,73,0.376,0.393
1985-09-13T08:00,,31.3,69,0.385,0.392
1985-09-13T09:00,,30.9,71,0.39,0.391
1985-09-13T10:00,,30.6,71,0.394,0.391
1985-09-13T11:00,,30.3,71,0.394,0.391
1985-09-13T12:00,,29.2,77,0.396,0.391
1985-09-13T13:00,,28.3,80,0.395,0.391
1985-09-13T14:00,,27.7,84,0.394,0.391
1985-09-13T15:00,,27.4,85,0.393,0.391
1985-09-13T16:00,,27.1,86,0.393,0.391
1985-09-13T17:00,,26.9,87,0.392,0.391
1985-09-13T18:00,,26.7,87,0.391,0.391
1985-09-13T19:00,,26.8,87,0.391,0.391
1985-09-13T20:00,,26.6,87,0.39,0.391
1985-09-13T21:00,,26.4,88,0.389,0.391
1985-09-13T22:00,,26.0,90,0.389,0.391
1985-09-13T23:00,,25.7,91,0.388,0.391
