time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.6,96,0.418,0.227
1986-06-13T01:00,,24.4,98,0.439,0.239
1986-06-13T02:00,,24.4,99,0.362,0.286
1986-06-13T03:00,,24.7,98,0.394,0.287
1986-06-13T04:00,,24.9,96,0.403,0.289
1986-06-13T05:00,,25.2,95,0.403,0.292
1986-06-13T06:00,,25.6,91,0.398,0.294
1986-06-13T07:00,,31.0,72,0.389,0.296
1986-06-13T08:00,,32.0,69,0.382,0.296
1986-06-13T09:00,,32.7,67,0.377,0.297
1986-06-13T10:00,,32.8,66,0.372,0.297
1986-06-13T11:00,,32.4,66,0.368,0.297
1986-06-13T12:00,,31.5,70,0.366,0.297
1986-06-13T13:00,,30.9,73,0.364,0.298
1986-06-13T14:00,,30.4,75,0.362,0.298
1986-06-13T15:00,,30.1,75,0.36,0.299
1986-06-13T16:00,,29.6,78,0.359,0.299
1986-06-13T17:00,,28.7,83,0.361,0.3
1986-06-13T18:00,,28.0,87,0.364,0.3
1986-06-13T19:00,,27.1,91,0.366,0.301
1986-06-13T20:00,,27.0,92,0.365,0.301
1986-06-13T21:00,,26.6,93,0.366,0.302
1986-06-13T22:00,,26.2,95,0.372,0.302
1986-06-13T23:00,,25.9,95,0.384,0.303
1986-06-14T00:00,,25.6,96,0.389,0.304
1986-06-14T01:00,,26.1,93,0.387,0.305
1986-06-14T02:00,,27.1,86,0.384,0.306
1986-06-14T03:00,,27.8,82,0.38,0.307
1986-06-14T04:00,,28.5,80,0.377,0.308
1986-06-14T05:00,,28.8,79,0.375,0.308
1986-06-14T06:00,,29.5,77,0.38,0.308
1986-06-14T07:00,,31.9,73,0.375,0.309
1986-06-14T08:00,,32.6,70,0.37,0.309
1986-06-14T09:00,,33.2,68,0.365,0.308
1986-06-14T10:00,,33.2,67,0.361,0.308
1986-06-14T11:00,,32.9,67,0.359,0.307
1986-06-14T12:00,,32.3,69,0.358,0.307
1986-06-14T13:00,,31.1,74,0.357,0.308
1986-06-14T14:00,,29.9,78,0.356,0.308
1986-06-14T15:00,,29.0,81,0.355,0.308
1986-06-14T16:00,,28.4,84,0.355,0.308
1986-06-14T17:00,,27.9,86,0.356,0.309
1986-06-14T18:00,,27.7,88,0.358,0.309
1986-06-14T19:00,,28.6,82,0.357,0.309
1986-06-14T20:00,,28.0,85,0.356,0.309
1986-06-14T21:00,,27.2,88,0.357,0.31
1986-06-14T22:00,,26.5,90,0.358,0.31
1986-06-14T23:00,,25.8,92,0.36,0.31
1986-06-15T00:00,,25.6,93,0.366,0.31
1986-06-15T01:00,,25.8,93,0.37,0.311
1986-06-15T02:00,,26.4,92,0.372,0.311
1986-06-15T03:00,,27.5,85,0.37,0.312
1986-06-15T04:00,,29.1,77,0.366,0.312
1986-06-15T05:00,,30.4,73,0.363,0.312
1986-06-15T06:00,,31.6,71,0.359,0.311
1986-06-15T07:00,,29.7,75,0.356,0.311
1986-06-15T08:00,,30.9,71,0.353,0.311
1986-06-15T09:00,,31.5,69,0.351,0.31
1986-06-15T10:00,,31.9,69,0.349,0.31
1986-06-15T11:00,,31.7,71,0.348,0.309
1986-06-15T12:00,,30.3,76,0.367,0.31
1986-06-15T13:00,,28.5,85,0.395,0.31
1986-06-15T14:00,,28.0,88,0.391,0.312
1986-06-15T15:00,,27.6,90,0.398,0.313
1986-06-15T16:00,,27.0,92,0.425,0.315
1986-06-15T17:00,,26.6,93,0.411,0.325
1986-06-15T18:00,,26.3,93,0.417,0.328
1986-06-15T19:00,,25.8,98,0.436,0.333
1986-06-15T20:00,,25.6,98,0.406,0.349
1986-06-15T21:00,,25.4,99,0.412,0.354
1986-06-15T22:00,,25.2,99,0.439,0.358
1986-06-15T23:00,,25.0,99,0.399,0.383
