time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.7,93,0.391,0.371
1985-09-11T01:00,,25.7,93,0.397,0.372
1985-09-11T02:00,,25.7,92,0.402,0.372
1985-09-11T03:00,,25.8,90,0.411,0.373
1985-09-11T04:00,,25.4,91,0.419,0.375
1985-09-11T05:00,,25.4,92,0.418,0.377
1985-09-11T06:00,,25.5,93,0.423,0.379
1985-09-11T07:00,,26.4,95,0.419,0.381
1985-09-11T08:00,,27.8,90,0.416,0.383
1985-09-11T09:00,,27.7,83,0.439,0.385
1985-09-11T10:00,,27.8,85,0.392,0.401
1985-09-11T11:00,,27.5,86,0.394,0.401
1985-09-11T12:00,,27.2,86,0.397,0.401
1985-09-11T13:00,,26.1,90,0.402,0.401
1985-09-11T14:00,,25.8,90,0.401,0.401
1985-09-11T15:00,,25.7,91,0.4,0.401
1985-09-11T16:00,,25.7,91,0.399,0.4
1985-09-11T17:00,,25.5,91,0.398,0.4
1985-09-11T18:00,,25.4,92,0.398,0.4
1985-09-11T19:00,,25.6,91,0.397,0.4
1985-09-11T20:00,,25.4,91,0.396,0.4
1985-09-11T21:00,,25.2,92,0.396,0.4
1985-09-11T22:00,,25.1,93,0.395,0.4
1985-09-11T23:00,,25.0,94,0.394,0.399
1985-09-12T00:00,,24.9,94,0.394,0.399
1985-09-12T01:00,,25.2,94,0.393,0.399
1985-09-12T02:00,,26.5,88,0.392,0.399
1985-09-12T03:00,,27.6,82,0.391,0.398
1985-09-12T04:00,,28.7,75,0.389,0.397
1985-09-12T05:00,,29.5,71,0.388,0.397
1985-09-12T06:00,,30.5,67,0.385,0.395
1985-09-12T07:00,,31.2,65,0.383,0.394
1985-09-12T08:00,,31.6,63,0.38,0.393
1985-09-12T09:00,,31.4,64,0.378,0.392
1985-09-12T10:00,,31.3,64,0.377,0.391
1985-09-12T11:00,,30.8,68,0.376,0.39
1985-09-12T12:00,,29.9,73,0.375,0.39
1985-09-12T13:00,,28.8,77,0.375,0.39
1985-09-12T14:00,,28.2,80,0.375,0.389
1985-09-12T15:00,,27.8,83,0.375,0.389
1985-09-12T16:00,,27.5,84,0.375,0.389
1985-09-12T17:00,,27.3,84,0.375,0.389
1985-09-12T18:00,,27.0,85,0.375,0.388
1985-09-12T19:00,,27.0,85,0.375,0.388
1985-09-12T20:00,,26.8,86,0.375,0.388
1985-09-12T21:00,,26.6,87,0.374,0.388
1985-09-12T22:00,,26.2,89,0.374,0.388
1985-09-12T23:00,,26.0,90,0.374,0.387
1985-09-13T00:00,,25.6,91,0.374,0.387
1985-09-13T01:00,,25.9,91,0.374,0.387
1985-09-13T02:00,,27.1,86,0.374,0.387
1985-09-13T03:00,,28.2,80,0.373,0.386
1985-09-13T04:00,,29.2,75,0.371,0.385
1985-09-13T05:00,,30.1,73,0.369,0.384
1985-09-13T06:00,,30.6,72,0.368,0.383
1985-09-13T07:00,,31.3,74,0.366,0.382
1985-09-13T08:00,,31.9,68,0.364,0.381
1985-09-13T09:00,,31.7,68,0.364,0.38
1985-09-13T10:00,,30.3,71,0.368,0.379
1985-09-13T11:00,,29.5,75,0.368,0.379
1985-09-13T12:00,,29.1,77,0.368,0.379
1985-09-13T13:00,,28.3,82,0.367,0.379
1985-09-13T14:00,,27.8,84,0.367,0.379
1985-09-13T15:00,,27.6,85,0.367,0.378
1985-09-13T16:00,,27.3,86,0.367,0.378
1985-09-13T17:00,,27.1,87,0.367,0.378
1985-09-13T18:00,,26.9,88,0.367,0.378
1985-09-13T19:00,,26.9,86,0.367,0.378
1985-09-13T20:00,,26.7,87,0.367,0.378
1985-09-13T21:00,,26.4,88,0.367,0.378
1985-09-13T22:00,,26.1,90,0.367,0.377
1985-09-13T23:00,,25.9,91,0.367,0.377
