time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.1,89,0.142,0.151
1986-06-13T01:00,,26.0,88,0.142,0.151
1986-06-13T02:00,,26.7,84,0.142,0.151
1986-06-13T03:00,,26.9,86,0.15,0.151
1986-06-13T04:00,,26.7,90,0.16,0.151
1986-06-13T05:00,,27.1,92,0.166,0.151
1986-06-13T06:00,,26.7,96,0.205,0.151
1986-06-13T07:00,,31.2,71,0.204,0.151
1986-06-13T08:00,,33.8,60,0.202,0.151
1986-06-13T09:00,,34.6,56,0.2,0.151
1986-06-13T10:00,,35.0,54,0.199,0.151
1986-06-13T11:00,,34.8,54,0.198,0.151
1986-06-13T12:00,,34.4,56,0.197,0.151
1986-06-13T13:00,,33.3,61,0.197,0.151
1986-06-13T14:00,,32.3,66,0.197,0.151
1986-06-13T15:00,,30.8,73,0.206,0.151
1986-06-13T16:00,,29.1,82,0.217,0.151
1986-06-13T17:00,,28.7,84,0.217,0.151
1986-06-13T18:00,,28.5,84,0.217,0.151
1986-06-13T19:00,,27.1,90,0.232,0.151
1986-06-13T20:00,,26.6,94,0.238,0.151
1986-06-13T21:00,,26.4,94,0.24,0.151
1986-06-13T22:00,,26.1,94,0.258,0.151
1986-06-13T23:00,,25.8,94,0.291,0.152
1986-06-14T00:00,,25.6,94,0.314,0.152
1986-06-14T01:00,,26.1,92,0.314,0.153
1986-06-14T02:00,,27.1,87,0.312,0.153
1986-06-14T03:00,,29.0,76,0.309,0.154
1986-06-14T04:00,,30.5,69,0.306,0.154
1986-06-14T05:00,,31.1,68,0.303,0.155
1986-06-14T06:00,,31.8,67,0.3,0.155
1986-06-14T07:00,,34.4,59,0.295,0.156
1986-06-14T08:00,,34.5,58,0.292,0.156
1986-06-14T09:00,,34.8,56,0.289,0.156
1986-06-14T10:00,,34.7,56,0.286,0.156
1986-06-14T11:00,,34.3,56,0.283,0.157
1986-06-14T12:00,,33.7,58,0.281,0.157
1986-06-14T13:00,,32.3,64,0.28,0.157
1986-06-14T14:00,,31.1,69,0.279,0.158
1986-06-14T15:00,,30.5,72,0.278,0.158
1986-06-14T16:00,,30.3,73,0.277,0.158
1986-06-14T17:00,,29.9,75,0.277,0.158
1986-06-14T18:00,,29.5,77,0.277,0.158
1986-06-14T19:00,,29.4,76,0.276,0.159
1986-06-14T20:00,,29.1,77,0.276,0.159
1986-06-14T21:00,,28.9,79,0.275,0.159
1986-06-14T22:00,,28.7,79,0.275,0.159
1986-06-14T23:00,,28.4,81,0.274,0.16
1986-06-15T00:00,,28.0,84,0.276,0.16
1986-06-15T01:00,,28.3,85,0.276,0.16
1986-06-15T02:00,,29.0,80,0.275,0.16
1986-06-15T03:00,,30.0,75,0.274,0.16
1986-06-15T04:00,,31.5,69,0.271,0.161
1986-06-15T05:00,,31.7,68,0.269,0.161
1986-06-15T06:00,,32.9,63,0.266,0.161
1986-06-15T07:00,,33.2,64,0.263,0.161
1986-06-15T08:00,,34.4,58,0.26,0.161
1986-06-15T09:00,,33.6,61,0.259,0.161
1986-06-15T10:00,,32.5,68,0.262,0.161
1986-06-15T11:00,,32.0,70,0.262,0.161
1986-06-15T12:00,,31.8,71,0.261,0.161
1986-06-15T13:00,,31.2,74,0.261,0.162
1986-06-15T14:00,,30.3,78,0.261,0.162
1986-06-15T15:00,,29.4,83,0.262,0.162
1986-06-15T16:00,,28.6,86,0.265,0.162
1986-06-15T17:00,,27.9,88,0.267,0.162
1986-06-15T18:00,,27.7,89,0.266,0.162
1986-06-15T19:00,,26.2,93,0.27,0.163
1986-06-15T20:00,,26.1,93,0.275,0.163
1986-06-15T21:00,,25.7,94,0.299,0.163
1986-06-15T22:00,,25.3,96,0.329,0.164
1986-06-15T23:00,,25.2,96,0.346,0.164
