time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.4,89,0.178,0.152
1986-06-13T01:00,,25.2,91,0.212,0.152
1986-06-13T02:00,,25.1,92,0.226,0.152
1986-06-13T03:00,,25.4,89,0.227,0.152
1986-06-13T04:00,,26.6,82,0.226,0.152
1986-06-13T05:00,,28.1,75,0.225,0.152
1986-06-13T06:00,,29.2,70,0.224,0.152
1986-06-13T07:00,,33.4,60,0.222,0.152
1986-06-13T08:00,,34.5,57,0.22,0.152
1986-06-13T09:00,,34.5,58,0.218,0.152
1986-06-13T10:00,,34.3,58,0.217,0.152
1986-06-13T11:00,,33.2,61,0.216,0.152
1986-06-13T12:00,,31.8,66,0.228,0.152
1986-06-13T13:00,,30.7,72,0.229,0.152
1986-06-13T14:00,,30.2,76,0.229,0.153
1986-06-13T15:00,,29.8,77,0.229,0.153
1986-06-13T16:00,,29.6,78,0.229,0.153
1986-06-13T17:00,,29.4,79,0.229,0.153
1986-06-13T18:00,,28.6,82,0.238,0.153
1986-06-13T19:00,,29.0,80,0.238,0.153
1986-06-13T20:00,,28.7,81,0.238,0.153
1986-06-13T21:00,,27.7,86,0.245,0.153
1986-06-13T22:00,,26.9,90,0.259,0.153
1986-06-13T23:00,,26.3,92,0.27,0.153
1986-06-14T00:00,,25.9,93,0.27,0.154
1986-06-14T01:00,,26.4,88,0.27,0.154
1986-06-14T02:00,,27.5,82,0.269,0.154
1986-06-14T03:00,,28.0,78,0.267,0.154
1986-06-14T04:00,,29.4,72,0.265,0.154
1986-06-14T05:00,,30.5,68,0.263,0.155
1986-06-14T06:00,,31.8,64,0.26,0.155
1986-06-14T07:00,,33.9,59,0.257,0.155
1986-06-14T08:00,,34.2,58,0.253,0.155
1986-06-14T09:00,,34.5,57,0.25,0.155
1986-06-14T10:00,,34.2,57,0.248,0.155
1986-06-14T11:00,,33.6,58,0.246,0.155
1986-06-14T12:00,,32.5,63,0.246,0.155
1986-06-14T13:00,,31.8,67,0.247,0.155
1986-06-14T14:00,,30.9,71,0.247,0.155
1986-06-14T15:00,,30.1,74,0.247,0.156
1986-06-14T16:00,,29.1,79,0.25,0.156
1986-06-14T17:00,,28.2,85,0.255,0.156
1986-06-14T18:00,,27.9,87,0.255,0.156
1986-06-14T19:00,,28.6,79,0.255,0.156
1986-06-14T20:00,,28.0,82,0.256,0.156
1986-06-14T21:00,,27.0,86,0.258,0.156
1986-06-14T22:00,,26.2,89,0.261,0.157
1986-06-14T23:00,,25.6,91,0.263,0.157
1986-06-15T00:00,,25.4,91,0.264,0.157
1986-06-15T01:00,,26.0,89,0.264,0.157
1986-06-15T02:00,,27.3,82,0.263,0.157
1986-06-15T03:00,,29.5,70,0.262,0.157
1986-06-15T04:00,,31.0,67,0.259,0.157
1986-06-15T05:00,,31.2,66,0.258,0.158
1986-06-15T06:00,,32.3,62,0.256,0.158
1986-06-15T07:00,,30.4,68,0.255,0.158
1986-06-15T08:00,,31.0,66,0.253,0.158
1986-06-15T09:00,,31.4,65,0.252,0.158
1986-06-15T10:00,,31.8,63,0.251,0.158
1986-06-15T11:00,,32.1,62,0.249,0.158
1986-06-15T12:00,,31.7,63,0.248,0.158
1986-06-15T13:00,,31.3,66,0.248,0.158
1986-06-15T14:00,,30.4,70,0.247,0.158
1986-06-15T15:00,,29.4,75,0.247,0.158
1986-06-15T16:00,,28.7,79,0.247,0.159
1986-06-15T17:00,,27.6,84,0.253,0.159
1986-06-15T18:00,,26.4,90,0.26,0.159
1986-06-15T19:00,,25.7,94,0.3,0.159
1986-06-15T20:00,,25.5,97,0.324,0.16
1986-06-15T21:00,,25.5,97,0.327,0.16
1986-06-15T22:00,,25.4,98,0.333,0.161
1986-06-15T23:00,,25.2,99,0.338,0.162
