time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.3,94,0.421,0.41
1985-09-11T01:00,,25.2,95,0.421,0.411
1985-09-11T02:00,,25.4,93,0.427,0.411
1985-09-11T03:00,,25.9,90,0.423,0.413
1985-09-11T04:00,,26.2,89,0.42,0.413
1985-09-11T05:00,,27.2,85,0.417,0.413
1985-09-11T06:00,,27.9,83,0.415,0.413
1985-09-11T07:00,,27.0,88,0.431,0.413
1985-09-11T08:00,,27.4,87,0.426,0.415
1985-09-11T09:00,,27.2,86,0.423,0.416
1985-09-11T10:00,,27.4,83,0.42,0.416
1985-09-11T11:00,,27.6,81,0.417,0.416
1985-09-11T12:00,,27.3,81,0.414,0.416
1985-09-11T13:00,,26.7,83,0.413,0.415
1985-09-11T14:00,,26.4,84,0.411,0.415
1985-09-11T15:00,,26.2,84,0.41,0.415
1985-09-11T16:00,,25.9,86,0.408,0.415
1985-09-11T17:00,,25.8,87,0.407,0.414
1985-09-11T18:00,,25.7,87,0.406,0.414
1985-09-11T19:00,,25.7,88,0.405,0.414
1985-09-11T20:00,,25.5,89,0.404,0.413
1985-09-11T21:00,,25.4,90,0.403,0.413
1985-09-11T22:00,,25.1,91,0.403,0.413
1985-09-11T23:00,,24.9,92,0.402,0.412
1985-09-12T00:00,,24.8,92,0.401,0.412
1985-09-12T01:00,,25.4,91,0.4,0.412
1985-09-12T02:00,,27.1,84,0.399,0.411
1985-09-12T03:00,,28.4,79,0.398,0.41
1985-09-12T04:00,,29.5,73,0.396,0.409
1985-09-12T05:00,,30.4,71,0.393,0.408
1985-09-12T06:00,,31.0,70,0.39,0.407
1985-09-12T07:00,,31.7,67,0.388,0.405
1985-09-12T08:00,,32.0,65,0.385,0.404
1985-09-12T09:00,,31.4,68,0.385,0.402
1985-09-12T10:00,,31.2,70,0.385,0.402
1985-09-12T11:00,,29.8,76,0.42,0.402
1985-09-12T12:00,,29.3,79,0.415,0.403
1985-09-12T13:00,,28.6,82,0.413,0.403
1985-09-12T14:00,,28.2,83,0.41,0.403
1985-09-12T15:00,,27.9,85,0.408,0.404
1985-09-12T16:00,,27.6,86,0.407,0.404
1985-09-12T17:00,,27.3,87,0.405,0.404
1985-09-12T18:00,,27.0,88,0.404,0.404
1985-09-12T19:00,,26.3,90,0.407,0.404
1985-09-12T20:00,,26.0,91,0.409,0.404
1985-09-12T21:00,,25.7,91,0.409,0.404
1985-09-12T22:00,,25.5,92,0.409,0.404
1985-09-12T23:00,,25.3,92,0.408,0.405
1985-09-13T00:00,,25.2,92,0.406,0.405
1985-09-13T01:00,,25.6,91,0.405,0.405
1985-09-13T02:00,,27.0,86,0.404,0.405
1985-09-13T03:00,,28.5,81,0.402,0.404
1985-09-13T04:00,,29.6,76,0.4,0.403
1985-09-13T05:00,,30.3,75,0.397,0.402
1985-09-13T06:00,,31.0,74,0.395,0.401
1985-09-13T07:00,,32.3,65,0.392,0.4
1985-09-13T08:00,,31.5,68,0.396,0.399
1985-09-13T09:00,,30.5,73,0.41,0.399
1985-09-13T10:00,,29.0,77,0.439,0.4
1985-09-13T11:00,,28.9,78,0.397,0.414
1985-09-13T12:00,,28.6,81,0.397,0.413
1985-09-13T13:00,,28.0,84,0.397,0.413
1985-09-13T14:00,,27.5,87,0.396,0.412
1985-09-13T15:00,,27.2,88,0.396,0.412
1985-09-13T16:00,,26.9,89,0.396,0.411
1985-09-13T17:00,,26.8,89,0.395,0.411
1985-09-13T18:00,,26.6,89,0.396,0.41
1985-09-13T19:00,,26.5,89,0.397,0.41
1985-09-13T20:00,,26.0,90,0.4,0.41
1985-09-13T21:00,,25.6,90,0.403,0.409
1985-09-13T22:00,,24.9,93,0.406,0.409
1985-09-13T23:00,,24.6,94,0.406,0.409
