time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.4,85,0.145,0.151
1986-06-13T01:00,,26.0,88,0.17,0.151
1986-06-13T02:00,,26.1,88,0.189,0.151
1986-06-13T03:00,,26.5,85,0.189,0.151
1986-06-13T04:00,,27.8,78,0.189,0.151
1986-06-13T05:00,,29.4,70,0.188,0.151
1986-06-13T06:00,,30.4,65,0.187,0.151
1986-06-13T07:00,,34.6,54,0.186,0.151
1986-06-13T08:00,,35.8,52,0.184,0.151
1986-06-13T09:00,,35.1,55,0.184,0.151
1986-06-13T10:00,,34.6,56,0.19,0.151
1986-06-13T11:00,,34.0,56,0.191,0.151
1986-06-13T12:00,,32.9,60,0.192,0.151
1986-06-13T13:00,,31.6,67,0.193,0.151
1986-06-13T14:00,,31.0,71,0.193,0.151
1986-06-13T15:00,,30.5,73,0.193,0.151
1986-06-13T16:00,,30.1,75,0.193,0.151
1986-06-13T17:00,,29.8,77,0.194,0.152
1986-06-13T18:00,,28.3,84,0.227,0.152
1986-06-13T19:00,,29.3,78,0.226,0.152
1986-06-13T20:00,,28.8,81,0.23,0.152
1986-06-13T21:00,,27.7,86,0.244,0.152
1986-06-13T22:00,,26.7,92,0.262,0.152
1986-06-13T23:00,,26.1,93,0.278,0.152
1986-06-14T00:00,,25.7,93,0.279,0.152
1986-06-14T01:00,,26.3,89,0.281,0.153
1986-06-14T02:00,,27.0,85,0.283,0.153
1986-06-14T03:00,,27.7,81,0.283,0.153
1986-06-14T04:00,,29.6,71,0.28,0.153
1986-06-14T05:00,,30.9,67,0.277,0.154
1986-06-14T06:00,,32.5,62,0.273,0.154
1986-06-14T07:00,,34.5,56,0.268,0.154
1986-06-14T08:00,,34.8,56,0.264,0.154
1986-06-14T09:00,,35.3,53,0.261,0.154
1986-06-14T10:00,,33.8,58,0.261,0.154
1986-06-14T11:00,,33.3,60,0.261,0.155
1986-06-14T12:00,,32.6,62,0.261,0.155
1986-06-14T13:00,,31.9,65,0.261,0.155
1986-06-14T14:00,,31.2,67,0.26,0.155
1986-06-14T15:00,,30.4,70,0.26,0.155
1986-06-14T16:00,,29.6,75,0.262,0.155
1986-06-14T17:00,,29.0,80,0.263,0.156
1986-06-14T18:00,,28.6,82,0.265,0.156
1986-06-14T19:00,,28.6,80,0.265,0.156
1986-06-14T20:00,,27.8,83,0.267,0.156
1986-06-14T21:00,,26.9,87,0.27,0.156
1986-06-14T22:00,,26.1,90,0.274,0.156
1986-06-14T23:00,,25.6,92,0.277,0.157
1986-06-15T00:00,,25.5,92,0.279,0.157
1986-06-15T01:00,,26.1,90,0.279,0.157
1986-06-15T02:00,,27.4,83,0.278,0.157
1986-06-15T03:00,,29.2,73,0.276,0.158
1986-06-15T04:00,,30.7,68,0.273,0.158
1986-06-15T05:00,,31.0,67,0.272,0.158
1986-06-15T06:00,,32.3,62,0.269,0.158
1986-06-15T07:00,,30.9,68,0.268,0.158
1986-06-15T08:00,,31.5,65,0.266,0.158
1986-06-15T09:00,,32.0,64,0.264,0.159
1986-06-15T10:00,,32.2,63,0.262,0.159
1986-06-15T11:00,,32.3,61,0.26,0.159
1986-06-15T12:00,,31.9,63,0.259,0.159
1986-06-15T13:00,,31.3,66,0.259,0.159
1986-06-15T14:00,,29.7,74,0.269,0.159
1986-06-15T15:00,,28.8,79,0.27,0.159
1986-06-15T16:00,,28.1,83,0.275,0.16
1986-06-15T17:00,,27.1,88,0.293,0.16
1986-06-15T18:00,,26.3,92,0.307,0.16
1986-06-15T19:00,,25.8,96,0.341,0.161
1986-06-15T20:00,,25.7,97,0.382,0.162
1986-06-15T21:00,,25.6,96,0.393,0.165
1986-06-15T22:00,,25.4,97,0.397,0.169
1986-06-15T23:00,,25.1,98,0.404,0.174
