time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.5,94,0.395,0.366
1985-09-11T01:00,,25.8,93,0.393,0.367
1985-09-11T02:00,,26.5,90,0.392,0.367
1985-09-11T03:00,,27.0,88,0.392,0.368
1985-09-11T04:00,,26.3,85,0.418,0.368
1985-09-11T05:00,,25.9,89,0.427,0.371
1985-09-11T06:00,,25.5,92,0.422,0.375
1985-09-11T07:00,,25.8,94,0.419,0.377
1985-09-11T08:00,,26.8,93,0.416,0.379
1985-09-11T09:00,,27.5,88,0.417,0.381
1985-09-11T10:00,,27.1,85,0.427,0.383
1985-09-11T11:00,,26.8,88,0.422,0.386
1985-09-11T12:00,,26.8,88,0.416,0.388
1985-09-11T13:00,,26.5,89,0.412,0.389
1985-09-11T14:00,,26.2,90,0.409,0.39
1985-09-11T15:00,,26.0,90,0.406,0.39
1985-09-11T16:00,,25.8,91,0.404,0.391
1985-09-11T17:00,,25.6,91,0.402,0.391
1985-09-11T18:00,,25.4,92,0.401,0.391
1985-09-11T19:00,,25.6,91,0.399,0.391
1985-09-11T20:00,,25.4,91,0.398,0.392
1985-09-11T21:00,,25.2,92,0.397,0.392
1985-09-11T22:00,,25.0,93,0.396,0.392
1985-09-11T23:00,,25.0,93,0.395,0.392
1985-09-12T00:00,,24.8,93,0.394,0.392
1985-09-12T01:00,,25.1,93,0.393,0.392
1985-09-12T02:00,,26.4,88,0.392,0.392
1985-09-12T03:00,,27.6,82,0.391,0.391
1985-09-12T04:00,,28.7,75,0.389,0.391
1985-09-12T05:00,,29.4,72,0.387,0.39
1985-09-12T06:00,,30.3,68,0.385,0.389
1985-09-12T07:00,,31.0,66,0.383,0.388
1985-09-12T08:00,,31.5,64,0.38,0.387
1985-09-12T09:00,,31.3,64,0.378,0.386
1985-09-12T10:00,,31.1,66,0.376,0.385
1985-09-12T11:00,,30.7,69,0.375,0.384
1985-09-12T12:00,,29.7,74,0.374,0.384
1985-09-12T13:00,,28.6,78,0.374,0.384
1985-09-12T14:00,,28.0,81,0.374,0.384
1985-09-12T15:00,,27.6,83,0.374,0.384
1985-09-12T16:00,,27.3,85,0.374,0.383
1985-09-12T17:00,,27.0,86,0.373,0.383
1985-09-12T18:00,,26.7,87,0.373,0.383
1985-09-12T19:00,,26.9,86,0.373,0.383
1985-09-12T20:00,,26.8,86,0.373,0.383
1985-09-12T21:00,,26.6,87,0.373,0.383
1985-09-12T22:00,,26.2,89,0.373,0.383
1985-09-12T23:00,,26.0,90,0.372,0.382
1985-09-13T00:00,,25.7,91,0.372,0.382
1985-09-13T01:00,,25.9,91,0.372,0.382
1985-09-13T02:00,,27.0,86,0.371,0.382
1985-09-13T03:00,,28.2,81,0.371,0.381
1985-09-13T04:00,,29.2,78,0.369,0.38
1985-09-13T05:00,,30.1,76,0.367,0.379
1985-09-13T06:00,,30.7,75,0.365,0.378
1985-09-13T07:00,,31.4,75,0.364,0.377
1985-09-13T08:00,,31.9,67,0.362,0.376
1985-09-13T09:00,,31.6,67,0.362,0.375
1985-09-13T10:00,,30.7,70,0.364,0.375
1985-09-13T11:00,,29.6,74,0.368,0.374
1985-09-13T12:00,,28.9,78,0.368,0.374
1985-09-13T13:00,,28.1,81,0.368,0.374
1985-09-13T14:00,,27.6,84,0.368,0.374
1985-09-13T15:00,,27.3,85,0.367,0.374
1985-09-13T16:00,,27.1,86,0.367,0.374
1985-09-13T17:00,,26.8,87,0.367,0.374
1985-09-13T18:00,,26.6,88,0.367,0.374
1985-09-13T19:00,,26.8,86,0.367,0.374
1985-09-13T20:00,,26.6,87,0.367,0.374
1985-09-13T21:00,,26.3,89,0.366,0.374
1985-09-13T22:00,,26.0,90,0.366,0.374
1985-09-13T23:00,,25.8,91,0.366,0.373
