time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.3,90,0.192,0.151
1986-06-13T01:00,,25.6,86,0.195,0.151
1986-06-13T02:00,,25.8,86,0.24,0.151
1986-06-13T03:00,,25.6,90,0.335,0.151
1986-06-13T04:00,,25.1,93,0.379,0.153
1986-06-13T05:00,,26.5,82,0.369,0.156
1986-06-13T06:00,,27.4,79,0.363,0.158
1986-06-13T07:00,,33.5,61,0.354,0.16
1986-06-13T08:00,,34.1,59,0.346,0.161
1986-06-13T09:00,,34.3,59,0.339,0.162
1986-06-13T10:00,,34.1,59,0.333,0.163
1986-06-13T11:00,,33.9,60,0.329,0.164
1986-06-13T12:00,,33.3,62,0.325,0.165
1986-06-13T13:00,,32.5,66,0.322,0.165
1986-06-13T14:00,,31.4,70,0.32,0.166
1986-06-13T15:00,,30.7,73,0.318,0.167
1986-06-13T16:00,,30.2,75,0.316,0.167
1986-06-13T17:00,,29.8,76,0.314,0.168
1986-06-13T18:00,,29.4,78,0.312,0.168
1986-06-13T19:00,,27.3,88,0.325,0.169
1986-06-13T20:00,,27.0,90,0.324,0.17
1986-06-13T21:00,,27.0,90,0.322,0.17
1986-06-13T22:00,,26.8,91,0.32,0.171
1986-06-13T23:00,,26.8,91,0.319,0.171
1986-06-14T00:00,,26.7,92,0.317,0.172
1986-06-14T01:00,,27.2,89,0.316,0.173
1986-06-14T02:00,,28.1,82,0.313,0.173
1986-06-14T03:00,,29.7,74,0.311,0.174
1986-06-14T04:00,,31.0,69,0.307,0.174
1986-06-14T05:00,,31.5,68,0.305,0.174
1986-06-14T06:00,,31.9,67,0.302,0.174
1986-06-14T07:00,,34.1,59,0.297,0.175
1986-06-14T08:00,,34.6,58,0.293,0.175
1986-06-14T09:00,,34.9,57,0.288,0.175
1986-06-14T10:00,,34.9,56,0.285,0.175
1986-06-14T11:00,,34.4,56,0.282,0.175
1986-06-14T12:00,,33.5,59,0.282,0.175
1986-06-14T13:00,,32.7,63,0.281,0.175
1986-06-14T14:00,,31.8,68,0.28,0.176
1986-06-14T15:00,,31.0,72,0.279,0.176
1986-06-14T16:00,,30.5,74,0.279,0.176
1986-06-14T17:00,,29.9,77,0.278,0.176
1986-06-14T18:00,,29.4,79,0.277,0.176
1986-06-14T19:00,,29.5,77,0.276,0.177
1986-06-14T20:00,,29.0,79,0.276,0.177
1986-06-14T21:00,,28.7,81,0.275,0.177
1986-06-14T22:00,,28.3,82,0.274,0.177
1986-06-14T23:00,,27.8,84,0.274,0.177
1986-06-15T00:00,,27.4,85,0.273,0.177
1986-06-15T01:00,,27.6,82,0.272,0.178
1986-06-15T02:00,,28.7,77,0.271,0.178
1986-06-15T03:00,,30.2,71,0.269,0.178
1986-06-15T04:00,,31.6,66,0.267,0.178
1986-06-15T05:00,,32.5,62,0.266,0.178
1986-06-15T06:00,,33.6,59,0.264,0.178
1986-06-15T07:00,,31.1,67,0.263,0.178
1986-06-15T08:00,,31.7,65,0.262,0.178
1986-06-15T09:00,,32.2,62,0.26,0.178
1986-06-15T10:00,,32.3,62,0.259,0.178
1986-06-15T11:00,,32.3,62,0.258,0.178
1986-06-15T12:00,,31.9,64,0.257,0.178
1986-06-15T13:00,,31.3,66,0.256,0.178
1986-06-15T14:00,,30.6,70,0.255,0.178
1986-06-15T15:00,,30.0,73,0.255,0.178
1986-06-15T16:00,,29.5,76,0.254,0.178
1986-06-15T17:00,,28.9,79,0.254,0.178
1986-06-15T18:00,,28.4,81,0.254,0.178
1986-06-15T19:00,,26.5,91,0.268,0.179
1986-06-15T20:00,,26.1,93,0.268,0.179
1986-06-15T21:00,,26.0,93,0.268,0.179
1986-06-15T22:00,,25.9,94,0.269,0.179
1986-06-15T23:00,,25.8,95,0.269,0.179
