time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,24.5,96,0.325,0.165
1986-06-13T01:00,,24.5,97,0.332,0.166
1986-06-13T02:00,,24.5,97,0.337,0.167
1986-06-13T03:00,,24.7,95,0.338,0.168
1986-06-13T04:00,,25.2,90,0.339,0.169
1986-06-13T05:00,,26.2,86,0.339,0.17
1986-06-13T06:00,,26.3,88,0.34,0.171
1986-06-13T07:00,,32.5,65,0.331,0.172
1986-06-13T08:00,,33.1,64,0.325,0.172
1986-06-13T09:00,,33.1,65,0.32,0.173
1986-06-13T10:00,,32.8,66,0.317,0.173
1986-06-13T11:00,,32.5,67,0.314,0.174
1986-06-13T12:00,,31.2,71,0.316,0.174
1986-06-13T13:00,,30.4,75,0.315,0.175
1986-06-13T14:00,,29.8,77,0.313,0.175
1986-06-13T15:00,,29.3,79,0.312,0.176
1986-06-13T16:00,,28.5,83,0.322,0.176
1986-06-13T17:00,,26.8,90,0.358,0.177
1986-06-13T18:00,,26.0,93,0.371,0.179
1986-06-13T19:00,,27.2,89,0.373,0.18
1986-06-13T20:00,,26.1,93,0.399,0.183
1986-06-13T21:00,,25.3,94,0.424,0.188
1986-06-13T22:00,,24.7,96,0.421,0.2
1986-06-13T23:00,,24.5,96,0.4,0.209
1986-06-14T00:00,,24.5,95,0.394,0.212
1986-06-14T01:00,,25.1,91,0.402,0.216
1986-06-14T02:00,,25.7,87,0.401,0.219
1986-06-14T03:00,,26.4,84,0.392,0.223
1986-06-14T04:00,,27.4,80,0.384,0.226
1986-06-14T05:00,,28.8,75,0.376,0.227
1986-06-14T06:00,,30.5,70,0.368,0.229
1986-06-14T07:00,,32.1,68,0.361,0.229
1986-06-14T08:00,,32.7,67,0.354,0.23
1986-06-14T09:00,,33.2,65,0.348,0.23
1986-06-14T10:00,,33.3,64,0.342,0.23
1986-06-14T11:00,,32.7,66,0.339,0.23
1986-06-14T12:00,,31.8,69,0.337,0.231
1986-06-14T13:00,,30.3,75,0.34,0.231
1986-06-14T14:00,,29.4,81,0.338,0.232
1986-06-14T15:00,,28.9,83,0.336,0.232
1986-06-14T16:00,,28.6,84,0.335,0.233
1986-06-14T17:00,,28.2,84,0.335,0.233
1986-06-14T18:00,,27.1,88,0.343,0.234
1986-06-14T19:00,,26.9,88,0.345,0.235
1986-06-14T20:00,,26.3,90,0.347,0.235
1986-06-14T21:00,,25.8,93,0.349,0.236
1986-06-14T22:00,,25.3,95,0.352,0.237
1986-06-14T23:00,,25.1,96,0.351,0.238
1986-06-15T00:00,,25.1,96,0.351,0.238
1986-06-15T01:00,,25.8,92,0.349,0.239
1986-06-15T02:00,,26.9,85,0.347,0.24
1986-06-15T03:00,,28.0,80,0.344,0.24
1986-06-15T04:00,,29.0,77,0.341,0.241
1986-06-15T05:00,,29.6,76,0.338,0.241
1986-06-15T06:00,,30.7,74,0.334,0.241
1986-06-15T07:00,,30.3,74,0.331,0.241
1986-06-15T08:00,,31.6,71,0.327,0.241
1986-06-15T09:00,,32.1,69,0.323,0.241
1986-06-15T10:00,,32.2,68,0.32,0.241
1986-06-15T11:00,,31.9,67,0.318,0.241
1986-06-15T12:00,,31.3,69,0.317,0.241
1986-06-15T13:00,,30.5,73,0.316,0.241
1986-06-15T14:00,,29.2,78,0.319,0.241
1986-06-15T15:00,,27.6,86,0.342,0.242
1986-06-15T16:00,,26.6,92,0.371,0.242
1986-06-15T17:00,,26.1,95,0.39,0.244
1986-06-15T18:00,,25.7,95,0.418,0.247
1986-06-15T19:00,,25.7,96,0.421,0.256
1986-06-15T20:00,,25.3,97,0.437,0.265
1986-06-15T21:00,,25.0,99,0.405,0.293
1986-06-15T22:00,,24.9,99,0.43,0.298
1986-06-15T23:00,,24.7,99,0.384,0.321
