time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.6,94,0.399,0.38
1985-09-11T01:00,,25.2,95,0.411,0.381
1985-09-11T02:00,,25.0,94,0.421,0.382
1985-09-11T03:00,,24.8,96,0.426,0.385
1985-09-11T04:00,,24.9,95,0.429,0.388
1985-09-11T05:00,,25.2,95,0.431,0.391
1985-09-11T06:00,,25.7,94,0.424,0.395
1985-09-11T07:00,,27.3,92,0.421,0.397
1985-09-11T08:00,,28.2,88,0.417,0.398
1985-09-11T09:00,,28.6,85,0.413,0.398
1985-09-11T10:00,,28.8,82,0.41,0.398
1985-09-11T11:00,,28.6,81,0.409,0.398
1985-09-11T12:00,,26.7,89,0.436,0.399
1985-09-11T13:00,,26.1,90,0.409,0.409
1985-09-11T14:00,,25.7,90,0.407,0.409
1985-09-11T15:00,,25.7,90,0.405,0.409
1985-09-11T16:00,,25.6,90,0.404,0.408
1985-09-11T17:00,,25.6,91,0.403,0.408
1985-09-11T18:00,,25.4,92,0.402,0.408
1985-09-11T19:00,,25.7,90,0.401,0.408
1985-09-11T20:00,,25.6,91,0.4,0.407
1985-09-11T21:00,,25.4,92,0.4,0.407
1985-09-11T22:00,,25.2,93,0.399,0.407
1985-09-11T23:00,,25.1,93,0.398,0.406
1985-09-12T00:00,,25.0,94,0.398,0.406
1985-09-12T01:00,,25.4,93,0.397,0.405
1985-09-12T02:00,,26.6,88,0.396,0.405
1985-09-12T03:00,,27.8,81,0.395,0.404
1985-09-12T04:00,,29.0,74,0.393,0.403
1985-09-12T05:00,,29.8,70,0.391,0.402
1985-09-12T06:00,,30.7,67,0.389,0.401
1985-09-12T07:00,,31.4,65,0.386,0.4
1985-09-12T08:00,,31.7,64,0.384,0.398
1985-09-12T09:00,,31.7,64,0.381,0.397
1985-09-12T10:00,,31.5,64,0.379,0.396
1985-09-12T11:00,,30.9,68,0.378,0.395
1985-09-12T12:00,,29.8,72,0.378,0.394
1985-09-12T13:00,,29.0,76,0.378,0.394
1985-09-12T14:00,,28.4,78,0.378,0.394
1985-09-12T15:00,,28.1,80,0.378,0.393
1985-09-12T16:00,,27.7,82,0.378,0.393
1985-09-12T17:00,,27.5,82,0.378,0.393
1985-09-12T18:00,,27.2,84,0.377,0.392
1985-09-12T19:00,,27.1,84,0.377,0.392
1985-09-12T20:00,,26.7,86,0.377,0.392
1985-09-12T21:00,,26.4,87,0.377,0.392
1985-09-12T22:00,,26.1,89,0.377,0.391
1985-09-12T23:00,,25.8,91,0.377,0.391
1985-09-13T00:00,,25.5,92,0.377,0.391
1985-09-13T01:00,,25.8,92,0.377,0.391
1985-09-13T02:00,,27.1,86,0.376,0.39
1985-09-13T03:00,,28.3,79,0.375,0.389
1985-09-13T04:00,,29.4,74,0.374,0.389
1985-09-13T05:00,,30.3,71,0.373,0.387
1985-09-13T06:00,,30.5,71,0.371,0.387
1985-09-13T07:00,,31.5,71,0.37,0.385
1985-09-13T08:00,,31.8,68,0.369,0.384
1985-09-13T09:00,,30.2,72,0.378,0.384
1985-09-13T10:00,,29.9,74,0.378,0.383
1985-09-13T11:00,,29.9,74,0.377,0.383
1985-09-13T12:00,,29.3,77,0.377,0.383
1985-09-13T13:00,,28.4,81,0.376,0.383
1985-09-13T14:00,,27.9,83,0.376,0.383
1985-09-13T15:00,,27.7,84,0.376,0.383
1985-09-13T16:00,,27.3,85,0.375,0.382
1985-09-13T17:00,,27.2,85,0.375,0.382
1985-09-13T18:00,,27.0,86,0.375,0.382
1985-09-13T19:00,,27.0,87,0.375,0.382
1985-09-13T20:00,,26.8,87,0.374,0.382
1985-09-13T21:00,,26.5,88,0.374,0.382
1985-09-13T22:00,,26.2,90,0.374,0.382
1985-09-13T23:00,,25.9,91,0.374,0.382
