time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,25.2,70,0.145,0.151
1986-06-13T01:00,,27.4,62,0.145,0.151
1986-06-13T02:00,,30.5,50,0.145,0.151
1986-06-13T03:00,,33.0,42,0.144,0.151
1986-06-13T04:00,,34.7,37,0.144,0.151
1986-06-13T05:00,,36.2,34,0.144,0.151
1986-06-13T06:00,,36.8,33,0.144,0.151
1986-06-13T07:00,,36.3,34,0.144,0.151
1986-06-13T08:00,,36.8,33,0.144,0.151
1986-06-13T09:00,,36.6,33,0.144,0.151
1986-06-13T10:00,,31.3,53,0.163,0.151
1986-06-13T11:00,,30.8,56,0.164,0.151
1986-06-13T12:00,,31.0,55,0.164,0.151
1986-06-13T13:00,,30.7,55,0.164,0.151
1986-06-13T14:00,,30.1,57,0.164,0.151
1986-06-13T15:00,,29.6,59,0.164,0.151
1986-06-13T16:00,,29.0,61,0.163,0.151
1986-06-13T17:00,,28.4,64,0.163,0.151
1986-06-13T18:00,,27.8,66,0.163,0.151
1986-06-13T19:00,,26.8,72,0.163,0.151
1986-06-13T20:00,,26.3,74,0.163,0.151
1986-06-13T21:00,,25.9,76,0.163,0.151
1986-06-13T22:00,,25.3,79,0.163,0.151
1986-06-13T23:00,,24.9,80,0.163,0.151
1986-06-14T00:00,,24.6,81,0.163,0.151
1986-06-14T01:00,,26.3,74,0.163,0.151
1986-06-14T02:00,,28.8,62,0.163,0.151
1986-06-14T03:00,,31.0,53,0.162,0.151
1986-06-14T04:00,,32.8,47,0.162,0.151
1986-06-14T05:00,,34.2,42,0.161,0.151
1986-06-14T06:00,,35.1,39,0.161,0.151
1986-06-14T07:00,,35.5,34,0.16,0.151
1986-06-14T08:00,,35.7,33,0.159,0.151
1986-06-14T09:00,,35.1,35,0.159,0.151
1986-06-14T10:00,,33.8,39,0.159,0.151
1986-06-14T11:00,,32.6,43,0.159,0.151
1986-06-14T12:00,,32.0,46,0.159,0.151
1986-06-14T13:00,,31.3,48,0.159,0.151
1986-06-14T14:00,,30.6,51,0.159,0.151
1986-06-14T15:00,,29.7,55,0.159,0.151
1986-06-14T16:00,,28.9,59,0.159,0.151
1986-06-14T17:00,,28.2,63,0.158,0.151
1986-06-14T18:00,,27.6,65,0.158,0.151
1986-06-14T19:00,,27.1,64,0.158,0.151
1986-06-14T20:00,,26.8,65,0.158,0.151
1986-06-14T21:00,,26.6,66,0.158,0.151
1986-06-14T22:00,,26.4,68,0.158,0.151
1986-06-14T23:00,,26.1,71,0.158,0.151
1986-06-15T00:00,,25.8,73,0.158,0.151
1986-06-15T01:00,,26.7,72,0.158,0.151
1986-06-15T02:00,,28.8,64,0.158,0.151
1986-06-15T03:00,,30.9,55,0.158,0.151
1986-06-15T04:00,,32.3,48,0.157,0.151
1986-06-15T05:00,,33.0,46,0.157,0.151
1986-06-15T06:00,,33.9,43,0.157,0.151
1986-06-15T07:00,,33.8,46,0.156,0.151
1986-06-15T08:00,,33.8,46,0.156,0.151
1986-06-15T09:00,,33.9,45,0.156,0.151
1986-06-15T10:00,,33.8,45,0.156,0.151
1986-06-15T11:00,,32.7,47,0.156,0.151
1986-06-15T12:00,,30.8,54,0.167,0.151
1986-06-15T13:00,,30.1,56,0.167,0.151
1986-06-15T14:00,,29.4,59,0.167,0.151
1986-06-15T15:00,,28.9,61,0.167,0.151
1986-06-15T16:00,,28.3,66,0.167,0.151
1986-06-15T17:00,,27.7,69,0.167,0.151
1986-06-15T18:00,,27.2,71,0.167,0.151
1986-06-15T19:00,,26.8,75,0.167,0.151
1986-06-15T20:00,,26.6,75,0.168,0.151
1986-06-15T21:00,,26.0,79,0.173,0.151
1986-06-15T22:00,,25.6,82,0.173,0.151
1986-06-15T23:00,,25.5,83,0.173,0.151
