time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.8,67,0.137,0.152
1986-06-13T01:00,,27.9,68,0.137,0.152
1986-06-13T02:00,,29.8,64,0.137,0.152
1986-06-13T03:00,,31.8,57,0.137,0.152
1986-06-13T04:00,,33.8,49,0.137,0.152
1986-06-13T05:00,,35.7,42,0.137,0.152
1986-06-13T06:00,,37.5,37,0.137,0.152
1986-06-13T07:00,,37.7,34,0.137,0.152
1986-06-13T08:00,,37.0,35,0.138,0.152
1986-06-13T09:00,,33.6,49,0.168,0.152
1986-06-13T10:00,,33.3,49,0.168,0.152
1986-06-13T11:00,,32.8,50,0.168,0.152
1986-06-13T12:00,,32.0,52,0.167,0.152
1986-06-13T13:00,,31.5,54,0.167,0.152
1986-06-13T14:00,,30.9,56,0.167,0.152
1986-06-13T15:00,,30.0,61,0.167,0.152
1986-06-13T16:00,,29.4,64,0.167,0.152
1986-06-13T17:00,,28.8,68,0.167,0.152
1986-06-13T18:00,,28.2,73,0.167,0.152
1986-06-13T19:00,,27.8,77,0.167,0.152
1986-06-13T20:00,,27.8,76,0.167,0.152
1986-06-13T21:00,,27.4,78,0.167,0.152
1986-06-13T22:00,,26.1,86,0.167,0.152
1986-06-13T23:00,,25.7,88,0.167,0.152
1986-06-14T00:00,,25.7,88,0.167,0.152
1986-06-14T01:00,,27.0,82,0.167,0.152
1986-06-14T02:00,,28.6,73,0.166,0.152
1986-06-14T03:00,,30.5,65,0.166,0.152
1986-06-14T04:00,,32.3,58,0.165,0.152
1986-06-14T05:00,,34.0,52,0.164,0.152
1986-06-14T06:00,,35.6,45,0.163,0.152
1986-06-14T07:00,,35.3,46,0.162,0.152
1986-06-14T08:00,,35.9,42,0.161,0.152
1986-06-14T09:00,,36.0,40,0.161,0.152
1986-06-14T10:00,,35.6,39,0.16,0.152
1986-06-14T11:00,,35.4,38,0.16,0.152
1986-06-14T12:00,,34.9,38,0.159,0.152
1986-06-14T13:00,,34.0,41,0.159,0.152
1986-06-14T14:00,,32.7,48,0.159,0.152
1986-06-14T15:00,,31.5,55,0.159,0.152
1986-06-14T16:00,,30.5,63,0.159,0.152
1986-06-14T17:00,,29.6,69,0.159,0.152
1986-06-14T18:00,,29.0,72,0.158,0.152
1986-06-14T19:00,,28.5,72,0.158,0.152
1986-06-14T20:00,,27.9,75,0.158,0.152
1986-06-14T21:00,,27.4,78,0.158,0.152
1986-06-14T22:00,,26.9,82,0.158,0.152
1986-06-14T23:00,,26.3,86,0.158,0.152
1986-06-15T00:00,,26.3,86,0.158,0.152
1986-06-15T01:00,,27.2,83,0.158,0.152
1986-06-15T02:00,,28.6,76,0.158,0.152
1986-06-15T03:00,,30.4,68,0.158,0.152
1986-06-15T04:00,,32.1,60,0.157,0.152
1986-06-15T05:00,,33.2,55,0.157,0.152
1986-06-15T06:00,,34.6,49,0.157,0.152
1986-06-15T07:00,,34.1,51,0.16,0.152
1986-06-15T08:00,,31.9,63,0.215,0.152
1986-06-15T09:00,,30.8,70,0.259,0.152
1986-06-15T10:00,,31.3,67,0.26,0.152
1986-06-15T11:00,,32.0,63,0.259,0.152
1986-06-15T12:00,,31.6,64,0.259,0.152
1986-06-15T13:00,,29.5,74,0.276,0.152
1986-06-15T14:00,,27.4,84,0.277,0.153
1986-06-15T15:00,,26.6,87,0.276,0.153
1986-06-15T16:00,,26.3,87,0.276,0.153
1986-06-15T17:00,,26.2,87,0.275,0.153
1986-06-15T18:00,,26.0,88,0.274,0.154
1986-06-15T19:00,,26.0,87,0.273,0.154
1986-06-15T20:00,,26.0,88,0.273,0.154
1986-06-15T21:00,,25.9,90,0.272,0.154
1986-06-15T22:00,,25.9,88,0.271,0.154
1986-06-15T23:00,,25.8,89,0.271,0.155
