time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,28.5,49,0.137,0.152
1986-06-13T01:00,,28.8,50,0.137,0.152
1986-06-13T02:00,,31.8,42,0.137,0.152
1986-06-13T03:00,,34.4,33,0.137,0.152
1986-06-13T04:00,,36.3,27,0.137,0.152
1986-06-13T05:00,,37.4,24,0.137,0.152
1986-06-13T06:00,,38.5,22,0.137,0.152
1986-06-13T07:00,,38.1,23,0.137,0.152
1986-06-13T08:00,,38.2,23,0.137,0.152
1986-06-13T09:00,,37.9,24,0.137,0.152
1986-06-13T10:00,,37.5,25,0.137,0.152
1986-06-13T11:00,,36.4,28,0.137,0.152
1986-06-13T12:00,,34.4,34,0.142,0.152
1986-06-13T13:00,,33.2,39,0.143,0.152
1986-06-13T14:00,,32.0,43,0.143,0.152
1986-06-13T15:00,,31.3,46,0.143,0.152
1986-06-13T16:00,,30.5,49,0.143,0.152
1986-06-13T17:00,,29.7,52,0.143,0.152
1986-06-13T18:00,,28.9,54,0.143,0.152
1986-06-13T19:00,,27.8,62,0.143,0.152
1986-06-13T20:00,,27.4,62,0.143,0.152
1986-06-13T21:00,,27.0,63,0.143,0.152
1986-06-13T22:00,,26.5,65,0.143,0.152
1986-06-13T23:00,,25.9,68,0.143,0.152
1986-06-14T00:00,,25.8,69,0.143,0.152
1986-06-14T01:00,,26.7,71,0.143,0.152
1986-06-14T02:00,,29.4,56,0.143,0.152
1986-06-14T03:00,,31.9,47,0.143,0.152
1986-06-14T04:00,,33.6,41,0.143,0.152
1986-06-14T05:00,,35.0,36,0.143,0.152
1986-06-14T06:00,,35.3,34,0.142,0.152
1986-06-14T07:00,,35.7,33,0.142,0.152
1986-06-14T08:00,,36.6,31,0.142,0.152
1986-06-14T09:00,,36.8,30,0.142,0.152
1986-06-14T10:00,,36.4,30,0.142,0.152
1986-06-14T11:00,,34.6,34,0.142,0.152
1986-06-14T12:00,,33.5,38,0.142,0.152
1986-06-14T13:00,,32.8,40,0.142,0.152
1986-06-14T14:00,,31.8,43,0.142,0.152
1986-06-14T15:00,,31.0,46,0.142,0.152
1986-06-14T16:00,,30.2,49,0.142,0.152
1986-06-14T17:00,,29.4,53,0.142,0.152
1986-06-14T18:00,,28.8,56,0.142,0.152
1986-06-14T19:00,,28.1,60,0.142,0.152
1986-06-14T20:00,,27.6,63,0.142,0.152
1986-06-14T21:00,,27.0,66,0.142,0.152
1986-06-14T22:00,,26.6,68,0.142,0.152
1986-06-14T23:00,,26.2,69,0.142,0.152
1986-06-15T00:00,,25.8,70,0.142,0.152
1986-06-15T01:00,,27.0,66,0.142,0.152
1986-06-15T02:00,,29.0,59,0.142,0.152
1986-06-15T03:00,,31.0,52,0.141,0.152
1986-06-15T04:00,,32.7,46,0.141,0.152
1986-06-15T05:00,,33.8,41,0.142,0.152
1986-06-15T06:00,,34.4,39,0.141,0.152
1986-06-15T07:00,,35.3,37,0.141,0.152
1986-06-15T08:00,,35.3,36,0.142,0.152
1986-06-15T09:00,,33.7,42,0.154,0.152
1986-06-15T10:00,,32.1,49,0.172,0.152
1986-06-15T11:00,,31.6,51,0.172,0.152
1986-06-15T12:00,,31.7,51,0.172,0.152
1986-06-15T13:00,,31.3,53,0.172,0.152
1986-06-15T14:00,,30.3,58,0.172,0.152
1986-06-15T15:00,,29.4,60,0.172,0.152
1986-06-15T16:00,,28.7,63,0.171,0.152
1986-06-15T17:00,,28.2,66,0.171,0.152
1986-06-15T18:00,,27.7,67,0.171,0.152
1986-06-15T19:00,,27.3,68,0.171,0.152
1986-06-15T20:00,,27.0,69,0.171,0.152
1986-06-15T21:00,,26.6,71,0.171,0.152
1986-06-15T22:00,,26.3,74,0.171,0.152
1986-06-15T23:00,,25.9,77,0.171,0.152
