time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.0,64,0.126,0.148
1986-06-13T01:00,,28.1,66,0.126,0.148
1986-06-13T02:00,,31.7,49,0.126,0.148
1986-06-13T03:00,,34.4,40,0.126,0.148
1986-06-13T04:00,,36.3,34,0.126,0.148
1986-06-13T05:00,,38.0,29,0.126,0.148
1986-06-13T06:00,,39.1,26,0.126,0.148
1986-06-13T07:00,,38.4,29,0.126,0.148
1986-06-13T08:00,,38.6,28,0.126,0.148
1986-06-13T09:00,,38.4,28,0.125,0.148
1986-06-13T10:00,,35.7,34,0.126,0.148
1986-06-13T11:00,,34.9,37,0.126,0.148
1986-06-13T12:00,,34.1,41,0.125,0.148
1986-06-13T13:00,,33.0,45,0.125,0.148
1986-06-13T14:00,,32.1,48,0.125,0.148
1986-06-13T15:00,,31.4,51,0.125,0.148
1986-06-13T16:00,,30.5,55,0.125,0.148
1986-06-13T17:00,,29.8,58,0.125,0.148
1986-06-13T18:00,,29.1,61,0.125,0.148
1986-06-13T19:00,,28.1,68,0.125,0.148
1986-06-13T20:00,,27.7,69,0.125,0.148
1986-06-13T21:00,,27.3,70,0.125,0.148
1986-06-13T22:00,,26.8,72,0.125,0.148
1986-06-13T23:00,,26.4,74,0.125,0.148
1986-06-14T00:00,,26.0,76,0.125,0.148
1986-06-14T01:00,,27.4,71,0.125,0.148
1986-06-14T02:00,,29.8,62,0.125,0.148
1986-06-14T03:00,,32.3,51,0.125,0.148
1986-06-14T04:00,,34.2,44,0.125,0.148
1986-06-14T05:00,,35.7,39,0.125,0.148
1986-06-14T06:00,,37.0,35,0.125,0.147
1986-06-14T07:00,,36.6,33,0.125,0.147
1986-06-14T08:00,,37.4,30,0.125,0.147
1986-06-14T09:00,,37.3,30,0.125,0.147
1986-06-14T10:00,,37.1,30,0.124,0.147
1986-06-14T11:00,,35.5,34,0.125,0.147
1986-06-14T12:00,,34.2,40,0.125,0.147
1986-06-14T13:00,,33.2,44,0.125,0.147
1986-06-14T14:00,,32.2,47,0.125,0.147
1986-06-14T15:00,,31.4,50,0.125,0.147
1986-06-14T16:00,,30.7,53,0.125,0.147
1986-06-14T17:00,,29.9,56,0.125,0.147
1986-06-14T18:00,,29.1,60,0.125,0.147
1986-06-14T19:00,,28.4,62,0.125,0.147
1986-06-14T20:00,,28.0,64,0.125,0.147
1986-06-14T21:00,,27.6,64,0.124,0.147
1986-06-14T22:00,,27.5,65,0.124,0.147
1986-06-14T23:00,,27.1,68,0.124,0.147
1986-06-15T00:00,,26.8,70,0.124,0.147
1986-06-15T01:00,,27.8,69,0.124,0.147
1986-06-15T02:00,,29.6,63,0.124,0.147
1986-06-15T03:00,,31.8,55,0.124,0.147
1986-06-15T04:00,,33.7,47,0.124,0.147
1986-06-15T05:00,,34.8,42,0.124,0.147
1986-06-15T06:00,,35.4,40,0.124,0.147
1986-06-15T07:00,,36.2,39,0.124,0.147
1986-06-15T08:00,,36.1,38,0.124,0.147
1986-06-15T09:00,,35.9,39,0.124,0.147
1986-06-15T10:00,,34.1,44,0.132,0.147
1986-06-15T11:00,,31.6,55,0.148,0.147
1986-06-15T12:00,,30.8,58,0.148,0.147
1986-06-15T13:00,,30.2,60,0.148,0.147
1986-06-15T14:00,,29.7,62,0.148,0.147
1986-06-15T15:00,,29.3,63,0.148,0.147
1986-06-15T16:00,,29.0,65,0.148,0.147
1986-06-15T17:00,,28.7,66,0.147,0.147
1986-06-15T18:00,,28.3,68,0.147,0.147
1986-06-15T19:00,,28.1,70,0.148,0.147
1986-06-15T20:00,,27.6,72,0.149,0.147
1986-06-15T21:00,,27.2,74,0.149,0.147
1986-06-15T22:00,,26.9,76,0.149,0.147
1986-06-15T23:00,,26.6,78,0.149,0.147
