time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.0,63,0.124,0.141
1986-06-13T01:00,,28.8,61,0.124,0.141
1986-06-13T02:00,,31.7,50,0.124,0.141
1986-06-13T03:00,,33.8,43,0.124,0.141
1986-06-13T04:00,,35.7,37,0.124,0.141
1986-06-13T05:00,,37.5,31,0.124,0.141
1986-06-13T06:00,,38.5,29,0.124,0.141
1986-06-13T07:00,,38.3,29,0.124,0.141
1986-06-13T08:00,,38.3,29,0.124,0.141
1986-06-13T09:00,,38.1,30,0.123,0.141
1986-06-13T10:00,,37.5,31,0.124,0.141
1986-06-13T11:00,,33.0,46,0.148,0.141
1986-06-13T12:00,,31.8,52,0.148,0.141
1986-06-13T13:00,,31.2,54,0.148,0.141
1986-06-13T14:00,,30.6,57,0.148,0.141
1986-06-13T15:00,,30.3,59,0.148,0.141
1986-06-13T16:00,,29.7,62,0.148,0.141
1986-06-13T17:00,,29.2,64,0.148,0.141
1986-06-13T18:00,,28.9,66,0.148,0.141
1986-06-13T19:00,,28.0,72,0.148,0.141
1986-06-13T20:00,,27.7,74,0.148,0.141
1986-06-13T21:00,,27.3,76,0.148,0.141
1986-06-13T22:00,,26.9,78,0.148,0.141
1986-06-13T23:00,,26.6,79,0.148,0.141
1986-06-14T00:00,,26.4,81,0.147,0.141
1986-06-14T01:00,,27.3,78,0.147,0.141
1986-06-14T02:00,,29.4,69,0.147,0.141
1986-06-14T03:00,,31.6,58,0.147,0.141
1986-06-14T04:00,,33.3,51,0.146,0.141
1986-06-14T05:00,,34.8,46,0.146,0.141
1986-06-14T06:00,,36.1,41,0.145,0.14
1986-06-14T07:00,,36.1,39,0.144,0.14
1986-06-14T08:00,,36.9,36,0.143,0.14
1986-06-14T09:00,,36.5,35,0.143,0.14
1986-06-14T10:00,,36.7,33,0.142,0.14
1986-06-14T11:00,,36.1,34,0.142,0.14
1986-06-14T12:00,,35.4,35,0.142,0.14
1986-06-14T13:00,,34.2,38,0.142,0.14
1986-06-14T14:00,,33.1,42,0.142,0.14
1986-06-14T15:00,,32.1,46,0.142,0.14
1986-06-14T16:00,,31.3,50,0.142,0.14
1986-06-14T17:00,,30.3,53,0.141,0.14
1986-06-14T18:00,,29.7,55,0.141,0.14
1986-06-14T19:00,,29.0,59,0.141,0.14
1986-06-14T20:00,,28.5,64,0.141,0.14
1986-06-14T21:00,,28.0,68,0.141,0.14
1986-06-14T22:00,,27.6,72,0.141,0.14
1986-06-14T23:00,,27.1,75,0.141,0.14
1986-06-15T00:00,,26.8,77,0.141,0.14
1986-06-15T01:00,,27.6,76,0.141,0.14
1986-06-15T02:00,,29.2,71,0.141,0.14
1986-06-15T03:00,,31.2,63,0.14,0.14
1986-06-15T04:00,,33.0,55,0.14,0.14
1986-06-15T05:00,,34.2,49,0.14,0.14
1986-06-15T06:00,,35.4,44,0.139,0.14
1986-06-15T07:00,,36.3,40,0.139,0.14
1986-06-15T08:00,,35.8,40,0.138,0.14
1986-06-15T09:00,,34.3,45,0.147,0.14
1986-06-15T10:00,,33.2,50,0.148,0.14
1986-06-15T11:00,,30.8,60,0.163,0.14
1986-06-15T12:00,,30.7,60,0.163,0.14
1986-06-15T13:00,,30.6,60,0.163,0.14
1986-06-15T14:00,,30.2,63,0.163,0.14
1986-06-15T15:00,,29.6,67,0.163,0.14
1986-06-15T16:00,,28.8,72,0.163,0.14
1986-06-15T17:00,,28.3,76,0.163,0.14
1986-06-15T18:00,,27.8,79,0.162,0.14
1986-06-15T19:00,,27.6,79,0.162,0.14
1986-06-15T20:00,,27.3,80,0.162,0.14
1986-06-15T21:00,,27.0,81,0.163,0.14
1986-06-15T22:00,,26.7,83,0.162,0.14
1986-06-15T23:00,,26.5,84,0.162,0.14
