time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,24.6,96,0.37,0.284
1985-06-21T01:00,,24.7,96,0.37,0.284
1985-06-21T02:00,,25.1,93,0.371,0.284
1985-06-21T03:00,,25.9,90,0.372,0.284
1985-06-21T04:00,,26.9,87,0.373,0.284
1985-06-21T05:00,,27.7,85,0.373,0.284
1985-06-21T06:00,,29.0,80,0.372,0.284
1985-06-21T07:00,,29.1,74,0.373,0.285
1985-06-21T08:00,,29.8,73,0.374,0.285
1985-06-21T09:00,,30.6,71,0.372,0.285
1985-06-21T10:00,,29.2,75,0.374,0.285
1985-06-21T11:00,,28.9,75,0.374,0.285
1985-06-21T12:00,,28.5,76,0.376,0.285
1985-06-21T13:00,,27.9,78,0.376,0.285
1985-06-21T14:00,,26.8,84,0.376,0.285
1985-06-21T15:00,,26.2,87,0.377,0.285
1985-06-21T16:00,,25.9,88,0.377,0.285
1985-06-21T17:00,,25.7,90,0.378,0.285
1985-06-21T18:00,,25.5,91,0.379,0.285
1985-06-21T19:00,,25.2,91,0.379,0.285
1985-06-21T20:00,,25.1,92,0.379,0.286
1985-06-21T21:00,,24.9,93,0.379,0.286
1985-06-21T22:00,,24.7,94,0.379,0.286
1985-06-21T23:00,,24.6,94,0.379,0.286
1985-06-22T00:00,,24.6,94,0.379,0.286
1985-06-22T01:00,,24.7,94,0.379,0.286
1985-06-22T02:00,,25.0,92,0.38,0.286
1985-06-22T03:00,,25.9,86,0.38,0.286
1985-06-22T04:00,,26.8,81,0.38,0.286
1985-06-22T05:00,,27.8,77,0.38,0.286
1985-06-22T06:00,,28.6,75,0.379,0.286
1985-06-22T07:00,,30.1,70,0.377,0.286
1985-06-22T08:00,,30.8,68,0.374,0.286
1985-06-22T09:00,,29.5,71,0.375,0.286
1985-06-22T10:00,,28.8,74,0.38,0.287
1985-06-22T11:00,,29.1,71,0.382,0.287
1985-06-22T12:00,,28.8,72,0.381,0.287
1985-06-22T13:00,,27.8,77,0.382,0.287
1985-06-22T14:00,,26.7,83,0.381,0.287
1985-06-22T15:00,,26.2,86,0.381,0.287
1985-06-22T16:00,,25.9,87,0.381,0.287
1985-06-22T17:00,,25.7,88,0.381,0.287
1985-06-22T18:00,,25.6,89,0.38,0.287
1985-06-22T19:00,,25.6,90,0.38,0.287
1985-06-22T20:00,,25.4,91,0.38,0.288
1985-06-22T21:00,,25.2,93,0.38,0.288
1985-06-22T22:00,,25.1,93,0.38,0.288
1985-06-22T23:00,,25.1,93,0.381,0.288
1985-06-23T00:00,,24.9,94,0.381,0.288
1985-06-23T01:00,,24.9,94,0.381,0.288
1985-06-23T02:00,,25.4,91,0.381,0.288
1985-06-23T03:00,,26.4,85,0.381,0.288
1985-06-23T04:00,,27.5,79,0.381,0.288
1985-06-23T05:00,,28.8,72,0.38,0.288
1985-06-23T06:00,,29.7,68,0.38,0.288
1985-06-23T07:00,,30.9,61,0.379,0.288
1985-06-23T08:00,,30.9,62,0.38,0.288
1985-06-23T09:00,,30.5,64,0.382,0.289
1985-06-23T10:00,,30.6,65,0.383,0.289
1985-06-23T11:00,,30.2,66,0.382,0.289
1985-06-23T12:00,,29.5,70,0.381,0.289
1985-06-23T13:00,,28.7,74,0.381,0.289
1985-06-23T14:00,,28.0,78,0.38,0.289
1985-06-23T15:00,,27.4,82,0.381,0.289
1985-06-23T16:00,,27.0,85,0.38,0.289
1985-06-23T17:00,,26.6,88,0.38,0.289
1985-06-23T18:00,,26.3,89,0.38,0.289
1985-06-23T19:00,,26.6,89,0.38,0.289
1985-06-23T20:00,,26.5,89,0.38,0.289
1985-06-23T21:00,,26.3,90,0.38,0.29
1985-06-23T22:00,,26.1,91,0.379,0.29
1985-06-23T23:00,,26.0,92,0.379,0.29
