time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-01-01T00:00,,17.2,55,0.245,0.281
1985-01-01T01:00,,16.9,56,0.245,0.281
1985-01-01T02:00,,16.6,57,0.245,0.281
1985-01-01T03:00,,17.7,54,0.245,0.281
1985-01-01T04:00,,20.0,44,0.245,0.281
1985-01-01T05:00,,22.1,37,0.245,0.281
1985-01-01T06:00,,23.8,32,0.245,0.281
1985-01-01T07:00,,25.4,29,0.245,0.281
1985-01-01T08:00,,26.2,27,0.245,0.281
1985-01-01T09:00,,26.4,27,0.245,0.281
1985-01-01T10:00,,26.1,28,0.245,0.281
1985-01-01T11:00,,25.2,31,0.245,0.281
1985-01-01T12:00,,23.9,36,0.245,0.281
1985-01-01T13:00,,22.1,43,0.245,0.281
1985-01-01T14:00,,20.9,49,0.245,0.281
1985-01-01T15:00,,20.0,53,0.245,0.281
1985-01-01T16:00,,19.4,55,0.245,0.281
1985-01-01T17:00,,18.9,55,0.245,0.281
1985-01-01T18:00,,18.4,53,0.245,0.281
1985-01-01T19:00,,18.0,50,0.245,0.281
1985-01-01T20:00,,17.5,49,0.245,0.281
1985-01-01T21:00,,17.0,48,0.245,0.281
1985-01-01T22:00,,16.7,48,0.245,0.281
1985-01-01T23:00,,16.3,48,0.245,0.281
1985-01-02T00:00,,16.0,50,0.245,0.281
1985-01-02T01:00,,15.6,52,0.245,0.281
1985-01-02T02:00,,15.3,55,0.245,0.281
1985-01-02T03:00,,16.4,53,0.245,0.281
1985-01-02T04:00,,18.9,43,0.245,0.281
1985-01-02T05:00,,21.4,37,0.245,0.281
1985-01-02T06:00,,23.6,33,0.245,0.281
1985-01-02T07:00,,25.1,31,0.245,0.281
1985-01-02T08:00,,26.0,31,0.245,0.281
1985-01-02T09:00,,26.5,31,0.245,0.281
1985-01-02T10:00,,26.6,31,0.245,0.281
1985-01-02T11:00,,26.0,33,0.245,0.281
1985-01-02T12:00,,24.8,38,0.245,0.281
1985-01-02T13:00,,23.0,44,0.245,0.281
1985-01-02T14:00,,21.8,50,0.245,0.281
1985-01-02T15:00,,21.1,52,0.245,0.281
1985-01-02T16:00,,20.6,53,0.245,0.281
1985-01-02T17:00,,20.1,52,0.245,0.281
1985-01-02T18:00,,19.6,51,0.245,0.281
1985-01-02T19:00,,19.0,53,0.245,0.281
1985-01-02T20:00,,18.4,55,0.245,0.281
1985-01-02T21:00,,18.0,57,0.245,0.281
1985-01-02T22:00,,17.7,59,0.245,0.281
1985-01-02T23:00,,17.5,61,0.245,0.281
1985-01-03T00:00,,17.4,63,0.245,0.281
1985-01-03T01:00,,17.4,66,0.245,0.281
1985-01-03T02:00,,17.5,71,0.245,0.281
1985-01-03T03:00,,19.5,69,0.245,0.281
1985-01-03T04:00,,23.3,58,0.245,0.281
1985-01-03T05:00,,26.0,51,0.245,0.281
1985-01-03T06:00,,28.1,46,0.245,0.281
1985-01-03T07:00,,28.9,43,0.245,0.281
1985-01-03T08:00,,30.0,39,0.245,0.281
1985-01-03T09:00,,30.5,37,0.245,0.281
1985-01-03T10:00,,30.3,38,0.245,0.281
1985-01-03T11:00,,29.2,43,0.245,0.281
1985-01-03T12:00,,27.1,52,0.245,0.281
1985-01-03T13:00,,24.9,62,0.245,0.281
1985-01-03T14:00,,23.5,68,0.245,0.281
1985-01-03T15:00,,22.7,71,0.245,0.281
1985-01-03T16:00,,22.0,73,0.245,0.281
1985-01-03T17:00,,21.1,76,0.245,0.281
1985-01-03T18:00,,20.1,81,0.245,0.281
1985-01-03T19:00,,19.3,84,0.245,0.281
1985-01-03T20:00,,18.4,89,0.245,0.281
1985-01-03T21:00,,17.8,91,0.245,0.281
1985-01-03T22:00,,17.3,92,0.245,0.281
1985-01-03T23:00,,17.0,92,0.245,0.281
1985-01-04T00:00,,16.7,92,0.245,0.281
1985-01-04T01:00,,16.4,92,0.245,0.281
1985-01-04T02:00,,16.2,92,0.245,0.281
1985-01-04T03:00,,18.7,84,0.245,0.281
1985-01-04T04:00,,23.4,62,0.245,0.281
1985-01-04T05:00,,26.7,50,0.245,0.281
1985-01-04T06:00,,28.6,43,0.245,0.281
1985-01-04T07:00,,29.1,44,0.245,0.281
1985-01-04T08:00,,29.5,43,0.245,0.281
1985-01-04T09:00,,29.4,43,0.245,0.281
1985-01-04T10:00,,29.0,45,0.245,0.281
1985-01-04T11:00,,28.0,49,0.245,0.281
