time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.4,97,0.408,0.406
1985-06-21T01:00,,23.5,96,0.408,0.405
1985-06-21T02:00,,23.7,94,0.408,0.405
1985-06-21T03:00,,24.8,91,0.407,0.405
1985-06-21T04:00,,25.2,88,0.413,0.406
1985-06-21T05:00,,25.6,88,0.409,0.408
1985-06-21T06:00,,26.1,86,0.414,0.408
1985-06-21T07:00,,26.9,82,0.406,0.408
1985-06-21T08:00,,27.2,84,0.404,0.406
1985-06-21T09:00,,27.1,86,0.403,0.405
1985-06-21T10:00,,26.2,85,0.404,0.404
1985-06-21T11:00,,25.6,85,0.406,0.404
1985-06-21T12:00,,25.2,88,0.406,0.404
1985-06-21T13:00,,24.5,91,0.408,0.404
1985-06-21T14:00,,24.2,92,0.408,0.405
1985-06-21T15:00,,24.0,94,0.407,0.405
1985-06-21T16:00,,23.7,95,0.408,0.405
1985-06-21T17:00,,23.7,96,0.408,0.405
1985-06-21T18:00,,23.7,96,0.407,0.405
1985-06-21T19:00,,23.8,94,0.408,0.405
1985-06-21T20:00,,23.6,94,0.409,0.405
1985-06-21T21:00,,23.6,95,0.41,0.406
1985-06-21T22:00,,23.5,94,0.409,0.406
1985-06-21T23:00,,23.6,94,0.408,0.406
1985-06-22T00:00,,23.7,92,0.409,0.406
1985-06-22T01:00,,23.5,94,0.41,0.407
1985-06-22T02:00,,23.9,94,0.408,0.406
1985-06-22T03:00,,24.3,91,0.407,0.406
1985-06-22T04:00,,24.7,91,0.408,0.406
1985-06-22T05:00,,25.8,85,0.412,0.407
1985-06-22T06:00,,25.8,84,0.409,0.409
1985-06-22T07:00,,26.3,81,0.414,0.409
1985-06-22T08:00,,26.4,84,0.409,0.41
1985-06-22T09:00,,26.0,83,0.41,0.409
1985-06-22T10:00,,25.7,87,0.414,0.409
1985-06-22T11:00,,25.3,88,0.412,0.411
1985-06-22T12:00,,24.8,90,0.413,0.41
1985-06-22T13:00,,24.4,93,0.415,0.411
1985-06-22T14:00,,24.1,94,0.416,0.412
1985-06-22T15:00,,24.1,94,0.411,0.411
1985-06-22T16:00,,24.1,94,0.413,0.411
1985-06-22T17:00,,23.9,95,0.414,0.411
1985-06-22T18:00,,23.8,95,0.412,0.413
1985-06-22T19:00,,23.8,96,0.412,0.412
1985-06-22T20:00,,23.6,96,0.41,0.411
1985-06-22T21:00,,23.4,96,0.41,0.411
1985-06-22T22:00,,23.6,96,0.412,0.411
1985-06-22T23:00,,23.5,96,0.414,0.411
1985-06-23T00:00,,23.6,96,0.412,0.413
1985-06-23T01:00,,23.7,96,0.414,0.413
1985-06-23T02:00,,24.3,94,0.415,0.413
1985-06-23T03:00,,25.0,93,0.412,0.414
1985-06-23T04:00,,25.7,87,0.417,0.414
1985-06-23T05:00,,25.5,89,0.419,0.415
1985-06-23T06:00,,25.8,87,0.42,0.416
1985-06-23T07:00,,27.5,81,0.41,0.414
1985-06-23T08:00,,26.4,85,0.418,0.416
1985-06-23T09:00,,26.2,85,0.42,0.417
1985-06-23T10:00,,25.4,91,0.42,0.418
1985-06-23T11:00,,24.6,92,0.419,0.418
1985-06-23T12:00,,24.6,94,0.419,0.419
1985-06-23T13:00,,24.2,96,0.417,0.418
1985-06-23T14:00,,23.9,95,0.418,0.418
1985-06-23T15:00,,23.7,96,0.415,0.417
1985-06-23T16:00,,23.8,96,0.414,0.416
1985-06-23T17:00,,23.9,95,0.414,0.416
1985-06-23T18:00,,24.0,94,0.415,0.416
1985-06-23T19:00,,24.2,93,0.414,0.415
1985-06-23T20:00,,24.2,93,0.414,0.415
1985-06-23T21:00,,24.0,93,0.415,0.416
1985-06-23T22:00,,23.9,93,0.414,0.416
1985-06-23T23:00,,23.9,93,0.412,0.415
