time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-01-01T00:00,,22.5,92,0.138,0.214
1985-01-01T01:00,,22.4,92,0.138,0.214
1985-01-01T02:00,,22.4,92,0.138,0.214
1985-01-01T03:00,,24.5,83,0.138,0.214
1985-01-01T04:00,,27.1,66,0.138,0.214
1985-01-01T05:00,,28.8,58,0.138,0.214
1985-01-01T06:00,,30.2,51,0.138,0.214
1985-01-01T07:00,,30.7,51,0.138,0.214
1985-01-01T08:00,,30.8,51,0.138,0.214
1985-01-01T09:00,,30.6,51,0.138,0.213
1985-01-01T10:00,,30.1,52,0.137,0.213
1985-01-01T11:00,,29.2,54,0.137,0.213
1985-01-01T12:00,,28.1,57,0.137,0.213
1985-01-01T13:00,,26.8,61,0.137,0.213
1985-01-01T14:00,,26.0,64,0.137,0.213
1985-01-01T15:00,,25.3,66,0.137,0.213
1985-01-01T16:00,,24.7,68,0.137,0.213
1985-01-01T17:00,,24.1,70,0.138,0.213
1985-01-01T18:00,,23.6,72,0.138,0.213
1985-01-01T19:00,,23.1,73,0.138,0.213
1985-01-01T20:00,,22.7,74,0.138,0.213
1985-01-01T21:00,,22.3,76,0.138,0.213
1985-01-01T22:00,,21.7,81,0.138,0.213
1985-01-01T23:00,,21.3,84,0.138,0.213
1985-01-02T00:00,,21.1,87,0.138,0.213
1985-01-02T01:00,,20.8,89,0.138,0.213
1985-01-02T02:00,,20.7,91,0.138,0.213
1985-01-02T03:00,,23.6,78,0.138,0.213
1985-01-02T04:00,,26.3,62,0.138,0.213
1985-01-02T05:00,,28.2,55,0.138,0.213
1985-01-02T06:00,,29.6,51,0.138,0.213
1985-01-02T07:00,,30.5,49,0.138,0.213
1985-01-02T08:00,,31.0,47,0.138,0.213
1985-01-02T09:00,,30.6,49,0.137,0.213
1985-01-02T10:00,,30.0,52,0.137,0.213
1985-01-02T11:00,,29.0,56,0.137,0.213
1985-01-02T12:00,,27.7,61,0.137,0.213
1985-01-02T13:00,,26.4,67,0.137,0.213
1985-01-02T14:00,,25.5,72,0.137,0.213
1985-01-02T15:00,,24.8,76,0.137,0.213
