time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.5,97,0.438,0.441
1985-06-21T01:00,,23.4,97,0.44,0.441
1985-06-21T02:00,,23.8,96,0.441,0.44
1985-06-21T03:00,,24.6,91,0.444,0.44
1985-06-21T04:00,,25.1,90,0.448,0.441
1985-06-21T05:00,,25.2,89,0.45,0.443
1985-06-21T06:00,,26.0,85,0.451,0.442
1985-06-21T07:00,,26.9,80,0.447,0.442
1985-06-21T08:00,,27.4,81,0.444,0.441
1985-06-21T09:00,,26.8,84,0.442,0.44
1985-06-21T10:00,,26.5,87,0.442,0.44
1985-06-21T11:00,,26.0,83,0.444,0.439
1985-06-21T12:00,,25.2,86,0.445,0.439
1985-06-21T13:00,,24.9,88,0.445,0.439
1985-06-21T14:00,,24.3,92,0.445,0.44
1985-06-21T15:00,,24.1,93,0.445,0.44
1985-06-21T16:00,,23.9,94,0.448,0.44
1985-06-21T17:00,,23.6,96,0.449,0.441
1985-06-21T18:00,,23.6,97,0.448,0.441
1985-06-21T19:00,,23.8,95,0.448,0.441
1985-06-21T20:00,,23.6,95,0.449,0.442
1985-06-21T21:00,,23.7,95,0.451,0.442
1985-06-21T22:00,,23.4,95,0.451,0.443
1985-06-21T23:00,,23.5,94,0.45,0.444
1985-06-22T00:00,,23.7,94,0.45,0.444
1985-06-22T01:00,,23.5,96,0.451,0.444
1985-06-22T02:00,,23.9,95,0.449,0.445
1985-06-22T03:00,,24.3,92,0.45,0.445
1985-06-22T04:00,,24.8,91,0.453,0.445
1985-06-22T05:00,,25.2,88,0.455,0.448
1985-06-22T06:00,,25.3,89,0.436,0.455
1985-06-22T07:00,,26.7,82,0.422,0.447
1985-06-22T08:00,,26.1,86,0.426,0.435
1985-06-22T09:00,,26.1,86,0.428,0.435
1985-06-22T10:00,,26.0,88,0.428,0.435
1985-06-22T11:00,,25.2,86,0.435,0.435
1985-06-22T12:00,,24.8,90,0.436,0.436
1985-06-22T13:00,,24.5,94,0.44,0.435
1985-06-22T14:00,,24.1,95,0.446,0.436
1985-06-22T15:00,,24.0,96,0.445,0.435
1985-06-22T16:00,,24.0,96,0.446,0.435
1985-06-22T17:00,,23.8,96,0.45,0.436
1985-06-22T18:00,,23.8,96,0.45,0.437
1985-06-22T19:00,,24.0,95,0.448,0.437
1985-06-22T20:00,,23.8,96,0.447,0.437
1985-06-22T21:00,,23.7,95,0.45,0.437
1985-06-22T22:00,,23.9,95,0.452,0.438
1985-06-22T23:00,,23.8,96,0.453,0.44
1985-06-23T00:00,,23.9,96,0.451,0.441
1985-06-23T01:00,,23.8,96,0.451,0.441
1985-06-23T02:00,,24.3,94,0.454,0.443
1985-06-23T03:00,,24.5,92,0.452,0.444
1985-06-23T04:00,,25.6,88,0.452,0.444
1985-06-23T05:00,,25.6,88,0.454,0.445
1985-06-23T06:00,,25.4,90,0.438,0.454
1985-06-23T07:00,,27.3,81,0.44,0.452
1985-06-23T08:00,,25.8,85,0.455,0.452
1985-06-23T09:00,,26.1,88,0.454,0.454
1985-06-23T10:00,,25.1,91,0.442,0.455
1985-06-23T11:00,,24.7,94,0.428,0.449
1985-06-23T12:00,,24.5,92,0.436,0.437
1985-06-23T13:00,,24.2,95,0.443,0.437
1985-06-23T14:00,,23.9,95,0.446,0.437
1985-06-23T15:00,,23.7,96,0.45,0.437
1985-06-23T16:00,,23.7,97,0.448,0.438
1985-06-23T17:00,,23.9,96,0.45,0.438
1985-06-23T18:00,,23.8,96,0.453,0.439
1985-06-23T19:00,,23.8,95,0.449,0.44
1985-06-23T20:00,,23.9,95,0.448,0.44
1985-06-23T21:00,,23.9,94,0.453,0.441
1985-06-23T22:00,,23.8,95,0.453,0.442
1985-06-23T23:00,,23.7,94,0.452,0.443
