time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.5,93,0.321,0.282
1985-06-21T01:00,,22.4,93,0.321,0.282
1985-06-21T02:00,,22.9,90,0.322,0.282
1985-06-21T03:00,,24.3,80,0.322,0.282
1985-06-21T04:00,,25.5,73,0.322,0.282
1985-06-21T05:00,,27.3,65,0.322,0.282
1985-06-21T06:00,,28.0,61,0.322,0.282
1985-06-21T07:00,,28.8,58,0.321,0.282
1985-06-21T08:00,,29.8,55,0.32,0.282
1985-06-21T09:00,,30.1,54,0.319,0.282
1985-06-21T10:00,,29.2,56,0.321,0.282
1985-06-21T11:00,,28.1,62,0.322,0.282
1985-06-21T12:00,,27.1,68,0.322,0.282
1985-06-21T13:00,,26.2,73,0.322,0.282
1985-06-21T14:00,,25.2,78,0.322,0.282
1985-06-21T15:00,,24.5,83,0.322,0.282
1985-06-21T16:00,,23.8,88,0.322,0.282
1985-06-21T17:00,,23.4,90,0.321,0.282
1985-06-21T18:00,,23.1,92,0.321,0.282
1985-06-21T19:00,,23.0,91,0.321,0.282
1985-06-21T20:00,,22.9,91,0.321,0.282
1985-06-21T21:00,,22.8,92,0.322,0.282
1985-06-21T22:00,,22.6,93,0.322,0.282
1985-06-21T23:00,,22.5,93,0.322,0.282
1985-06-22T00:00,,22.4,93,0.322,0.282
1985-06-22T01:00,,22.4,92,0.322,0.282
1985-06-22T02:00,,22.8,90,0.322,0.282
1985-06-22T03:00,,24.1,80,0.322,0.282
1985-06-22T04:00,,25.2,75,0.323,0.282
1985-06-22T05:00,,26.2,70,0.323,0.282
1985-06-22T06:00,,26.9,67,0.323,0.282
1985-06-22T07:00,,27.8,64,0.325,0.282
1985-06-22T08:00,,28.9,62,0.325,0.282
1985-06-22T09:00,,28.9,64,0.325,0.282
1985-06-22T10:00,,29.1,64,0.325,0.282
1985-06-22T11:00,,28.7,64,0.325,0.282
1985-06-22T12:00,,27.6,66,0.326,0.282
1985-06-22T13:00,,26.7,69,0.326,0.282
1985-06-22T14:00,,25.8,73,0.326,0.282
1985-06-22T15:00,,24.9,79,0.326,0.282
1985-06-22T16:00,,24.1,84,0.326,0.282
1985-06-22T17:00,,23.6,86,0.326,0.282
1985-06-22T18:00,,23.2,88,0.326,0.283
1985-06-22T19:00,,23.2,88,0.326,0.283
1985-06-22T20:00,,22.9,89,0.325,0.283
1985-06-22T21:00,,22.7,91,0.325,0.283
1985-06-22T22:00,,22.5,92,0.325,0.283
1985-06-22T23:00,,22.4,92,0.325,0.283
1985-06-23T00:00,,22.3,93,0.325,0.283
1985-06-23T01:00,,22.4,92,0.325,0.283
1985-06-23T02:00,,23.2,87,0.325,0.283
1985-06-23T03:00,,24.6,79,0.325,0.283
1985-06-23T04:00,,26.4,70,0.325,0.283
1985-06-23T05:00,,27.7,64,0.325,0.283
1985-06-23T06:00,,28.7,60,0.324,0.283
1985-06-23T07:00,,29.6,55,0.323,0.283
1985-06-23T08:00,,30.4,53,0.324,0.283
1985-06-23T09:00,,30.6,53,0.323,0.283
1985-06-23T10:00,,30.6,54,0.322,0.283
1985-06-23T11:00,,29.3,58,0.323,0.283
1985-06-23T12:00,,28.9,59,0.323,0.283
1985-06-23T13:00,,27.9,64,0.323,0.283
1985-06-23T14:00,,26.5,72,0.323,0.283
1985-06-23T15:00,,25.6,77,0.322,0.283
1985-06-23T16:00,,25.0,81,0.322,0.283
1985-06-23T17:00,,24.5,84,0.322,0.283
1985-06-23T18:00,,24.0,86,0.322,0.283
1985-06-23T19:00,,23.8,88,0.322,0.283
1985-06-23T20:00,,23.4,90,0.322,0.283
1985-06-23T21:00,,23.2,92,0.322,0.283
1985-06-23T22:00,,23.0,93,0.322,0.283
1985-06-23T23:00,,22.9,94,0.322,0.283
