time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-01-01T00:00,,14.9,54,0.253,0.297
1985-01-01T01:00,,15.1,52,0.253,0.297
1985-01-01T02:00,,14.9,52,0.253,0.297
1985-01-01T03:00,,15.4,53,0.253,0.297
1985-01-01T04:00,,17.9,41,0.253,0.297
1985-01-01T05:00,,20.2,33,0.253,0.297
1985-01-01T06:00,,22.0,29,0.253,0.297
1985-01-01T07:00,,23.4,26,0.253,0.297
1985-01-01T08:00,,24.3,24,0.253,0.297
1985-01-01T09:00,,24.6,23,0.253,0.297
1985-01-01T10:00,,24.5,23,0.253,0.297
1985-01-01T11:00,,23.7,24,0.253,0.297
1985-01-01T12:00,,22.5,26,0.253,0.297
1985-01-01T13:00,,20.8,29,0.253,0.297
1985-01-01T14:00,,19.5,32,0.253,0.297
1985-01-01T15:00,,18.3,35,0.253,0.297
1985-01-01T16:00,,17.4,37,0.253,0.297
1985-01-01T17:00,,16.5,40,0.253,0.297
1985-01-01T18:00,,15.4,45,0.253,0.297
1985-01-01T19:00,,14.4,52,0.253,0.297
1985-01-01T20:00,,14.1,52,0.253,0.297
1985-01-01T21:00,,13.7,52,0.253,0.297
1985-01-01T22:00,,14.0,51,0.253,0.297
1985-01-01T23:00,,13.6,52,0.253,0.297
1985-01-02T00:00,,12.8,55,0.253,0.297
1985-01-02T01:00,,12.4,57,0.253,0.297
1985-01-02T02:00,,12.0,59,0.253,0.297
1985-01-02T03:00,,13.8,57,0.253,0.297
1985-01-02T04:00,,17.9,39,0.253,0.297
1985-01-02T05:00,,20.8,31,0.253,0.297
1985-01-02T06:00,,23.0,27,0.253,0.297
1985-01-02T07:00,,24.2,27,0.253,0.296
1985-01-02T08:00,,25.2,26,0.253,0.296
1985-01-02T09:00,,25.7,25,0.253,0.296
1985-01-02T10:00,,25.7,25,0.253,0.296
1985-01-02T11:00,,25.1,27,0.253,0.296
1985-01-02T12:00,,23.8,31,0.253,0.296
1985-01-02T13:00,,21.8,36,0.253,0.296
1985-01-02T14:00,,20.3,41,0.253,0.296
1985-01-02T15:00,,19.2,45,0.253,0.296
1985-01-02T16:00,,18.4,47,0.253,0.296
1985-01-02T17:00,,17.6,49,0.253,0.296
1985-01-02T18:00,,16.8,52,0.253,0.296
1985-01-02T19:00,,16.1,55,0.253,0.296
1985-01-02T20:00,,15.9,54,0.253,0.296
1985-01-02T21:00,,15.9,54,0.253,0.296
1985-01-02T22:00,,16.1,54,0.253,0.296
1985-01-02T23:00,,16.2,57,0.253,0.296
1985-01-03T00:00,,16.3,61,0.253,0.296
1985-01-03T01:00,,16.4,66,0.253,0.296
1985-01-03T02:00,,16.6,70,0.253,0.296
1985-01-03T03:00,,18.2,70,0.253,0.296
1985-01-03T04:00,,20.9,64,0.253,0.296
1985-01-03T05:00,,23.1,57,0.253,0.296
1985-01-03T06:00,,25.0,49,0.253,0.296
1985-01-03T07:00,,26.3,43,0.253,0.296
1985-01-03T08:00,,27.4,37,0.253,0.296
1985-01-03T09:00,,28.0,35,0.253,0.296
1985-01-03T10:00,,28.2,33,0.253,0.296
1985-01-03T11:00,,27.8,34,0.253,0.296
1985-01-03T12:00,,26.3,40,0.253,0.296
1985-01-03T13:00,,24.2,48,0.253,0.296
1985-01-03T14:00,,22.7,55,0.253,0.296
1985-01-03T15:00,,21.8,58,0.253,0.296
